Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.88511827846083
Accuracy and Completeness of Citations,1,2,9.909241759746953
Accuracy and Completeness of Citations,1,6,9.869896539694176
Accuracy and Completeness of Citations,1,0,9.898016294897484
Accuracy and Completeness of Citations,1,8,9.884817932012433
Accuracy and Completeness of Citations,1,3,9.899855381178366
Accuracy and Completeness of Citations,1,7,9.888038146228618
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,5,9.88159812764218
Accuracy and Completeness of Citations,1,1,9.891506057723653
Accuracy of Information,1,4,8.35951181293497
Accuracy of Information,1,2,8.376802806236245
Accuracy of Information,1,6,8.30663154885141
Accuracy of Information,1,0,8.728451017061007
Accuracy of Information,1,8,7.949793185157826
Accuracy of Information,1,3,8.096547370988636
Accuracy of Information,1,7,8.194489375292438
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,10.0
Accuracy of Information,1,5,8.126061539937583
Accuracy of Information,1,1,8.552114413657469
Appropriateness of Professional Terminology Use,1,4,7.674931081746541
Appropriateness of Professional Terminology Use,1,2,7.084077201380351
Appropriateness of Professional Terminology Use,1,6,6.6897191778999945
Appropriateness of Professional Terminology Use,1,0,6.3756377391290355
Appropriateness of Professional Terminology Use,1,8,6.335736512986692
Appropriateness of Professional Terminology Use,1,3,6.895506157768597
Appropriateness of Professional Terminology Use,1,7,6.663318315742869
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,5,7.386241718600018
Appropriateness of Professional Terminology Use,1,1,7.396298114717301
Avoidance of Plagiarism and Appropriate Citation,1,4,9.909943034568297
Avoidance of Plagiarism and Appropriate Citation,1,2,9.943725978812148
Avoidance of Plagiarism and Appropriate Citation,1,6,9.89147037340494
Avoidance of Plagiarism and Appropriate Citation,1,0,9.932778516944333
Avoidance of Plagiarism and Appropriate Citation,1,8,9.9046652180863
Avoidance of Plagiarism and Appropriate Citation,1,3,9.949481020559627
Avoidance of Plagiarism and Appropriate Citation,1,7,9.912330179016914
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.901886861838546
Avoidance of Plagiarism and Appropriate Citation,1,1,9.961770101876292
Clarity of Logical Structure,1,4,9.767934802074885
Clarity of Logical Structure,1,2,9.921144773776552
Clarity of Logical Structure,1,6,9.850844711358812
Clarity of Logical Structure,1,0,9.741959145683156
Clarity of Logical Structure,1,8,9.826964012169803
Clarity of Logical Structure,1,3,9.738994104930244
Clarity of Logical Structure,1,7,9.723657777525098
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,5,9.879506137949754
Clarity of Logical Structure,1,1,9.351834428668722
Clarity of Research Method Description,1,4,7.395224477744348
Clarity of Research Method Description,1,2,7.280473059765911
Clarity of Research Method Description,1,6,6.488559647902253
Clarity of Research Method Description,1,0,6.413134218950619
Clarity of Research Method Description,1,8,6.994352821528003
Clarity of Research Method Description,1,3,5.396658216964374
Clarity of Research Method Description,1,7,6.921420840522299
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,5,7.142271798679667
Clarity of Research Method Description,1,1,6.9521900556045955
Comprehensiveness of Information,1,4,10.0
Comprehensiveness of Information,1,2,9.97426036610645
Comprehensiveness of Information,1,6,9.838639400730154
Comprehensiveness of Information,1,0,9.632455334698653
Comprehensiveness of Information,1,8,9.91670988574871
Comprehensiveness of Information,1,3,9.566059998649033
Comprehensiveness of Information,1,7,9.717239874917022
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,9,9.970838980162412
Comprehensiveness of Information,1,5,9.977145121275596
Comprehensiveness of Information,1,1,9.73935914879263
Conciseness of Expression,1,4,7.022673165349883
Conciseness of Expression,1,2,5.423936498321097
Conciseness of Expression,1,6,5.075220901863894
Conciseness of Expression,1,0,6.9703495941214255
Conciseness of Expression,1,8,5.66608095102769
Conciseness of Expression,1,3,5.721940229645765
Conciseness of Expression,1,7,7.535384541383464
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,5,4.04553236006141
Conciseness of Expression,1,1,3.1352714477431065
Critical Analysis of Existing Research,1,4,9.68062834745711
Critical Analysis of Existing Research,1,2,9.250724775921483
Critical Analysis of Existing Research,1,6,9.573938449499854
Critical Analysis of Existing Research,1,0,8.769449674323054
Critical Analysis of Existing Research,1,8,9.489183986839823
Critical Analysis of Existing Research,1,3,9.591107980299403
Critical Analysis of Existing Research,1,7,9.280843307528611
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,5,9.50546510899056
Critical Analysis of Existing Research,1,1,9.751460823474426
Feasibility of Proposed Suggestions,1,4,9.90191533187812
Feasibility of Proposed Suggestions,1,2,9.662759971614598
Feasibility of Proposed Suggestions,1,6,9.930784975174493
Feasibility of Proposed Suggestions,1,0,9.294621339421512
Feasibility of Proposed Suggestions,1,8,10.0
Feasibility of Proposed Suggestions,1,3,9.793374501854478
Feasibility of Proposed Suggestions,1,7,9.84157174243701
Feasibility of Proposed Suggestions,1,10,0.0
