Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.7820707339004966,[0.71 0.85],65.34653465346535
Comprehensiveness of Information,0.8760112625840693,[0.83 0.92],78.78787878787878
Accuracy of Information,0.8514351592706136,[0.8 0.9],68.4931506849315
Innovativeness of Viewpoints,0.8183977574947121,[0.75 0.88],81.81818181818183
Integration of Interdisciplinary Perspectives,0.8647435376962567,[0.81 0.91],80.71428571428572
Clarity of Logical Structure,0.6613105495790105,[0.56 0.76],78.78787878787878
Reasonableness of Chapter Arrangement,0.7949071610348013,[0.71 0.86],82.16560509554141
Quality of Introduction and Conclusion,0.7281692136938641,[0.65 0.81],73.64864864864865
Accuracy and Completeness of Citations,0.9306979463358019,[0.9  0.95],75.26881720430107
Timeliness and Relevance of References,0.8852184277535986,[0.84 0.92],62.264150943396224
Avoidance of Plagiarism and Appropriate Citation,0.8784786964756756,[0.83 0.92],30.0
Critical Analysis of Existing Research,0.88193265751093,[0.84 0.92],78.78787878787878
Proposal of New Research Directions or Questions,0.910040505637818,[0.87 0.94],73.88535031847134
Potential Contribution to the Field,0.9106352286842293,[0.88 0.94],71.7557251908397
Clarity of Research Method Description,0.7960129964414504,[0.73 0.86],70.83333333333334
Rationality of Method Selection,0.6965807188318749,[0.61 0.78],53.06122448979592
Rigor of Research Design,0.7366895410311036,[0.66 0.81],64.86486486486487
Inclusion of Latest Research Results,0.9003040709657885,[0.86 0.93],67.70833333333334
Reflection of Current Research Hotspots,0.8721263945306815,[0.82 0.91],78.18181818181819
Fluency of Language Expression,0.3773405700834206,[0.28 0.5 ],84.67741935483872
Appropriateness of Professional Terminology Use,0.6208067393586525,[0.52 0.72],72.09302325581395
Conciseness of Expression,0.570639996336773,[0.46 0.68],86.53846153846155
Practical Application Potential of Research Results,0.8377629144411196,[0.78 0.89],75.55555555555556
Feasibility of Proposed Suggestions,0.8367261275879192,[0.78 0.89],76.58227848101265
Logic of Argumentation,0.83164492252317,[0.77 0.89],76.99115044247787
Multi-angle Analysis of Problems,0.8590141293515882,[0.81 0.9 ],77.57575757575758
Identification and Discussion of Research Limitations,0.88035533286514,[0.83 0.92],76.8
