Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.7075177708604345,[0.61 0.8 ],76.19047619047619
Comprehensiveness of Information,0.8293693880268042,[0.69 0.9 ],82.42424242424242
Accuracy of Information,0.7935433291624913,[0.72 0.86],62.10526315789474
Innovativeness of Viewpoints,0.7525608568727972,[0.67 0.83],76.28205128205127
Integration of Interdisciplinary Perspectives,0.7484740222036054,[0.67 0.82],77.57575757575758
Clarity of Logical Structure,0.5906458795594653,[0.39 0.74],82.42424242424242
Reasonableness of Chapter Arrangement,0.6068242114621253,[0.43 0.74],82.42424242424242
Quality of Introduction and Conclusion,0.5952277610580424,[0.48 0.71],78.343949044586
Accuracy and Completeness of Citations,0.9031189592775544,[0.86 0.94],81.52866242038218
Timeliness and Relevance of References,0.8082616876042661,[0.73 0.87],67.9245283018868
Avoidance of Plagiarism and Appropriate Citation,0.8232088365553237,[0.76 0.88],37.03703703703704
Critical Analysis of Existing Research,0.7983687093117736,[0.69 0.87],78.18181818181819
Proposal of New Research Directions or Questions,0.7356675888095336,[0.65 0.81],75.75757575757575
Potential Contribution to the Field,0.7825933725860659,[0.7  0.85],76.36363636363637
Clarity of Research Method Description,0.6757238799306313,[0.58 0.77],61.42857142857143
Rationality of Method Selection,0.6591002077801226,[0.57 0.75],47.368421052631575
Rigor of Research Design,0.6598673695960446,[0.57 0.75],64.47368421052632
Inclusion of Latest Research Results,0.7992824737620712,[0.7  0.87],79.33333333333333
Reflection of Current Research Hotspots,0.6045005889822871,[0.48 0.72],77.18120805369128
Fluency of Language Expression,0.38801337121755575,[0.29 0.51],84.7328244274809
Appropriateness of Professional Terminology Use,0.6405003326624724,[0.53 0.74],60.0
Conciseness of Expression,0.5859643536370455,[0.48 0.7 ],85.45454545454545
Practical Application Potential of Research Results,0.7686819837798127,[0.69 0.84],77.57575757575758
Feasibility of Proposed Suggestions,0.7232585416963083,[0.63 0.81],75.75757575757575
Logic of Argumentation,0.6807626613505107,[0.53 0.79],82.16560509554141
Multi-angle Analysis of Problems,0.7480141186712391,[0.66 0.83],77.57575757575758
Identification and Discussion of Research Limitations,0.7430548459692313,[0.64 0.83],74.375
