Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,9.257420810537633
Accuracy and Completeness of Citations,1,4,9.10878883570107
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,9.013578405398448
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,2,9.022697574250564
Accuracy and Completeness of Citations,1,0,8.72840149143846
Accuracy and Completeness of Citations,1,5,8.95898226281542
Accuracy and Completeness of Citations,1,6,8.884533490876413
Accuracy and Completeness of Citations,1,1,8.983793838147287
Accuracy and Completeness of Citations,1,7,9.2641184903444
Accuracy of Information,1,8,7.818952918778074
Accuracy of Information,1,4,7.3540444185859535
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,7.337581947530565
Accuracy of Information,1,10,0.0
Accuracy of Information,1,2,7.300891754280066
Accuracy of Information,1,0,6.7353496881829455
Accuracy of Information,1,5,7.376810280526115
Accuracy of Information,1,6,7.4584481770560895
Accuracy of Information,1,1,6.886364503117821
Accuracy of Information,1,7,7.664405747317378
Appropriateness of Professional Terminology Use,1,8,4.588820183573392
Appropriateness of Professional Terminology Use,1,4,3.9654066676706377
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,4.417363957107941
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,2,4.403321286773039
Appropriateness of Professional Terminology Use,1,0,3.856179341999188
Appropriateness of Professional Terminology Use,1,5,4.128184673991365
Appropriateness of Professional Terminology Use,1,6,4.057516220451374
Appropriateness of Professional Terminology Use,1,1,3.928214644780242
Appropriateness of Professional Terminology Use,1,7,4.0093420342928345
Avoidance of Plagiarism and Appropriate Citation,1,8,9.843405067731776
Avoidance of Plagiarism and Appropriate Citation,1,4,9.871800982694527
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.82105904239954
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,9.85024345651951
Avoidance of Plagiarism and Appropriate Citation,1,0,9.87277733242758
Avoidance of Plagiarism and Appropriate Citation,1,5,9.843919144433967
Avoidance of Plagiarism and Appropriate Citation,1,6,9.86115823439798
Avoidance of Plagiarism and Appropriate Citation,1,1,9.886271230395916
Avoidance of Plagiarism and Appropriate Citation,1,7,9.847305999846835
Clarity of Logical Structure,1,8,4.545390531354883
Clarity of Logical Structure,1,4,4.520151848247841
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,3,6.57586924102639
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,2,5.106756654829588
Clarity of Logical Structure,1,0,1.98554458796543
Clarity of Logical Structure,1,5,4.701961989037893
Clarity of Logical Structure,1,6,5.97848306297067
Clarity of Logical Structure,1,1,4.553477781741147
Clarity of Logical Structure,1,7,4.202071341883022
Clarity of Research Method Description,1,8,5.992900402986994
Clarity of Research Method Description,1,4,4.336667001008844
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,3,4.871213677354038
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,2,4.974282649338006
Clarity of Research Method Description,1,0,4.510782650304852
Clarity of Research Method Description,1,5,4.483108177954767
Clarity of Research Method Description,1,6,4.702304203568163
Clarity of Research Method Description,1,1,4.536513980636294
Clarity of Research Method Description,1,7,5.6370428144657145
Comprehensiveness of Information,1,8,3.278801241597851
Comprehensiveness of Information,1,4,6.681772809730321
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,3,3.243193778402825
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,2,4.9522897994416315
Comprehensiveness of Information,1,0,0.9506607324576205
Comprehensiveness of Information,1,5,5.446806905113935
Comprehensiveness of Information,1,6,4.6530393341268566
Comprehensiveness of Information,1,1,3.1572313634700016
Comprehensiveness of Information,1,7,2.9732497120903836
Conciseness of Expression,1,8,7.151135308585381
Conciseness of Expression,1,4,6.065274509841308
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,3,8.11295815317277
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,2,7.2869710823516725
Conciseness of Expression,1,0,6.901041639651716
Conciseness of Expression,1,5,6.700665491366554
Conciseness of Expression,1,6,7.449352592895296
Conciseness of Expression,1,1,7.112853422549153
Conciseness of Expression,1,7,6.229425369677747
Critical Analysis of Existing Research,1,8,8.195067296434344
Critical Analysis of Existing Research,1,4,8.283630725765454
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,3,6.0975857815274255
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,2,7.595504864041633
Critical Analysis of Existing Research,1,0,2.2741750570208215
Critical Analysis of Existing Research,1,5,7.083576311263609
Critical Analysis of Existing Research,1,6,6.174014882179941
Critical Analysis of Existing Research,1,1,6.530238211271171
Critical Analysis of Existing Research,1,7,7.338174185274505
Feasibility of Proposed Suggestions,1,8,9.992472625418443
Feasibility of Proposed Suggestions,1,4,9.906033804896012
Feasibility of Proposed Suggestions,1,9,2.5048907120388777
Feasibility of Proposed Suggestions,1,3,9.987688744032562
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,2,9.8592681289467
Feasibility of Proposed Suggestions,1,0,8.303097114429761
Feasibility of Proposed Suggestions,1,5,10.0
Feasibility of Proposed Suggestions,1,6,9.972330869570508
Feasibility of Proposed Suggestions,1,1,9.822415212541916
Feasibility of Proposed Suggestions,1,7,8.986671490929636
Fluency of Language Expression,1,8,9.84230435725904
Fluency of Language Expression,1,4,9.942145243753258
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,3,10.0
Fluency of Language Expression,1,10,9.919080258877882
Fluency of Language Expression,1,2,9.966435901598771
Fluency of Language Expression,1,0,9.687554943943253
Fluency of Language Expression,1,5,9.986037921392558
Fluency of Language Expression,1,6,9.993456976046152
Fluency of Language Expression,1,1,9.930419917019528
Fluency of Language Expression,1,7,9.712724178930639
Identification and Discussion of Research Limitations,1,8,8.483027618924922
Identification and Discussion of Research Limitations,1,4,10.0
Identification and Discussion of Research Limitations,1,9,0.19371065487516498
Identification and Discussion of Research Limitations,1,3,8.05856469867637
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,2,8.344412573761275
Identification and Discussion of Research Limitations,1,0,6.952716677305578
Identification and Discussion of Research Limitations,1,5,8.045019296881058
Identification and Discussion of Research Limitations,1,6,8.425719028691342
Identification and Discussion of Research Limitations,1,1,8.172814445166006
Identification and Discussion of Research Limitations,1,7,7.558926796888877
Inclusion of Latest Research Results,1,8,9.368380245818589
Inclusion of Latest Research Results,1,4,9.634394877825612
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,3,9.475306325300295
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,2,9.590014036729706
Inclusion of Latest Research Results,1,0,9.256022942156678
Inclusion of Latest Research Results,1,5,9.510915484496547
Inclusion of Latest Research Results,1,6,9.511648573146138
Inclusion of Latest Research Results,1,1,9.556053237266473
Inclusion of Latest Research Results,1,7,9.573414342714056
Innovativeness of Viewpoints,1,8,10.0
Innovativeness of Viewpoints,1,4,9.997132561833586
Innovativeness of Viewpoints,1,9,4.445239004486352
Innovativeness of Viewpoints,1,3,9.933157032684303
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,2,9.99006307283336
Innovativeness of Viewpoints,1,0,6.008911155552172
Innovativeness of Viewpoints,1,5,9.966799239804828
Innovativeness of Viewpoints,1,6,9.940256242683269
Innovativeness of Viewpoints,1,1,9.908723834156083
Innovativeness of Viewpoints,1,7,9.878200589841667
Integration of Interdisciplinary Perspectives,1,8,2.06992941858311
Integration of Interdisciplinary Perspectives,1,4,6.268090498657119
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,3,7.04257484613533
