Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,6,9.984772711515138
Accuracy and Completeness of Citations,1,2,10.0
Accuracy and Completeness of Citations,1,1,9.996530669881485
Accuracy and Completeness of Citations,1,5,9.993334750949803
Accuracy and Completeness of Citations,1,8,9.987184551663688
Accuracy and Completeness of Citations,1,3,9.981025729782678
Accuracy and Completeness of Citations,1,9,9.97311303129979
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,9.995254086279989
Accuracy and Completeness of Citations,1,0,9.99411555848378
Accuracy and Completeness of Citations,1,4,9.99601676824739
Accuracy of Information,1,6,9.976944796645162
Accuracy of Information,1,2,9.998367062127855
Accuracy of Information,1,1,9.998116247941674
Accuracy of Information,1,5,9.985549861971945
Accuracy of Information,1,8,9.955903596153902
Accuracy of Information,1,3,9.77853892998374
Accuracy of Information,1,9,9.997255676748612
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,9.974770498503563
Accuracy of Information,1,0,9.97566437547407
Accuracy of Information,1,4,10.0
Appropriateness of Professional Terminology Use,1,6,9.756832313493314
Appropriateness of Professional Terminology Use,1,2,9.892086573191698
Appropriateness of Professional Terminology Use,1,1,9.833582829275393
Appropriateness of Professional Terminology Use,1,5,9.797100994345945
Appropriateness of Professional Terminology Use,1,8,9.704217716587763
Appropriateness of Professional Terminology Use,1,3,9.552697628369307
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,9.871653970215718
Appropriateness of Professional Terminology Use,1,0,9.728086908248502
Appropriateness of Professional Terminology Use,1,4,9.812555220670585
Avoidance of Plagiarism and Appropriate Citation,1,6,9.992466683968825
Avoidance of Plagiarism and Appropriate Citation,1,2,9.992125829437862
Avoidance of Plagiarism and Appropriate Citation,1,1,9.997674652466676
Avoidance of Plagiarism and Appropriate Citation,1,5,9.997756084566474
Avoidance of Plagiarism and Appropriate Citation,1,8,9.98779504786022
Avoidance of Plagiarism and Appropriate Citation,1,3,9.997635798218203
Avoidance of Plagiarism and Appropriate Citation,1,9,9.992387658362238
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,10.0
Avoidance of Plagiarism and Appropriate Citation,1,0,9.998259056117941
Avoidance of Plagiarism and Appropriate Citation,1,4,9.992936678778348
Clarity of Logical Structure,1,6,9.780406312875101
Clarity of Logical Structure,1,2,10.0
Clarity of Logical Structure,1,1,9.96896285981516
Clarity of Logical Structure,1,5,9.930137295690455
Clarity of Logical Structure,1,8,9.789220604283033
Clarity of Logical Structure,1,3,9.856328486036892
Clarity of Logical Structure,1,9,5.06771644753519
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,7,9.958526173828023
Clarity of Logical Structure,1,0,9.704204500821362
Clarity of Logical Structure,1,4,9.880018717977437
Clarity of Research Method Description,1,6,9.919281950444313
Clarity of Research Method Description,1,2,10.0
Clarity of Research Method Description,1,1,9.9895552038089
Clarity of Research Method Description,1,5,9.930393103526542
Clarity of Research Method Description,1,8,9.846721476895702
Clarity of Research Method Description,1,3,9.684361780874703
Clarity of Research Method Description,1,9,9.9046313567267
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,9.959657899318096
Clarity of Research Method Description,1,0,9.863955463799346
Clarity of Research Method Description,1,4,9.940430372991429
Comprehensiveness of Information,1,6,7.551590714482513
Comprehensiveness of Information,1,2,9.823212750578392
Comprehensiveness of Information,1,1,9.41170386308045
Comprehensiveness of Information,1,5,8.81404999251841
Comprehensiveness of Information,1,8,8.264093908862986
Comprehensiveness of Information,1,3,8.095873404012618
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,10,0.0
