Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,9.883698400157327
Accuracy and Completeness of Citations,1,2,9.88000506268348
Accuracy and Completeness of Citations,1,5,9.871985578167621
Accuracy and Completeness of Citations,1,1,9.857303465731047
Accuracy and Completeness of Citations,1,8,9.883077280869452
Accuracy and Completeness of Citations,1,4,9.862854115580568
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,3,9.879160318502064
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,6,9.843974448514446
Accuracy and Completeness of Citations,1,0,9.86668416868185
Accuracy of Information,1,7,7.681646235982701
Accuracy of Information,1,2,6.903179290785848
Accuracy of Information,1,5,7.249298369185256
Accuracy of Information,1,1,6.886217885926202
Accuracy of Information,1,8,7.252767241945049
Accuracy of Information,1,4,6.968451794223862
Accuracy of Information,1,10,0.0
Accuracy of Information,1,3,7.280720104368321
Accuracy of Information,1,9,10.0
Accuracy of Information,1,6,6.771465465380822
Accuracy of Information,1,0,7.087467097471325
Appropriateness of Professional Terminology Use,1,7,3.035238654812329
Appropriateness of Professional Terminology Use,1,2,2.836019900097897
Appropriateness of Professional Terminology Use,1,5,2.9289081764453853
Appropriateness of Professional Terminology Use,1,1,2.9126900413962176
Appropriateness of Professional Terminology Use,1,8,2.9603162568830754
Appropriateness of Professional Terminology Use,1,4,2.920062248108801
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,3,3.0887145593203944
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,6,2.701923970635999
Appropriateness of Professional Terminology Use,1,0,2.896152369918236
Avoidance of Plagiarism and Appropriate Citation,1,7,9.949330003360382
Avoidance of Plagiarism and Appropriate Citation,1,2,9.948457679319457
Avoidance of Plagiarism and Appropriate Citation,1,5,9.932705750342388
Avoidance of Plagiarism and Appropriate Citation,1,1,9.939831727168364
Avoidance of Plagiarism and Appropriate Citation,1,8,9.951047916959368
Avoidance of Plagiarism and Appropriate Citation,1,4,9.944590144302632
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.941674083325914
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.95779667688557
Avoidance of Plagiarism and Appropriate Citation,1,0,9.943001072443922
Clarity of Logical Structure,1,7,8.589443898589714
Clarity of Logical Structure,1,2,6.349047308287398
Clarity of Logical Structure,1,5,8.460694389744898
Clarity of Logical Structure,1,1,5.617172558790768
Clarity of Logical Structure,1,8,8.771815820955437
Clarity of Logical Structure,1,4,5.814382040490803
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,3,8.566210514942165
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,6,2.5280128402480577
Clarity of Logical Structure,1,0,7.839657929688025
Clarity of Research Method Description,1,7,7.339145887831936
Clarity of Research Method Description,1,2,7.0572506227661265
Clarity of Research Method Description,1,5,6.818850516044516
Clarity of Research Method Description,1,1,7.075266670942464
Clarity of Research Method Description,1,8,7.120554163482578
Clarity of Research Method Description,1,4,6.914414583660511
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,3,7.42202397977261
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,6,6.7038199097105435
Clarity of Research Method Description,1,0,7.057720521540423
Comprehensiveness of Information,1,7,9.709608818479701
Comprehensiveness of Information,1,2,7.371704406544777
Comprehensiveness of Information,1,5,9.029489027466916
Comprehensiveness of Information,1,1,5.727885851020141
Comprehensiveness of Information,1,8,8.81991492296953
Comprehensiveness of Information,1,4,6.159159530810976
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,3,8.67334039592346
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,6,3.230174362100069
Comprehensiveness of Information,1,0,6.924967310596687
Conciseness of Expression,1,7,4.738950370390885
Conciseness of Expression,1,2,4.162616456249001
Conciseness of Expression,1,5,4.943253305376653
Conciseness of Expression,1,1,3.9526652523087327
Conciseness of Expression,1,8,4.554268295942097
Conciseness of Expression,1,4,4.4834994445360525
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,3,5.701322749989237
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,6,3.1266869573788965
Conciseness of Expression,1,0,4.516981272294213
Critical Analysis of Existing Research,1,7,9.376359648582293
Critical Analysis of Existing Research,1,2,8.10652350849588
Critical Analysis of Existing Research,1,5,8.491565873219264
Critical Analysis of Existing Research,1,1,8.16870011341987
Critical Analysis of Existing Research,1,8,8.587093394598947
Critical Analysis of Existing Research,1,4,8.103593793993815
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,3,7.82824359007988
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,6,5.13283902468093
Critical Analysis of Existing Research,1,0,8.034927302187002
Feasibility of Proposed Suggestions,1,7,10.0
Feasibility of Proposed Suggestions,1,2,9.836854361735828
Feasibility of Proposed Suggestions,1,5,9.979818780644134
Feasibility of Proposed Suggestions,1,1,9.915111563232776
Feasibility of Proposed Suggestions,1,8,9.99906786956769
Feasibility of Proposed Suggestions,1,4,9.98403733341222
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,3,9.62576137792114
Feasibility of Proposed Suggestions,1,9,4.631672451628479
Feasibility of Proposed Suggestions,1,6,9.884281835902291
Feasibility of Proposed Suggestions,1,0,9.95266907022918
Fluency of Language Expression,1,7,9.999458801700959
Fluency of Language Expression,1,2,9.845545431889224
Fluency of Language Expression,1,5,9.96614213342306
Fluency of Language Expression,1,1,9.831935277427833
Fluency of Language Expression,1,8,9.958854882212671
Fluency of Language Expression,1,4,9.880228470215895
Fluency of Language Expression,1,10,10.0
Fluency of Language Expression,1,3,9.994939540842568
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,6,9.682743195888838
Fluency of Language Expression,1,0,9.95489242837627
Identification and Discussion of Research Limitations,1,7,10.0
Identification and Discussion of Research Limitations,1,2,9.89009512900006
Identification and Discussion of Research Limitations,1,5,9.924754221788652
Identification and Discussion of Research Limitations,1,1,9.965777540126272
Identification and Discussion of Research Limitations,1,8,9.986017644082496
Identification and Discussion of Research Limitations,1,4,9.96720930999788
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,3,9.95799915989553
Identification and Discussion of Research Limitations,1,9,2.692585502945082
Identification and Discussion of Research Limitations,1,6,9.906282593653339
Identification and Discussion of Research Limitations,1,0,9.93569315026653
Inclusion of Latest Research Results,1,7,10.0
Inclusion of Latest Research Results,1,2,9.989628859235486
Inclusion of Latest Research Results,1,5,9.986454338454122
Inclusion of Latest Research Results,1,1,9.986518477070483
Inclusion of Latest Research Results,1,8,9.999504437946154
Inclusion of Latest Research Results,1,4,9.996708414467854
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,3,9.984654138431633
Inclusion of Latest Research Results,1,9,9.99019541622223
Inclusion of Latest Research Results,1,6,9.997669127171195
Inclusion of Latest Research Results,1,0,9.99149929130169
Innovativeness of Viewpoints,1,7,10.0
Innovativeness of Viewpoints,1,2,9.73303523209582
Innovativeness of Viewpoints,1,5,9.96702160083227
Innovativeness of Viewpoints,1,1,9.823016465677584
Innovativeness of Viewpoints,1,8,9.966711803710139
Innovativeness of Viewpoints,1,4,9.954629197145202
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,3,9.266299822044582
Innovativeness of Viewpoints,1,9,3.1891872005985547
Innovativeness of Viewpoints,1,6,8.37122236394843
Innovativeness of Viewpoints,1,0,9.945953398841436
Integration of Interdisciplinary Perspectives,1,7,9.91217670711196
Integration of Interdisciplinary Perspectives,1,2,9.527119858846945
Integration of Interdisciplinary Perspectives,1,5,9.802129020596166
Integration of Interdisciplinary Perspectives,1,1,9.52218365978561
