Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.929021813911795
Accuracy and Completeness of Citations,1,3,9.993578156245093
Accuracy and Completeness of Citations,1,2,9.899448297380337
Accuracy and Completeness of Citations,1,6,9.975609645448257
Accuracy and Completeness of Citations,1,0,9.984463864999457
Accuracy and Completeness of Citations,1,5,9.976347870614473
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,9.964028274965107
Accuracy and Completeness of Citations,1,1,10.0
Accuracy and Completeness of Citations,1,9,9.680601256897003
Accuracy and Completeness of Citations,1,8,9.972357401894962
Accuracy of Information,1,4,9.783434887770147
Accuracy of Information,1,3,10.0
Accuracy of Information,1,2,9.623549066553476
Accuracy of Information,1,6,9.9184502291232
Accuracy of Information,1,0,9.996472844975493
Accuracy of Information,1,5,9.98356598098696
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,9.951586584397912
Accuracy of Information,1,1,9.998068360342899
Accuracy of Information,1,9,5.074346740325331
Accuracy of Information,1,8,9.945151508623656
Appropriateness of Professional Terminology Use,1,4,8.834762719726463
Appropriateness of Professional Terminology Use,1,3,9.980010130217147
Appropriateness of Professional Terminology Use,1,2,8.280216942376295
Appropriateness of Professional Terminology Use,1,6,9.805399573369549
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,5,9.968809700776905
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,9.843511997285866
Appropriateness of Professional Terminology Use,1,1,9.99361664408536
Appropriateness of Professional Terminology Use,1,9,0.8587478769316624
Appropriateness of Professional Terminology Use,1,8,9.923643236015462
Avoidance of Plagiarism and Appropriate Citation,1,4,9.986345288430519
Avoidance of Plagiarism and Appropriate Citation,1,3,9.999402403601126
Avoidance of Plagiarism and Appropriate Citation,1,2,9.9812434513171
Avoidance of Plagiarism and Appropriate Citation,1,6,9.994827015618501
Avoidance of Plagiarism and Appropriate Citation,1,0,9.980739044936831
Avoidance of Plagiarism and Appropriate Citation,1,5,9.99199889125615
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.986208416087297
Avoidance of Plagiarism and Appropriate Citation,1,1,10.0
Avoidance of Plagiarism and Appropriate Citation,1,9,9.9076102787126
Avoidance of Plagiarism and Appropriate Citation,1,8,9.986470529107383
Clarity of Logical Structure,1,4,3.5334139927103885
Clarity of Logical Structure,1,3,9.99206070575041
Clarity of Logical Structure,1,2,1.3300875265361292
Clarity of Logical Structure,1,6,9.474239970624856
Clarity of Logical Structure,1,0,10.0
Clarity of Logical Structure,1,5,9.771542365183725
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,7,9.499903702089872
Clarity of Logical Structure,1,1,9.982529140203374
Clarity of Logical Structure,1,9,8.538475257017899
Clarity of Logical Structure,1,8,9.429491352927274
Clarity of Research Method Description,1,4,8.770902104442348
Clarity of Research Method Description,1,3,9.68745094768093
Clarity of Research Method Description,1,2,9.127477297058382
Clarity of Research Method Description,1,6,9.654912249919512
Clarity of Research Method Description,1,0,9.61657237179275
Clarity of Research Method Description,1,5,9.594320808702728
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,9.59590704446553
Clarity of Research Method Description,1,1,9.694515778411748
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,8,9.624265060607907
Comprehensiveness of Information,1,4,4.325263711642753
Comprehensiveness of Information,1,3,9.725475410728775
Comprehensiveness of Information,1,2,1.6736837140583134
Comprehensiveness of Information,1,6,9.678224183830313
Comprehensiveness of Information,1,0,9.77866986537906
Comprehensiveness of Information,1,5,9.318800932366607
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,7,7.579749535141403
Comprehensiveness of Information,1,1,10.0
Comprehensiveness of Information,1,9,8.066506390503886
Comprehensiveness of Information,1,8,9.87908209695109
Conciseness of Expression,1,4,2.9440519370221385
Conciseness of Expression,1,3,5.777064610364494
Conciseness of Expression,1,2,2.7323615834030957
Conciseness of Expression,1,6,4.847166509637573
Conciseness of Expression,1,0,5.229175895418962
Conciseness of Expression,1,5,4.198907296238466
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,7,4.835152947687638
Conciseness of Expression,1,1,5.345180398756631
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,8,4.8681704630109826
Critical Analysis of Existing Research,1,4,9.172882832932258
Critical Analysis of Existing Research,1,3,9.923774661185602
Critical Analysis of Existing Research,1,2,5.510454979880156
Critical Analysis of Existing Research,1,6,9.35175755242844
Critical Analysis of Existing Research,1,0,10.0
Critical Analysis of Existing Research,1,5,9.865126124430011
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,7,9.69046113854899
Critical Analysis of Existing Research,1,1,9.960317655570691
Critical Analysis of Existing Research,1,9,7.068246180581063
Critical Analysis of Existing Research,1,8,9.503832519768514
Feasibility of Proposed Suggestions,1,4,8.849588412728583
Feasibility of Proposed Suggestions,1,3,9.95789580658691
Feasibility of Proposed Suggestions,1,2,7.720682225608513
Feasibility of Proposed Suggestions,1,6,9.883805895368406
Feasibility of Proposed Suggestions,1,0,10.0
Feasibility of Proposed Suggestions,1,5,9.84510622172542
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,7,9.735959585414788
Feasibility of Proposed Suggestions,1,1,9.929408371840035
Feasibility of Proposed Suggestions,1,9,2.114133729063207
Feasibility of Proposed Suggestions,1,8,9.956648105642662
Fluency of Language Expression,1,4,0.11991556083904742
Fluency of Language Expression,1,3,3.600738852780089
Fluency of Language Expression,1,2,0.0
Fluency of Language Expression,1,6,1.3456751052551874
Fluency of Language Expression,1,0,3.3234477891048364
Fluency of Language Expression,1,5,0.673629268395209
Fluency of Language Expression,1,10,10.0
Fluency of Language Expression,1,7,0.6632977429792452
Fluency of Language Expression,1,1,1.8911622910100567
Fluency of Language Expression,1,9,0.36648139297477667
Fluency of Language Expression,1,8,0.9863850242467003
Identification and Discussion of Research Limitations,1,4,9.78155221440955
Identification and Discussion of Research Limitations,1,3,8.64744467070689
Identification and Discussion of Research Limitations,1,2,7.584371979161516
Identification and Discussion of Research Limitations,1,6,7.773897271302133
Identification and Discussion of Research Limitations,1,0,8.222976089244348
Identification and Discussion of Research Limitations,1,5,7.526678137664717
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,7,9.327480754769931
Identification and Discussion of Research Limitations,1,1,8.260303962725356
Identification and Discussion of Research Limitations,1,9,10.0
Identification and Discussion of Research Limitations,1,8,7.872359582490854
Inclusion of Latest Research Results,1,4,9.949042748472108
