Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.5612605105926122,[0.44 0.68],71.69811320754717
Comprehensiveness of Information,0.769172892673298,[0.69 0.84],78.18181818181819
Accuracy of Information,0.8063058032186486,[0.74 0.87],46.15384615384615
Innovativeness of Viewpoints,0.8629876797105298,[0.81 0.91],81.81818181818183
Integration of Interdisciplinary Perspectives,0.5519259903595143,[0.45 0.66],78.83211678832117
Clarity of Logical Structure,0.6718541922616728,[0.52 0.79],85.33333333333334
Reasonableness of Chapter Arrangement,0.7010063969056828,[0.59 0.8 ],82.5503355704698
Quality of Introduction and Conclusion,0.7924575648208414,[0.71 0.86],78.343949044586
Accuracy and Completeness of Citations,0.9412706136043592,[0.91 0.96],60.86956521739131
Timeliness and Relevance of References,0.9234822705160627,[0.89 0.95],32.0
Avoidance of Plagiarism and Appropriate Citation,0.9370250202191036,[0.91 0.96],33.33333333333333
Critical Analysis of Existing Research,0.8822227427606103,[0.83 0.92],78.18181818181819
Proposal of New Research Directions or Questions,0.927634879691752,[0.89 0.95],83.63636363636363
Potential Contribution to the Field,0.8748370718658085,[0.82 0.92],80.6896551724138
Clarity of Research Method Description,0.8800156078103148,[0.82 0.92],70.37037037037037
Rationality of Method Selection,0.8173496380797028,[0.75 0.87],62.96296296296296
Rigor of Research Design,0.8707293310614252,[0.82 0.91],54.347826086956516
Inclusion of Latest Research Results,0.8883865180842537,[0.84 0.93],55.81395348837209
Reflection of Current Research Hotspots,0.7675842719048525,[0.67 0.85],80.0
Fluency of Language Expression,0.45468028277975,[0.35 0.58],75.0
Appropriateness of Professional Terminology Use,0.7071804722234212,[0.62 0.79],38.46153846153847
Conciseness of Expression,0.5898163701895294,[0.45 0.71],90.56603773584906
Practical Application Potential of Research Results,0.8623141362613773,[0.81 0.91],80.92105263157895
Feasibility of Proposed Suggestions,0.8812415021835439,[0.84 0.92],85.45454545454545
Logic of Argumentation,0.7530617189186067,[0.65 0.84],86.66666666666667
Multi-angle Analysis of Problems,0.6457712104416329,[0.54 0.75],84.84848484848484
Identification and Discussion of Research Limitations,0.802563043353084,[0.74 0.86],56.896551724137936
