Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,9.663265389072624
Accuracy and Completeness of Citations,1,5,9.539705822348704
Accuracy and Completeness of Citations,1,6,9.687954599130949
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,3,9.478164812384039
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,7,9.6750119837948
Accuracy and Completeness of Citations,1,4,9.715976435608939
Accuracy and Completeness of Citations,1,1,9.672537079098287
Accuracy and Completeness of Citations,1,8,9.60544493599543
Accuracy and Completeness of Citations,1,2,9.697064271547893
Accuracy of Information,1,0,6.928869948092844
Accuracy of Information,1,5,6.430611511100477
Accuracy of Information,1,6,7.007654173111803
Accuracy of Information,1,10,0.0
Accuracy of Information,1,3,6.315037454907296
Accuracy of Information,1,9,10.0
Accuracy of Information,1,7,6.664254966354839
Accuracy of Information,1,4,7.313590322315405
Accuracy of Information,1,1,7.124846677670006
Accuracy of Information,1,8,7.255068994378965
Accuracy of Information,1,2,6.91931006382709
Appropriateness of Professional Terminology Use,1,0,4.19287147603967
Appropriateness of Professional Terminology Use,1,5,4.0632361393731165
Appropriateness of Professional Terminology Use,1,6,4.523038880563971
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,3,4.091132579753074
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,7,4.34616921185478
Appropriateness of Professional Terminology Use,1,4,4.303259948330347
Appropriateness of Professional Terminology Use,1,1,4.4280600578510825
Appropriateness of Professional Terminology Use,1,8,4.419054480345522
Appropriateness of Professional Terminology Use,1,2,5.033376679861309
Avoidance of Plagiarism and Appropriate Citation,1,0,9.87376115569674
Avoidance of Plagiarism and Appropriate Citation,1,5,9.92988218280856
Avoidance of Plagiarism and Appropriate Citation,1,6,9.88870612315243
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.873463846111433
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.904258675697928
Avoidance of Plagiarism and Appropriate Citation,1,4,9.85704840180514
Avoidance of Plagiarism and Appropriate Citation,1,1,9.890089672316238
Avoidance of Plagiarism and Appropriate Citation,1,8,9.887771016840926
Avoidance of Plagiarism and Appropriate Citation,1,2,9.9106267637691
Clarity of Logical Structure,1,0,9.534121615048582
Clarity of Logical Structure,1,5,8.41016971707019
Clarity of Logical Structure,1,6,9.240436212909634
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,3,8.81210549905444
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,7,9.518030261637088
Clarity of Logical Structure,1,4,9.701220128770633
Clarity of Logical Structure,1,1,9.384785915905123
Clarity of Logical Structure,1,8,9.021950220883156
Clarity of Logical Structure,1,2,9.35722655298746
Clarity of Research Method Description,1,0,6.8680025034157675
Clarity of Research Method Description,1,5,6.60975032878645
Clarity of Research Method Description,1,6,6.368016369249641
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,3,6.62229046763025
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,7,6.786394337343363
Clarity of Research Method Description,1,4,6.966654453429591
Clarity of Research Method Description,1,1,6.566954861520186
Clarity of Research Method Description,1,8,6.399431474596209
Clarity of Research Method Description,1,2,6.745388030037348
Comprehensiveness of Information,1,0,6.846828202655102
Comprehensiveness of Information,1,5,3.26621086578618
Comprehensiveness of Information,1,6,7.480606242219962
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,3,3.295384435575647
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,7,5.852485831172743
Comprehensiveness of Information,1,4,7.693485559698838
Comprehensiveness of Information,1,1,6.840356365437962
Comprehensiveness of Information,1,8,4.24366420430725
Comprehensiveness of Information,1,2,8.384634000306091
Conciseness of Expression,1,0,5.56380388246281
Conciseness of Expression,1,5,3.475158602134312
Conciseness of Expression,1,6,5.545213874317469
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,3,4.716418112694231
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,7,5.526487624181158
Conciseness of Expression,1,4,5.297346274298103
Conciseness of Expression,1,1,4.9851111677479905
Conciseness of Expression,1,8,5.286166833710267
Conciseness of Expression,1,2,5.424197378986831
Critical Analysis of Existing Research,1,0,8.231988962324197
Critical Analysis of Existing Research,1,5,5.12171802597403
Critical Analysis of Existing Research,1,6,8.605833398946984
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,3,4.982181774207423
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,7,7.847674430031725
Critical Analysis of Existing Research,1,4,8.794286472188928
Critical Analysis of Existing Research,1,1,8.164230214822634
Critical Analysis of Existing Research,1,8,7.706569404789873
Critical Analysis of Existing Research,1,2,8.90663138289997
Feasibility of Proposed Suggestions,1,0,9.921316834904244
Feasibility of Proposed Suggestions,1,5,9.336601330182475
Feasibility of Proposed Suggestions,1,6,9.937106273262955
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,3,9.603170684800501
Feasibility of Proposed Suggestions,1,9,4.25162195796879
Feasibility of Proposed Suggestions,1,7,9.755346224884688
Feasibility of Proposed Suggestions,1,4,9.511072818894146
Feasibility of Proposed Suggestions,1,1,9.835882685714106
Feasibility of Proposed Suggestions,1,8,9.930354169061602
Feasibility of Proposed Suggestions,1,2,10.0
Fluency of Language Expression,1,0,8.048339917335605
Fluency of Language Expression,1,5,8.442783479775953
Fluency of Language Expression,1,6,8.662893121078412
Fluency of Language Expression,1,10,10.0
Fluency of Language Expression,1,3,8.567697947618186
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,7,8.00373373769506
Fluency of Language Expression,1,4,9.748061044106306
Fluency of Language Expression,1,1,8.304449961526247
Fluency of Language Expression,1,8,8.550528217032678
Fluency of Language Expression,1,2,8.741700419547376
Identification and Discussion of Research Limitations,1,0,9.991729986816013
Identification and Discussion of Research Limitations,1,5,9.961463655427472
Identification and Discussion of Research Limitations,1,6,9.988827718845451
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,3,9.906051214866723
Identification and Discussion of Research Limitations,1,9,8.217941131526114
Identification and Discussion of Research Limitations,1,7,9.97974444749381
Identification and Discussion of Research Limitations,1,4,10.0
Identification and Discussion of Research Limitations,1,1,9.974388570228834
Identification and Discussion of Research Limitations,1,8,9.999006369148992
Identification and Discussion of Research Limitations,1,2,9.995008532339156
Inclusion of Latest Research Results,1,0,9.915112501541515
Inclusion of Latest Research Results,1,5,9.840592903376267
Inclusion of Latest Research Results,1,6,9.976751597500494
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,3,9.826667770746838
