Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,9.804334404240546
Accuracy and Completeness of Citations,1,8,9.835752784799325
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,6,9.83822261203976
Accuracy and Completeness of Citations,1,3,9.797951351464325
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,1,9.847836701301748
Accuracy and Completeness of Citations,1,0,9.821973281057556
Accuracy and Completeness of Citations,1,4,9.815434192779213
Accuracy and Completeness of Citations,1,5,9.790063840513396
Accuracy and Completeness of Citations,1,7,9.859637680337643
Accuracy of Information,1,2,8.680899938197532
Accuracy of Information,1,8,8.802521096513493
Accuracy of Information,1,10,0.0
Accuracy of Information,1,6,9.052554359687612
Accuracy of Information,1,3,8.77631339459616
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,9.44397568712394
Accuracy of Information,1,0,8.983799868443498
Accuracy of Information,1,4,9.018277000418788
Accuracy of Information,1,5,8.695052817109634
Accuracy of Information,1,7,9.041269086492163
Appropriateness of Professional Terminology Use,1,2,5.506267821167984
Appropriateness of Professional Terminology Use,1,8,5.868633324894075
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,6,5.9362849355404625
Appropriateness of Professional Terminology Use,1,3,4.6797915515109505
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,1,6.8709178876695605
Appropriateness of Professional Terminology Use,1,0,5.870132324861373
Appropriateness of Professional Terminology Use,1,4,5.780705359616311
Appropriateness of Professional Terminology Use,1,5,4.8829105403842075
Appropriateness of Professional Terminology Use,1,7,6.5228693747851825
Avoidance of Plagiarism and Appropriate Citation,1,2,9.933191080046102
Avoidance of Plagiarism and Appropriate Citation,1,8,9.944630159353473
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.941104239848501
Avoidance of Plagiarism and Appropriate Citation,1,3,9.92031042190723
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.921807117201507
Avoidance of Plagiarism and Appropriate Citation,1,0,9.93407111474205
Avoidance of Plagiarism and Appropriate Citation,1,4,9.936197589873094
Avoidance of Plagiarism and Appropriate Citation,1,5,9.909213508464672
Avoidance of Plagiarism and Appropriate Citation,1,7,9.948231112169735
Clarity of Logical Structure,1,2,6.078755148493688
Clarity of Logical Structure,1,8,7.636214060182674
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,6,8.129406266452204
Clarity of Logical Structure,1,3,6.378777834115572
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,1,7.489875242067779
Clarity of Logical Structure,1,0,6.401923039432676
Clarity of Logical Structure,1,4,7.463981932444048
Clarity of Logical Structure,1,5,5.813994107466673
Clarity of Logical Structure,1,7,7.973049206897108
Clarity of Research Method Description,1,2,8.240912063670098
Clarity of Research Method Description,1,8,8.81529912572239
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,6,8.967300205530647
Clarity of Research Method Description,1,3,8.443911726113262
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,1,8.809446284068494
Clarity of Research Method Description,1,0,8.634063616419052
Clarity of Research Method Description,1,4,8.87369682223603
Clarity of Research Method Description,1,5,8.37406046376928
Clarity of Research Method Description,1,7,9.003988427301078
Comprehensiveness of Information,1,2,5.377649519398558
Comprehensiveness of Information,1,8,5.514947032664124
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,6,6.40775340863848
Comprehensiveness of Information,1,3,4.010893594503281
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,1,8.767747993125543
Comprehensiveness of Information,1,0,7.114529419347149
Comprehensiveness of Information,1,4,5.969837837066792
Comprehensiveness of Information,1,5,4.381439963180466
Comprehensiveness of Information,1,7,8.00982666524779
Conciseness of Expression,1,2,2.770654225135375
Conciseness of Expression,1,8,3.431734892180201
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,6,3.6220178147237023
Conciseness of Expression,1,3,4.045996819111377
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,1,2.8285080356548464
Conciseness of Expression,1,0,2.6225657322813443
Conciseness of Expression,1,4,3.7769409352197907
Conciseness of Expression,1,5,3.137777372168851
Conciseness of Expression,1,7,2.928721212062716
Critical Analysis of Existing Research,1,2,7.929673244177187
Critical Analysis of Existing Research,1,8,7.26716225565294
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,6,8.509527499009105
Critical Analysis of Existing Research,1,3,6.669299225148279
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,1,9.265669732455457
Critical Analysis of Existing Research,1,0,8.889854534555115
Critical Analysis of Existing Research,1,4,7.692000865695908
Critical Analysis of Existing Research,1,5,6.985789608102029
Critical Analysis of Existing Research,1,7,9.301747684757363
Feasibility of Proposed Suggestions,1,2,9.845617289363364
Feasibility of Proposed Suggestions,1,8,9.246660365916743
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,6,9.865954737223763
Feasibility of Proposed Suggestions,1,3,9.803573515560617
Feasibility of Proposed Suggestions,1,9,1.4654640124986456
Feasibility of Proposed Suggestions,1,1,9.883947784003656
Feasibility of Proposed Suggestions,1,0,9.968049161965931
Feasibility of Proposed Suggestions,1,4,9.393886819986193
Feasibility of Proposed Suggestions,1,5,9.898336754929527
Feasibility of Proposed Suggestions,1,7,10.0
Fluency of Language Expression,1,2,2.825974523960732
Fluency of Language Expression,1,8,3.8919381000478546
Fluency of Language Expression,1,10,10.0
Fluency of Language Expression,1,6,4.078933575307369
Fluency of Language Expression,1,3,3.8165066055325534
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,1,4.015439641223806
Fluency of Language Expression,1,0,4.033302288085386
Fluency of Language Expression,1,4,4.5604903272427
Fluency of Language Expression,1,5,2.704905519963044
Fluency of Language Expression,1,7,3.712098067650791
Identification and Discussion of Research Limitations,1,2,9.938561341890882
Identification and Discussion of Research Limitations,1,8,9.918279554426201
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,6,9.990044720783096
Identification and Discussion of Research Limitations,1,3,9.926559835042248
Identification and Discussion of Research Limitations,1,9,2.508383986102912
Identification and Discussion of Research Limitations,1,1,10.0
Identification and Discussion of Research Limitations,1,0,9.998668501697981
Identification and Discussion of Research Limitations,1,4,9.967156931607617
Identification and Discussion of Research Limitations,1,5,9.92829310824003
Identification and Discussion of Research Limitations,1,7,9.982748305150247
Inclusion of Latest Research Results,1,2,9.9937678348999
Inclusion of Latest Research Results,1,8,9.84771972814765
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,6,9.978663464657522
Inclusion of Latest Research Results,1,3,9.937885251532569
Inclusion of Latest Research Results,1,9,9.291254580070257
Inclusion of Latest Research Results,1,1,9.94297541203662
Inclusion of Latest Research Results,1,0,9.953300250806365
Inclusion of Latest Research Results,1,4,9.912914164369413
Inclusion of Latest Research Results,1,5,9.966023217044164
Inclusion of Latest Research Results,1,7,10.0
Innovativeness of Viewpoints,1,2,8.116755384875658
Innovativeness of Viewpoints,1,8,2.589768883027526
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,6,8.310156884038916
Innovativeness of Viewpoints,1,3,6.2957705468418785
Innovativeness of Viewpoints,1,9,1.229141434904572
Innovativeness of Viewpoints,1,1,10.0
Innovativeness of Viewpoints,1,0,9.985652553941398
Innovativeness of Viewpoints,1,4,4.914870296104401
