Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.98303625280863
Accuracy and Completeness of Citations,1,9,9.729547120989453
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,1,9.983985123952904
Accuracy and Completeness of Citations,1,3,10.0
Accuracy and Completeness of Citations,1,8,9.99042217289674
Accuracy and Completeness of Citations,1,7,9.987481529106184
Accuracy and Completeness of Citations,1,0,9.990197431823223
Accuracy and Completeness of Citations,1,6,9.995923920950917
Accuracy and Completeness of Citations,1,2,9.989219903314021
Accuracy and Completeness of Citations,1,5,9.992896013462019
Accuracy of Information,1,4,9.978220994859672
Accuracy of Information,1,9,9.944309921834765
Accuracy of Information,1,10,0.0
Accuracy of Information,1,1,9.970489909947485
Accuracy of Information,1,3,9.996136525555828
Accuracy of Information,1,8,9.980731435646643
Accuracy of Information,1,7,9.976956723977008
Accuracy of Information,1,0,9.989784045201793
Accuracy of Information,1,6,10.0
Accuracy of Information,1,2,9.985444013486006
Accuracy of Information,1,5,9.984956399309535
Appropriateness of Professional Terminology Use,1,4,9.960281640446196
Appropriateness of Professional Terminology Use,1,9,9.92287148716379
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,1,9.947168765219374
Appropriateness of Professional Terminology Use,1,3,9.971446420805412
Appropriateness of Professional Terminology Use,1,8,9.978653193695122
Appropriateness of Professional Terminology Use,1,7,9.984028809924212
Appropriateness of Professional Terminology Use,1,0,9.976562249692547
Appropriateness of Professional Terminology Use,1,6,10.0
Appropriateness of Professional Terminology Use,1,2,9.973533528460665
Appropriateness of Professional Terminology Use,1,5,9.990100140647563
Avoidance of Plagiarism and Appropriate Citation,1,4,9.9983832701327
Avoidance of Plagiarism and Appropriate Citation,1,9,9.888569250869274
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.987039568187077
Avoidance of Plagiarism and Appropriate Citation,1,3,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,9.991032694608995
Avoidance of Plagiarism and Appropriate Citation,1,7,9.988997671684206
Avoidance of Plagiarism and Appropriate Citation,1,0,9.985139515543281
Avoidance of Plagiarism and Appropriate Citation,1,6,9.991546107078037
Avoidance of Plagiarism and Appropriate Citation,1,2,9.992843523599362
Avoidance of Plagiarism and Appropriate Citation,1,5,9.998616442845712
Clarity of Logical Structure,1,4,9.674314315098668
Clarity of Logical Structure,1,9,5.122192374516601
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,1,9.706402495838008
Clarity of Logical Structure,1,3,9.8990056416452
Clarity of Logical Structure,1,8,9.90145177998638
Clarity of Logical Structure,1,7,9.859300219521952
Clarity of Logical Structure,1,0,10.0
Clarity of Logical Structure,1,6,9.95569476037813
Clarity of Logical Structure,1,2,9.842346418401199
Clarity of Logical Structure,1,5,9.821526875316076
Clarity of Research Method Description,1,4,9.792441408755666
Clarity of Research Method Description,1,9,9.93125821985533
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,1,9.793918709923712
Clarity of Research Method Description,1,3,10.0
Clarity of Research Method Description,1,8,9.956442728795809
Clarity of Research Method Description,1,7,9.95666186333488
Clarity of Research Method Description,1,0,9.988522148509448
Clarity of Research Method Description,1,6,9.989256510850138
Clarity of Research Method Description,1,2,9.971187259000843
Clarity of Research Method Description,1,5,9.964485761478429
Comprehensiveness of Information,1,4,9.380493012578942
Comprehensiveness of Information,1,9,9.188345051461996
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,1,9.337766156690098
Comprehensiveness of Information,1,3,9.923720589838762
Comprehensiveness of Information,1,8,9.806116872809733
Comprehensiveness of Information,1,7,9.678943052801301
Comprehensiveness of Information,1,0,10.0
Comprehensiveness of Information,1,6,9.945359793315026
Comprehensiveness of Information,1,2,9.750313364819085
Comprehensiveness of Information,1,5,9.599075720787615
Conciseness of Expression,1,4,1.4762283519211001
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,1,1.5914459692802507
Conciseness of Expression,1,3,1.3098988727799243
Conciseness of Expression,1,8,2.7319346534687696
Conciseness of Expression,1,7,2.180708580295182
Conciseness of Expression,1,0,3.790529196153999
Conciseness of Expression,1,6,2.201134565575126
Conciseness of Expression,1,2,2.3394154289741507
Conciseness of Expression,1,5,1.9946144454663866
Critical Analysis of Existing Research,1,4,9.609277791943205
Critical Analysis of Existing Research,1,9,9.495872004892663
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,1,9.540402679055735
Critical Analysis of Existing Research,1,3,9.89718347746805
Critical Analysis of Existing Research,1,8,9.897360064292045
Critical Analysis of Existing Research,1,7,9.77086155721127
Critical Analysis of Existing Research,1,0,10.0
Critical Analysis of Existing Research,1,6,9.980576342761964
Critical Analysis of Existing Research,1,2,9.868595787003937
Critical Analysis of Existing Research,1,5,9.766107468716296
Feasibility of Proposed Suggestions,1,4,9.878379964406673
Feasibility of Proposed Suggestions,1,9,8.003547054438203
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,1,9.707220402983584
Feasibility of Proposed Suggestions,1,3,9.947373906383369
Feasibility of Proposed Suggestions,1,8,9.932164993376988
Feasibility of Proposed Suggestions,1,7,9.807009088619381
Feasibility of Proposed Suggestions,1,0,10.0
Feasibility of Proposed Suggestions,1,6,9.938989886672843
Feasibility of Proposed Suggestions,1,2,9.749968797255223
Feasibility of Proposed Suggestions,1,5,9.814768291214172
Fluency of Language Expression,1,4,9.288629973547165
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,10,8.909004649777064
Fluency of Language Expression,1,1,9.325757638096684
Fluency of Language Expression,1,3,9.81394442068612
Fluency of Language Expression,1,8,9.79389252687403
Fluency of Language Expression,1,7,9.792622139639539
Fluency of Language Expression,1,0,10.0
Fluency of Language Expression,1,6,9.92941098343018
Fluency of Language Expression,1,2,9.66827145582739
Fluency of Language Expression,1,5,9.575951533602371
Identification and Discussion of Research Limitations,1,4,9.967798399845119
Identification and Discussion of Research Limitations,1,9,0.2588221605613797
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,1,9.946901308400582
Identification and Discussion of Research Limitations,1,3,10.0
Identification and Discussion of Research Limitations,1,8,9.991970693396498
Identification and Discussion of Research Limitations,1,7,9.971073687336261
Identification and Discussion of Research Limitations,1,0,9.976603093478753
Identification and Discussion of Research Limitations,1,6,9.981589098301518
Identification and Discussion of Research Limitations,1,2,9.987679640354228
Identification and Discussion of Research Limitations,1,5,9.996566917272425
Inclusion of Latest Research Results,1,4,9.968926436479496
