Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.7775086848405386,[0.69 0.85],77.77777777777779
Comprehensiveness of Information,0.847284774740175,[0.77 0.9 ],86.06060606060606
Accuracy of Information,0.8778392595472141,[0.83 0.92],64.28571428571429
Innovativeness of Viewpoints,0.8240367344614092,[0.76 0.88],83.03030303030303
Integration of Interdisciplinary Perspectives,0.7402694288800915,[0.64 0.82],84.7328244274809
Clarity of Logical Structure,0.8234575083029304,[0.71 0.89],86.39455782312925
Reasonableness of Chapter Arrangement,0.8414223644248507,[0.77 0.9 ],83.33333333333334
Quality of Introduction and Conclusion,0.8667968199662498,[0.82 0.91],83.03030303030303
Accuracy and Completeness of Citations,0.9285821940079442,[0.89 0.95],69.23076923076923
Timeliness and Relevance of References,0.8843052765212375,[0.84 0.92],55.55555555555556
Avoidance of Plagiarism and Appropriate Citation,0.8998931863550153,[0.86 0.93],27.27272727272727
Critical Analysis of Existing Research,0.8410891487130713,[0.78 0.89],87.27272727272727
Proposal of New Research Directions or Questions,0.8846402416219713,[0.84 0.92],84.24242424242424
Potential Contribution to the Field,0.8425703348965388,[0.78 0.9 ],82.05128205128204
Clarity of Research Method Description,0.8180429996226778,[0.73 0.88],86.31578947368422
Rationality of Method Selection,0.7680074201429739,[0.69 0.84],57.14285714285714
Rigor of Research Design,0.8364789404970152,[0.78 0.89],73.52941176470588
Inclusion of Latest Research Results,0.8655266102777828,[0.81 0.91],80.76923076923077
Reflection of Current Research Hotspots,0.7621137364586094,[0.67 0.84],78.26086956521739
Fluency of Language Expression,0.43565268101040466,[0.32 0.56],78.04878048780488
Appropriateness of Professional Terminology Use,0.6823906187066076,[0.58 0.78],59.09090909090909
Conciseness of Expression,0.6161134692053887,[0.51 0.72],80.0
Practical Application Potential of Research Results,0.8617968160705071,[0.81 0.91],81.21212121212122
Feasibility of Proposed Suggestions,0.8567804239425505,[0.8 0.9],81.81818181818183
Logic of Argumentation,0.8270368576740619,[0.75 0.89],87.94326241134752
Multi-angle Analysis of Problems,0.7806395110872588,[0.7  0.85],81.81818181818183
Identification and Discussion of Research Limitations,0.5517450315075133,[0.45 0.66],48.64864864864865
