Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,9.94083530732512
Accuracy and Completeness of Citations,1,1,9.95576855647549
Accuracy and Completeness of Citations,1,6,9.973206141475218
Accuracy and Completeness of Citations,1,3,10.0
Accuracy and Completeness of Citations,1,9,9.579756551827675
Accuracy and Completeness of Citations,1,4,9.978880252902496
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,2,9.985780587545461
Accuracy and Completeness of Citations,1,7,9.981981150072073
Accuracy and Completeness of Citations,1,5,9.9842545270822
Accuracy and Completeness of Citations,1,0,9.975754606425308
Accuracy of Information,1,8,9.889851166885299
Accuracy of Information,1,1,9.933655135933995
Accuracy of Information,1,6,9.952010291299558
Accuracy of Information,1,3,9.99933759935525
Accuracy of Information,1,9,9.47363418369237
Accuracy of Information,1,4,9.992553832223033
Accuracy of Information,1,10,0.0
Accuracy of Information,1,2,9.994686213804531
Accuracy of Information,1,7,9.968069696729854
Accuracy of Information,1,5,10.0
Accuracy of Information,1,0,9.965697262695452
Appropriateness of Professional Terminology Use,1,8,9.621868447665744
Appropriateness of Professional Terminology Use,1,1,9.858725570987419
Appropriateness of Professional Terminology Use,1,6,9.86836777005472
Appropriateness of Professional Terminology Use,1,3,10.0
Appropriateness of Professional Terminology Use,1,9,8.848708846704492
Appropriateness of Professional Terminology Use,1,4,9.940173466014944
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,2,9.951434559067023
Appropriateness of Professional Terminology Use,1,7,9.92313870807989
Appropriateness of Professional Terminology Use,1,5,9.98923979114525
Appropriateness of Professional Terminology Use,1,0,9.866326161708248
Avoidance of Plagiarism and Appropriate Citation,1,8,9.981580801275745
Avoidance of Plagiarism and Appropriate Citation,1,1,9.990119454176565
Avoidance of Plagiarism and Appropriate Citation,1,6,9.98196784927746
Avoidance of Plagiarism and Appropriate Citation,1,3,10.0
Avoidance of Plagiarism and Appropriate Citation,1,9,9.955444673146363
Avoidance of Plagiarism and Appropriate Citation,1,4,9.986426348068628
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
