Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,9.956099270363648
Accuracy and Completeness of Citations,1,4,9.915720182891198
Accuracy and Completeness of Citations,1,9,9.998310242593185
Accuracy and Completeness of Citations,1,8,9.868939663015757
Accuracy and Completeness of Citations,1,2,9.96825621296136
Accuracy and Completeness of Citations,1,6,9.958261673357695
Accuracy and Completeness of Citations,1,0,9.934014810822188
Accuracy and Completeness of Citations,1,3,10.0
Accuracy and Completeness of Citations,1,5,9.963780638039234
Accuracy and Completeness of Citations,1,1,9.9293594930658
Accuracy and Completeness of Citations,1,10,0.0
Accuracy of Information,1,7,9.487451940370903
Accuracy of Information,1,4,9.296540269238298
Accuracy of Information,1,9,10.0
Accuracy of Information,1,8,9.20937024187382
Accuracy of Information,1,2,9.281661536246656
Accuracy of Information,1,6,9.221481611968763
Accuracy of Information,1,0,7.995170669534393
Accuracy of Information,1,3,9.53662560215262
Accuracy of Information,1,5,9.227347692670524
Accuracy of Information,1,1,9.015143984295912
Accuracy of Information,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,9.549377569989005
Appropriateness of Professional Terminology Use,1,4,9.422936008469176
Appropriateness of Professional Terminology Use,1,9,9.721807023934028
Appropriateness of Professional Terminology Use,1,8,9.96890527469327
Appropriateness of Professional Terminology Use,1,2,9.899875270730123
Appropriateness of Professional Terminology Use,1,6,8.199983466644808
Appropriateness of Professional Terminology Use,1,0,7.507545798979135
Appropriateness of Professional Terminology Use,1,3,10.0
Appropriateness of Professional Terminology Use,1,5,9.881317954637133
Appropriateness of Professional Terminology Use,1,1,9.870197716959431
Appropriateness of Professional Terminology Use,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.990092017482022
Avoidance of Plagiarism and Appropriate Citation,1,4,9.903737229472705
Avoidance of Plagiarism and Appropriate Citation,1,9,9.953193026622289
Avoidance of Plagiarism and Appropriate Citation,1,8,9.846204188834538
Avoidance of Plagiarism and Appropriate Citation,1,2,9.990922406391439
Avoidance of Plagiarism and Appropriate Citation,1,6,9.990030845121451
Avoidance of Plagiarism and Appropriate Citation,1,0,9.920746644546426
Avoidance of Plagiarism and Appropriate Citation,1,3,9.999099073838208
Avoidance of Plagiarism and Appropriate Citation,1,5,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.943423762752227
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Clarity of Logical Structure,1,7,9.548554104686197
Clarity of Logical Structure,1,4,9.641970453133931
Clarity of Logical Structure,1,9,9.100822221443469
Clarity of Logical Structure,1,8,9.997819828092869
Clarity of Logical Structure,1,2,9.913996163234229
Clarity of Logical Structure,1,6,9.119780547189187
Clarity of Logical Structure,1,0,8.947289564287134
Clarity of Logical Structure,1,3,10.0
Clarity of Logical Structure,1,5,9.951891705280584
Clarity of Logical Structure,1,1,9.922701835776776
Clarity of Logical Structure,1,10,0.0
Clarity of Research Method Description,1,7,9.81076342220407
Clarity of Research Method Description,1,4,9.890983109447792
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,8,9.938712722012456
Clarity of Research Method Description,1,2,9.959170010307894
Clarity of Research Method Description,1,6,9.66272935728157
Clarity of Research Method Description,1,0,9.531586595161603
Clarity of Research Method Description,1,3,9.990714107603223
Clarity of Research Method Description,1,5,9.988777733660626
Clarity of Research Method Description,1,1,9.936522355384072
Clarity of Research Method Description,1,10,0.0
Comprehensiveness of Information,1,7,9.863135412585704
Comprehensiveness of Information,1,4,9.441355609467799
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,8,9.776300872580588
Comprehensiveness of Information,1,2,9.910113937605244
Comprehensiveness of Information,1,6,8.790291682897779
Comprehensiveness of Information,1,0,8.580231045580021
Comprehensiveness of Information,1,3,9.983125020020506
Comprehensiveness of Information,1,5,9.917052011537526
Comprehensiveness of Information,1,1,9.831411038941827
Comprehensiveness of Information,1,10,0.0
Conciseness of Expression,1,7,8.677811228162014
Conciseness of Expression,1,4,9.263907797554468
Conciseness of Expression,1,9,8.001461976084032
Conciseness of Expression,1,8,10.0
Conciseness of Expression,1,2,9.869625999575199
Conciseness of Expression,1,6,7.430950204615266
Conciseness of Expression,1,0,5.428769524965872
Conciseness of Expression,1,3,9.993784513181419
Conciseness of Expression,1,5,9.944737916359346
Conciseness of Expression,1,1,9.896126456166327
Conciseness of Expression,1,10,0.0
Critical Analysis of Existing Research,1,7,9.952204730701169
Critical Analysis of Existing Research,1,4,9.905919145812264
Critical Analysis of Existing Research,1,9,9.666328184076372
Critical Analysis of Existing Research,1,8,9.931770400937607
Critical Analysis of Existing Research,1,2,9.944510220304261
Critical Analysis of Existing Research,1,6,9.24030978167317
Critical Analysis of Existing Research,1,0,9.18810743744869
Critical Analysis of Existing Research,1,3,10.0
Critical Analysis of Existing Research,1,5,9.976790173533615
Critical Analysis of Existing Research,1,1,9.931377964059012
Critical Analysis of Existing Research,1,10,0.0
Feasibility of Proposed Suggestions,1,7,9.898886762050262
Feasibility of Proposed Suggestions,1,4,9.73623791237386
Feasibility of Proposed Suggestions,1,9,9.41769637697798
Feasibility of Proposed Suggestions,1,8,9.969858976722467
Feasibility of Proposed Suggestions,1,2,9.984380106962586
Feasibility of Proposed Suggestions,1,6,9.210493402532599
Feasibility of Proposed Suggestions,1,0,9.12327627826023
Feasibility of Proposed Suggestions,1,3,10.0
Feasibility of Proposed Suggestions,1,5,9.998040305993136
Feasibility of Proposed Suggestions,1,1,9.86944457795559
Feasibility of Proposed Suggestions,1,10,0.0
Fluency of Language Expression,1,7,7.792680835789582
Fluency of Language Expression,1,4,8.909419301248018
Fluency of Language Expression,1,9,6.111577722717334
Fluency of Language Expression,1,8,10.0
Fluency of Language Expression,1,2,9.8396289587393
Fluency of Language Expression,1,6,5.989178485767583
Fluency of Language Expression,1,0,4.699499183608538
Fluency of Language Expression,1,3,9.963635175962226
Fluency of Language Expression,1,5,9.8664081622569
Fluency of Language Expression,1,1,9.833560410798892
Fluency of Language Expression,1,10,0.0
Identification and Discussion of Research Limitations,1,7,9.767925438125026
Identification and Discussion of Research Limitations,1,4,9.480125461458496
Identification and Discussion of Research Limitations,1,9,9.60171633786075
Identification and Discussion of Research Limitations,1,8,9.894478280177067
Identification and Discussion of Research Limitations,1,2,9.960078200316403
Identification and Discussion of Research Limitations,1,6,8.638469457166677
Identification and Discussion of Research Limitations,1,0,8.435167124989631
Identification and Discussion of Research Limitations,1,3,10.0
Identification and Discussion of Research Limitations,1,5,9.964080171145493
Identification and Discussion of Research Limitations,1,1,9.828161579363417
Identification and Discussion of Research Limitations,1,10,0.0
Inclusion of Latest Research Results,1,7,9.837247255502342
Inclusion of Latest Research Results,1,4,9.574201463222039
Inclusion of Latest Research Results,1,9,9.939811151080757
Inclusion of Latest Research Results,1,8,9.885805795452114
Inclusion of Latest Research Results,1,2,9.924063615378607
Inclusion of Latest Research Results,1,6,9.203398030800995
Inclusion of Latest Research Results,1,0,8.947959041520352
Inclusion of Latest Research Results,1,3,10.0
Inclusion of Latest Research Results,1,5,9.981590698164302
Inclusion of Latest Research Results,1,1,9.902492830012049
Inclusion of Latest Research Results,1,10,0.0
Innovativeness of Viewpoints,1,7,9.971747199023142
Innovativeness of Viewpoints,1,4,9.91286831646693
Innovativeness of Viewpoints,1,9,9.695471785492023
Innovativeness of Viewpoints,1,8,9.943269752675441
Innovativeness of Viewpoints,1,2,9.953094556149217
Innovativeness of Viewpoints,1,6,9.164467491156932
Innovativeness of Viewpoints,1,0,9.179186919472306
Innovativeness of Viewpoints,1,3,10.0
