Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.49885051183640144,[0.4  0.61],76.13636363636364
Comprehensiveness of Information,0.7419839869051982,[0.63 0.83],92.72727272727272
Accuracy of Information,0.24562601763549108,[0.16 0.36],82.35294117647058
Innovativeness of Viewpoints,0.706475180543316,[0.59 0.8 ],91.51515151515152
Integration of Interdisciplinary Perspectives,0.7477724648981215,[0.67 0.82],91.51515151515152
Clarity of Logical Structure,0.6850488185110294,[0.58 0.78],87.87878787878788
Reasonableness of Chapter Arrangement,0.6854057748461543,[0.59 0.78],87.87878787878788
Quality of Introduction and Conclusion,0.6210667348096608,[0.52 0.72],88.48484848484848
Accuracy and Completeness of Citations,0.6910409612869464,[0.6  0.78],67.94871794871796
Timeliness and Relevance of References,0.6670125635443165,[0.57 0.76],86.06060606060606
Avoidance of Plagiarism and Appropriate Citation,0.2725513941398867,[0.19 0.39],71.69811320754717
Critical Analysis of Existing Research,0.6786239632012919,[0.56 0.78],90.30303030303031
Proposal of New Research Directions or Questions,0.7280042989824587,[0.64 0.81],89.0909090909091
Potential Contribution to the Field,0.6731028135949685,[0.56 0.77],90.30303030303031
Clarity of Research Method Description,0.5209731060898604,[0.4  0.64],92.72727272727272
Rationality of Method Selection,0.5224723981002075,[0.41 0.64],89.6969696969697
Rigor of Research Design,0.4679777521162275,[0.35 0.6 ],91.51515151515152
Inclusion of Latest Research Results,0.6808396696568025,[0.58 0.77],86.06060606060606
Reflection of Current Research Hotspots,0.664738610293598,[0.57 0.76],85.44303797468355
Fluency of Language Expression,0.507334482191229,[0.39 0.63],87.87878787878788
Appropriateness of Professional Terminology Use,0.4131136266124392,[0.3  0.54],93.0379746835443
Conciseness of Expression,0.4932152332043035,[0.38 0.62],89.6969696969697
Practical Application Potential of Research Results,0.6388633014178838,[0.52 0.75],89.0909090909091
Feasibility of Proposed Suggestions,0.6048111993767632,[0.49 0.72],92.12121212121212
Logic of Argumentation,0.6174861520259571,[0.5  0.73],89.6969696969697
Multi-angle Analysis of Problems,0.6435528345574549,[0.54 0.74],89.0909090909091
Identification and Discussion of Research Limitations,0.5853682262321354,[0.47 0.7 ],91.66666666666666
