Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,9.955813746834199
Accuracy and Completeness of Citations,1,6,9.972396934703129
Accuracy and Completeness of Citations,1,0,9.972860401788909
Accuracy and Completeness of Citations,1,7,9.974489691983361
Accuracy and Completeness of Citations,1,4,9.98513923175019
Accuracy and Completeness of Citations,1,9,9.812936998577982
Accuracy and Completeness of Citations,1,8,9.9784928065654
Accuracy and Completeness of Citations,1,3,9.980736478872243
Accuracy and Completeness of Citations,1,1,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,9.984256396346286
Accuracy of Information,1,2,10.0
Accuracy of Information,1,6,9.629868185319866
Accuracy of Information,1,0,9.845364518027251
Accuracy of Information,1,7,9.966096307137255
Accuracy of Information,1,4,9.816877357941578
Accuracy of Information,1,9,9.829125811141846
Accuracy of Information,1,8,9.877202547664352
Accuracy of Information,1,3,9.86878161019232
Accuracy of Information,1,1,9.995796216346482
Accuracy of Information,1,10,0.0
Accuracy of Information,1,5,9.71211757560049
Appropriateness of Professional Terminology Use,1,2,10.0
Appropriateness of Professional Terminology Use,1,6,9.764531051562543
Appropriateness of Professional Terminology Use,1,0,9.502402881854081
Appropriateness of Professional Terminology Use,1,7,9.919304558066548
Appropriateness of Professional Terminology Use,1,4,9.66979925924636
Appropriateness of Professional Terminology Use,1,9,3.042157692496807
Appropriateness of Professional Terminology Use,1,8,9.79320007009062
Appropriateness of Professional Terminology Use,1,3,9.533746457236985
Appropriateness of Professional Terminology Use,1,1,9.28209787423497
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,5,6.943212789265391
Avoidance of Plagiarism and Appropriate Citation,1,2,9.938280315583194
Avoidance of Plagiarism and Appropriate Citation,1,6,9.978461600942351
Avoidance of Plagiarism and Appropriate Citation,1,0,9.928935522841284
Avoidance of Plagiarism and Appropriate Citation,1,7,9.907379530823553
Avoidance of Plagiarism and Appropriate Citation,1,4,9.917478137034717
Avoidance of Plagiarism and Appropriate Citation,1,9,8.943058708240805
Avoidance of Plagiarism and Appropriate Citation,1,8,9.966176843973736
Avoidance of Plagiarism and Appropriate Citation,1,3,9.914904894044522
Avoidance of Plagiarism and Appropriate Citation,1,1,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.840157925560899
Clarity of Logical Structure,1,2,10.0
Clarity of Logical Structure,1,6,9.65588265724106
Clarity of Logical Structure,1,0,9.429541367868556
Clarity of Logical Structure,1,7,9.746105590312755
Clarity of Logical Structure,1,4,9.635454581401463
Clarity of Logical Structure,1,9,1.2349786108102319
Clarity of Logical Structure,1,8,9.768772516982715
Clarity of Logical Structure,1,3,9.725500561816848
Clarity of Logical Structure,1,1,9.682083378487343
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,5,8.827618983769309
Clarity of Research Method Description,1,2,10.0
Clarity of Research Method Description,1,6,9.86363825833423
Clarity of Research Method Description,1,0,9.809146579824613
Clarity of Research Method Description,1,7,9.89938581155925
Clarity of Research Method Description,1,4,9.825320164015306
Clarity of Research Method Description,1,9,8.357874930097061
Clarity of Research Method Description,1,8,9.854063976897383
Clarity of Research Method Description,1,3,9.737296111736685
Clarity of Research Method Description,1,1,9.7655738180285
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,5,9.575053402031969
Comprehensiveness of Information,1,2,10.0
Comprehensiveness of Information,1,6,9.928273941125086
Comprehensiveness of Information,1,0,9.931787656721063
Comprehensiveness of Information,1,7,9.974309144380975
Comprehensiveness of Information,1,4,9.937427891179336
Comprehensiveness of Information,1,9,9.938314313399662
Comprehensiveness of Information,1,8,9.95653439779482
Comprehensiveness of Information,1,3,9.968271654811879
Comprehensiveness of Information,1,1,9.975325711999014
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,5,9.832706523270131
Conciseness of Expression,1,2,10.0
Conciseness of Expression,1,6,8.043306505426656
Conciseness of Expression,1,0,7.416993852945887
Conciseness of Expression,1,7,9.31679873935657
Conciseness of Expression,1,4,8.938337163230374
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,8,9.357559815984771
Conciseness of Expression,1,3,8.337324453498228
Conciseness of Expression,1,1,8.36115990864562
Conciseness of Expression,1,10,0.04263190224164607
Conciseness of Expression,1,5,2.4872006053322786
Critical Analysis of Existing Research,1,2,10.0
Critical Analysis of Existing Research,1,6,9.890395484293142
Critical Analysis of Existing Research,1,0,9.896722740035923
Critical Analysis of Existing Research,1,7,9.968818627486655
