Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,9.9475160880327
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,9.947260388139432
Accuracy and Completeness of Citations,1,0,9.967808181743242
Accuracy and Completeness of Citations,1,1,9.867309807847029
Accuracy and Completeness of Citations,1,6,9.90063127147849
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,2,9.944649825201713
Accuracy and Completeness of Citations,1,7,9.958416595156345
Accuracy and Completeness of Citations,1,3,9.889024077649587
Accuracy and Completeness of Citations,1,4,9.871477394370931
Accuracy of Information,1,8,9.945340164161278
Accuracy of Information,1,10,0.0
Accuracy of Information,1,5,10.0
Accuracy of Information,1,0,9.984287832003403
Accuracy of Information,1,1,9.88198207818579
Accuracy of Information,1,6,9.897902521826067
Accuracy of Information,1,9,9.610796540260345
Accuracy of Information,1,2,9.985771565592538
Accuracy of Information,1,7,9.974269047350566
Accuracy of Information,1,3,9.859439756864766
Accuracy of Information,1,4,9.983646970962573
Appropriateness of Professional Terminology Use,1,8,2.005365227474299
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,5,9.80250419423688
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,1,0.8561601549812033
Appropriateness of Professional Terminology Use,1,6,7.267749850055523
Appropriateness of Professional Terminology Use,1,9,6.00608448841884
Appropriateness of Professional Terminology Use,1,2,9.9928940606967
Appropriateness of Professional Terminology Use,1,7,6.854047730216037
Appropriateness of Professional Terminology Use,1,3,0.6942892080858395
Appropriateness of Professional Terminology Use,1,4,9.651267790082334
Avoidance of Plagiarism and Appropriate Citation,1,8,9.966945190931762
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.964377011811703
Avoidance of Plagiarism and Appropriate Citation,1,0,9.997345991940527
Avoidance of Plagiarism and Appropriate Citation,1,1,9.917400974731068
Avoidance of Plagiarism and Appropriate Citation,1,6,9.948672684259899
Avoidance of Plagiarism and Appropriate Citation,1,9,9.052310998271295
Avoidance of Plagiarism and Appropriate Citation,1,2,9.989656021983084
Avoidance of Plagiarism and Appropriate Citation,1,7,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.857451062185106
Avoidance of Plagiarism and Appropriate Citation,1,4,9.81333438834484
Clarity of Logical Structure,1,8,6.14228279082625
