Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,9.962213586809241
Accuracy and Completeness of Citations,1,5,9.961915990334315
Accuracy and Completeness of Citations,1,0,9.952350924798692
Accuracy and Completeness of Citations,1,4,9.968283995252467
Accuracy and Completeness of Citations,1,6,9.928902061089877
Accuracy and Completeness of Citations,1,3,9.916126806580703
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,8,9.96416069693973
Accuracy and Completeness of Citations,1,7,9.990669241519678
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,1,9.92857267466861
Accuracy of Information,1,2,8.640707370303243
Accuracy of Information,1,5,9.471816794954849
Accuracy of Information,1,0,7.836742898647677
Accuracy of Information,1,4,9.952579132192222
Accuracy of Information,1,6,9.77372494998301
Accuracy of Information,1,3,8.645042130202386
Accuracy of Information,1,10,0.0
Accuracy of Information,1,8,9.653540732057206
Accuracy of Information,1,7,9.595813370924105
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,9.480486862474967
Appropriateness of Professional Terminology Use,1,2,8.76644929796239
Appropriateness of Professional Terminology Use,1,5,9.466018231000687
Appropriateness of Professional Terminology Use,1,0,7.317543614773351
Appropriateness of Professional Terminology Use,1,4,9.796528230771901
Appropriateness of Professional Terminology Use,1,6,9.488452196642843
Appropriateness of Professional Terminology Use,1,3,8.1408372596349
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,8,9.55404023024978
Appropriateness of Professional Terminology Use,1,7,10.0
Appropriateness of Professional Terminology Use,1,9,8.541377836437375
Appropriateness of Professional Terminology Use,1,1,8.862651588607006
Avoidance of Plagiarism and Appropriate Citation,1,2,9.955661188617698
Avoidance of Plagiarism and Appropriate Citation,1,5,9.925603077963073
Avoidance of Plagiarism and Appropriate Citation,1,0,9.941149574489021
Avoidance of Plagiarism and Appropriate Citation,1,4,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.865676673154654
Avoidance of Plagiarism and Appropriate Citation,1,3,9.890612694210086
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,8,9.994644182914493
Avoidance of Plagiarism and Appropriate Citation,1,7,9.97214824403212
Avoidance of Plagiarism and Appropriate Citation,1,9,9.637816284833864
Avoidance of Plagiarism and Appropriate Citation,1,1,9.939200940630986
Clarity of Logical Structure,1,2,9.500459925249096
Clarity of Logical Structure,1,5,9.716166875164232
Clarity of Logical Structure,1,0,9.47255547080359
Clarity of Logical Structure,1,4,9.896649162771647
Clarity of Logical Structure,1,6,9.729628827246875
Clarity of Logical Structure,1,3,9.501954774348167
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,8,9.814192994780633
Clarity of Logical Structure,1,7,10.0
Clarity of Logical Structure,1,9,8.893828949332379
Clarity of Logical Structure,1,1,9.437901050111076
Clarity of Research Method Description,1,2,9.647731695012705
Clarity of Research Method Description,1,5,9.852192870095852
Clarity of Research Method Description,1,0,9.35559943988438
Clarity of Research Method Description,1,4,9.921077145666771
Clarity of Research Method Description,1,6,9.793909916592126
Clarity of Research Method Description,1,3,9.673021617864775
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,8,9.90433323738431
Clarity of Research Method Description,1,7,10.0
Clarity of Research Method Description,1,9,9.936905888520643
Clarity of Research Method Description,1,1,9.769386962126656
Comprehensiveness of Information,1,2,9.450600782955568
Comprehensiveness of Information,1,5,9.910864358408494
Comprehensiveness of Information,1,0,9.004978250698707
Comprehensiveness of Information,1,4,9.996976805958056
Comprehensiveness of Information,1,6,9.836502404200798
Comprehensiveness of Information,1,3,9.708720084759356
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,8,9.946819663406519
Comprehensiveness of Information,1,7,10.0
Comprehensiveness of Information,1,9,9.889398680205018
Comprehensiveness of Information,1,1,9.880487360093708
Conciseness of Expression,1,2,8.799935317287817
Conciseness of Expression,1,5,9.282145281172783
Conciseness of Expression,1,0,8.580453215634787
Conciseness of Expression,1,4,9.849900224379795
Conciseness of Expression,1,6,9.375440243386189
Conciseness of Expression,1,3,7.954305559506255
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,8,9.385968366091298
Conciseness of Expression,1,7,10.0
Conciseness of Expression,1,9,5.638433646959666
Conciseness of Expression,1,1,8.684892578570087
Critical Analysis of Existing Research,1,2,9.825035911454373
Critical Analysis of Existing Research,1,5,9.839029366567337
Critical Analysis of Existing Research,1,0,9.539549712088247
Critical Analysis of Existing Research,1,4,10.0
Critical Analysis of Existing Research,1,6,9.748033413824668
Critical Analysis of Existing Research,1,3,9.663356033640907
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,8,9.933717178394835
Critical Analysis of Existing Research,1,7,9.965256848543163
Critical Analysis of Existing Research,1,9,8.88024681025711
Critical Analysis of Existing Research,1,1,9.72708162900595
Feasibility of Proposed Suggestions,1,2,9.81682466277321
