Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.921726225108378
Accuracy and Completeness of Citations,1,6,9.938731484288176
Accuracy and Completeness of Citations,1,8,9.902140972537277
Accuracy and Completeness of Citations,1,3,9.930698417886683
Accuracy and Completeness of Citations,1,5,9.943692902492064
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,2,9.9256289221957
Accuracy and Completeness of Citations,1,0,9.87650347538446
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,9.912409789637328
Accuracy and Completeness of Citations,1,1,9.903857914166283
Accuracy of Information,1,4,9.00289040798776
Accuracy of Information,1,6,9.296302573299084
Accuracy of Information,1,8,8.79005281622089
Accuracy of Information,1,3,9.435683626453775
Accuracy of Information,1,5,9.198502558913495
Accuracy of Information,1,9,10.0
Accuracy of Information,1,2,9.35837397815138
Accuracy of Information,1,0,8.992898049548218
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,9.415528035586139
Accuracy of Information,1,1,9.33774369048697
Appropriateness of Professional Terminology Use,1,4,6.9391171303367525
Appropriateness of Professional Terminology Use,1,6,9.469846136821708
Appropriateness of Professional Terminology Use,1,8,4.912840763702181
Appropriateness of Professional Terminology Use,1,3,9.914315666621878
Appropriateness of Professional Terminology Use,1,5,9.969480710494341
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,2,9.290075949764718
Appropriateness of Professional Terminology Use,1,0,9.387892833128777
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,9.251008552568942
Appropriateness of Professional Terminology Use,1,1,9.244294576098797
Avoidance of Plagiarism and Appropriate Citation,1,4,9.970523554103947
Avoidance of Plagiarism and Appropriate Citation,1,6,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,9.946236446082015
Avoidance of Plagiarism and Appropriate Citation,1,3,9.996467174221177
Avoidance of Plagiarism and Appropriate Citation,1,5,9.996226444550878
Avoidance of Plagiarism and Appropriate Citation,1,9,9.94096646142521
Avoidance of Plagiarism and Appropriate Citation,1,2,9.99748824203694
Avoidance of Plagiarism and Appropriate Citation,1,0,9.928460188937935
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.978143848311047
Avoidance of Plagiarism and Appropriate Citation,1,1,9.993130531529038
Clarity of Logical Structure,1,4,8.742425003882044
Clarity of Logical Structure,1,6,9.819587807622622
Clarity of Logical Structure,1,8,6.952029516267234
Clarity of Logical Structure,1,3,9.993985461202618
Clarity of Logical Structure,1,5,10.0
Clarity of Logical Structure,1,9,9.870781479436632
Clarity of Logical Structure,1,2,9.786491280373665
Clarity of Logical Structure,1,0,9.650889714416762
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,7,9.786127755518246
Clarity of Logical Structure,1,1,9.623332423336077
Clarity of Research Method Description,1,4,9.443105952422497
Clarity of Research Method Description,1,6,9.779156886015786
Clarity of Research Method Description,1,8,8.543458254530734
Clarity of Research Method Description,1,3,9.968576964239489
Clarity of Research Method Description,1,5,9.991449496889421
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,2,9.760187835057256
Clarity of Research Method Description,1,0,9.772121436722351
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,9.846087926761312
Clarity of Research Method Description,1,1,9.642885784266896
Comprehensiveness of Information,1,4,8.64990802276832
Comprehensiveness of Information,1,6,9.363635436535569
Comprehensiveness of Information,1,8,7.333383170780009
Comprehensiveness of Information,1,3,9.767749027109529
Comprehensiveness of Information,1,5,9.878582380933244
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,2,9.33499034027941
Comprehensiveness of Information,1,0,9.49451391019461
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,7,9.581252891480359
Comprehensiveness of Information,1,1,9.428900679252338
Conciseness of Expression,1,4,4.858518916133137
Conciseness of Expression,1,6,9.522161112363225
Conciseness of Expression,1,8,1.2231060250559933
Conciseness of Expression,1,3,9.932756978632398
Conciseness of Expression,1,5,10.0
Conciseness of Expression,1,9,8.912953143466817
Conciseness of Expression,1,2,9.268616564577282
Conciseness of Expression,1,0,8.480204070829034
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,7,8.996099696118005
Conciseness of Expression,1,1,9.009173976246235
Critical Analysis of Existing Research,1,4,9.3487464366842
Critical Analysis of Existing Research,1,6,9.908926579592052
Critical Analysis of Existing Research,1,8,8.476404664879883
Critical Analysis of Existing Research,1,3,9.962672495095656
Critical Analysis of Existing Research,1,5,10.0
Critical Analysis of Existing Research,1,9,9.910494740817166
Critical Analysis of Existing Research,1,2,9.840545673260763
Critical Analysis of Existing Research,1,0,9.767310834111054
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,7,9.701949740124416
Critical Analysis of Existing Research,1,1,9.810120891549165
Feasibility of Proposed Suggestions,1,4,9.379657744401326
Feasibility of Proposed Suggestions,1,6,9.950262109344663
Feasibility of Proposed Suggestions,1,8,8.462402944712176
Feasibility of Proposed Suggestions,1,3,9.961475910053746
Feasibility of Proposed Suggestions,1,5,10.0
Feasibility of Proposed Suggestions,1,9,9.76019750792883
Feasibility of Proposed Suggestions,1,2,9.840958880524733
Feasibility of Proposed Suggestions,1,0,9.764761792691248
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,7,9.775299177406854
Feasibility of Proposed Suggestions,1,1,9.829991179766433
Fluency of Language Expression,1,4,3.496927798337429
Fluency of Language Expression,1,6,9.448413114479822
Fluency of Language Expression,1,8,1.0074627166441674
Fluency of Language Expression,1,3,9.959511171683706
Fluency of Language Expression,1,5,10.0
Fluency of Language Expression,1,9,8.592707293010191
Fluency of Language Expression,1,2,9.376016661804432
Fluency of Language Expression,1,0,8.69345584761964
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,7,8.928137702710751
Fluency of Language Expression,1,1,8.750904047715743
Identification and Discussion of Research Limitations,1,4,8.740737726623907
Identification and Discussion of Research Limitations,1,6,9.827523501943054
Identification and Discussion of Research Limitations,1,8,7.215518173538474
Identification and Discussion of Research Limitations,1,3,9.934046871936603
Identification and Discussion of Research Limitations,1,5,10.0
Identification and Discussion of Research Limitations,1,9,9.909149088274985
Identification and Discussion of Research Limitations,1,2,9.701345908183841
Identification and Discussion of Research Limitations,1,0,9.633573255406679
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,7,9.551540621110885
Identification and Discussion of Research Limitations,1,1,9.628702496243443
Inclusion of Latest Research Results,1,4,9.077229616704209
Inclusion of Latest Research Results,1,6,9.733592906816124
Inclusion of Latest Research Results,1,8,8.152193634030922
Inclusion of Latest Research Results,1,3,9.865785652376422
Inclusion of Latest Research Results,1,5,10.0
Inclusion of Latest Research Results,1,9,9.96361175451875
Inclusion of Latest Research Results,1,2,9.661596079276652
Inclusion of Latest Research Results,1,0,9.623605997504965
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,7,9.721841316601294
Inclusion of Latest Research Results,1,1,9.56594206742247
Innovativeness of Viewpoints,1,4,9.445277103291698
Innovativeness of Viewpoints,1,6,9.924265658695331
Innovativeness of Viewpoints,1,8,8.660474625133787
Innovativeness of Viewpoints,1,3,9.97274015247449
Innovativeness of Viewpoints,1,5,10.0
Innovativeness of Viewpoints,1,9,9.922664304994852
Innovativeness of Viewpoints,1,2,9.87550618375463
Innovativeness of Viewpoints,1,0,9.764150675779883
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,7,9.73379888628799
Innovativeness of Viewpoints,1,1,9.84582656304678
Integration of Interdisciplinary Perspectives,1,4,8.59212264573629
Integration of Interdisciplinary Perspectives,1,6,9.320143615040132
Integration of Interdisciplinary Perspectives,1,8,8.056883077394353
Integration of Interdisciplinary Perspectives,1,3,9.508017927026687
Integration of Interdisciplinary Perspectives,1,5,9.742021570222214
