Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,9.989134806189325
Accuracy and Completeness of Citations,1,3,9.990506882039115
Accuracy and Completeness of Citations,1,9,9.813039188058823
Accuracy and Completeness of Citations,1,7,9.98063188113039
Accuracy and Completeness of Citations,1,8,9.995255741382291
Accuracy and Completeness of Citations,1,4,9.96782469704514
Accuracy and Completeness of Citations,1,6,10.0
Accuracy and Completeness of Citations,1,5,9.987237083263212
Accuracy and Completeness of Citations,1,2,9.990651964757411
Accuracy and Completeness of Citations,1,1,9.958426624691603
Accuracy and Completeness of Citations,1,10,0.0
Accuracy of Information,1,0,9.937983077249125
Accuracy of Information,1,3,10.0
Accuracy of Information,1,9,9.891824458524077
Accuracy of Information,1,7,9.961036819877497
Accuracy of Information,1,8,9.9828242068466
Accuracy of Information,1,4,9.907829266602855
Accuracy of Information,1,6,9.993166272202462
Accuracy of Information,1,5,9.932703766935957
Accuracy of Information,1,2,9.906612969331396
Accuracy of Information,1,1,9.981043556977507
Accuracy of Information,1,10,0.0
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,3,9.729482207740253
Appropriateness of Professional Terminology Use,1,9,5.00506223350338
Appropriateness of Professional Terminology Use,1,7,9.634588976321632
Appropriateness of Professional Terminology Use,1,8,9.883392537997054
Appropriateness of Professional Terminology Use,1,4,9.868050363545962
Appropriateness of Professional Terminology Use,1,6,9.875785071591267
Appropriateness of Professional Terminology Use,1,5,9.577154955699665
Appropriateness of Professional Terminology Use,1,2,9.783748614779624
Appropriateness of Professional Terminology Use,1,1,9.81580640518201
Appropriateness of Professional Terminology Use,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,9.968829403710718
Avoidance of Plagiarism and Appropriate Citation,1,3,9.979390197783891
Avoidance of Plagiarism and Appropriate Citation,1,9,9.748292639875617
Avoidance of Plagiarism and Appropriate Citation,1,7,9.995938862864502
Avoidance of Plagiarism and Appropriate Citation,1,8,9.993570489668647
Avoidance of Plagiarism and Appropriate Citation,1,4,9.953206842673602
Avoidance of Plagiarism and Appropriate Citation,1,6,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.969387263956511
Avoidance of Plagiarism and Appropriate Citation,1,2,9.977469188953226
Avoidance of Plagiarism and Appropriate Citation,1,1,9.926310381655338
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Clarity of Logical Structure,1,0,10.0
Clarity of Logical Structure,1,3,9.853523036049845
Clarity of Logical Structure,1,9,6.984452900892896
Clarity of Logical Structure,1,7,9.794740759354347
Clarity of Logical Structure,1,8,9.92625834396955
Clarity of Logical Structure,1,4,9.913075756513207
Clarity of Logical Structure,1,6,9.930189086358741
Clarity of Logical Structure,1,5,9.643555460813085
Clarity of Logical Structure,1,2,9.900180284710766
Clarity of Logical Structure,1,1,9.895511579701571
Clarity of Logical Structure,1,10,0.0
Clarity of Research Method Description,1,0,10.0
Clarity of Research Method Description,1,3,9.907371207538459
Clarity of Research Method Description,1,9,8.176970775515752
Clarity of Research Method Description,1,7,9.886565589661272
Clarity of Research Method Description,1,8,9.973731444320595
Clarity of Research Method Description,1,4,9.962393445337474
Clarity of Research Method Description,1,6,9.953038222512212
Clarity of Research Method Description,1,5,9.858220498907068
Clarity of Research Method Description,1,2,9.911852121656157
Clarity of Research Method Description,1,1,9.924730849741419
Clarity of Research Method Description,1,10,0.0
Comprehensiveness of Information,1,0,10.0
Comprehensiveness of Information,1,3,9.975022981900551
Comprehensiveness of Information,1,9,8.698965297258804
Comprehensiveness of Information,1,7,9.91123153581759
Comprehensiveness of Information,1,8,9.965814666151655
Comprehensiveness of Information,1,4,9.955427420455973
Comprehensiveness of Information,1,6,9.976026291077817
Comprehensiveness of Information,1,5,9.85034096534755
Comprehensiveness of Information,1,2,9.974193136110198
Comprehensiveness of Information,1,1,9.947224711025221
Comprehensiveness of Information,1,10,0.0
Conciseness of Expression,1,0,10.0
Conciseness of Expression,1,3,9.819793779768009
Conciseness of Expression,1,9,3.966640404296202
Conciseness of Expression,1,7,9.543208507812864
Conciseness of Expression,1,8,9.91248411180669
Conciseness of Expression,1,4,9.863744292284732
Conciseness of Expression,1,6,9.88343430914701
Conciseness of Expression,1,5,9.137105278077883
Conciseness of Expression,1,2,9.887174084721691
Conciseness of Expression,1,1,9.782932047145142
Conciseness of Expression,1,10,0.0
Critical Analysis of Existing Research,1,0,10.0
Critical Analysis of Existing Research,1,3,9.967417187159953
Critical Analysis of Existing Research,1,9,9.038160329466885
Critical Analysis of Existing Research,1,7,9.871002973761227
Critical Analysis of Existing Research,1,8,9.96887409870459
Critical Analysis of Existing Research,1,4,9.953775352891569
Critical Analysis of Existing Research,1,6,9.968600079345931
Critical Analysis of Existing Research,1,5,9.823977597928476
Critical Analysis of Existing Research,1,2,9.973830129546148
Critical Analysis of Existing Research,1,1,9.92646974613104
Critical Analysis of Existing Research,1,10,0.0
Feasibility of Proposed Suggestions,1,0,10.0
Feasibility of Proposed Suggestions,1,3,9.919382336722668
Feasibility of Proposed Suggestions,1,9,7.726253207198593
Feasibility of Proposed Suggestions,1,7,9.782158710108446
Feasibility of Proposed Suggestions,1,8,9.94755590778566
Feasibility of Proposed Suggestions,1,4,9.918637085209754
Feasibility of Proposed Suggestions,1,6,9.930708639571916
Feasibility of Proposed Suggestions,1,5,9.62709507287245
Feasibility of Proposed Suggestions,1,2,9.937050430730528
Feasibility of Proposed Suggestions,1,1,9.8503950693449
Feasibility of Proposed Suggestions,1,10,0.0
Fluency of Language Expression,1,0,10.0
Fluency of Language Expression,1,3,9.74666124708782
Fluency of Language Expression,1,9,3.041817325108962
Fluency of Language Expression,1,7,9.378020772082392
Fluency of Language Expression,1,8,9.897653039783284
Fluency of Language Expression,1,4,9.813662588874605
Fluency of Language Expression,1,6,9.84640098873025
Fluency of Language Expression,1,5,8.928271317667047
Fluency of Language Expression,1,2,9.792959678059894
Fluency of Language Expression,1,1,9.83299717298285
Fluency of Language Expression,1,10,0.0
Identification and Discussion of Research Limitations,1,0,10.0
Identification and Discussion of Research Limitations,1,3,9.912220062384195
Identification and Discussion of Research Limitations,1,9,6.89749218482213
Identification and Discussion of Research Limitations,1,7,9.735086220641659
Identification and Discussion of Research Limitations,1,8,9.948206429957974
Identification and Discussion of Research Limitations,1,4,9.935131419108927
Identification and Discussion of Research Limitations,1,6,9.919101347642362
Identification and Discussion of Research Limitations,1,5,9.559236078402723
Identification and Discussion of Research Limitations,1,2,9.932183310975267
Identification and Discussion of Research Limitations,1,1,9.846847536387788
Identification and Discussion of Research Limitations,1,10,0.0
Inclusion of Latest Research Results,1,0,10.0
Inclusion of Latest Research Results,1,3,9.94667709784662
Inclusion of Latest Research Results,1,9,8.487050151780167
Inclusion of Latest Research Results,1,7,9.86254767920628
Inclusion of Latest Research Results,1,8,9.963516711578244
Inclusion of Latest Research Results,1,4,9.943118731735746
Inclusion of Latest Research Results,1,6,9.966150573227624
Inclusion of Latest Research Results,1,5,9.756113639992861
Inclusion of Latest Research Results,1,2,9.929055745372187
Inclusion of Latest Research Results,1,1,9.884208893753652
Inclusion of Latest Research Results,1,10,0.0
Innovativeness of Viewpoints,1,0,10.0
Innovativeness of Viewpoints,1,3,9.966486808753203
Innovativeness of Viewpoints,1,9,8.953374023449218
Innovativeness of Viewpoints,1,7,9.870690292740298
Innovativeness of Viewpoints,1,8,9.972037891907231
Innovativeness of Viewpoints,1,4,9.954307976695926
Innovativeness of Viewpoints,1,6,9.97378685967613
Innovativeness of Viewpoints,1,5,9.828258438234418
Innovativeness of Viewpoints,1,2,9.970056799186313
Innovativeness of Viewpoints,1,1,9.925504738410817
Innovativeness of Viewpoints,1,10,0.0
Integration of Interdisciplinary Perspectives,1,0,10.0
Integration of Interdisciplinary Perspectives,1,3,9.920247029212542
Integration of Interdisciplinary Perspectives,1,9,7.859575033321967
Integration of Interdisciplinary Perspectives,1,7,9.847703986610428
Integration of Interdisciplinary Perspectives,1,8,9.957536850759183
Integration of Interdisciplinary Perspectives,1,4,9.914758767603882
Integration of Interdisciplinary Perspectives,1,6,9.918560615736027
Integration of Interdisciplinary Perspectives,1,5,9.83647038789103
Integration of Interdisciplinary Perspectives,1,2,9.916224671289966
Integration of Interdisciplinary Perspectives,1,1,9.862941492769655
Integration of Interdisciplinary Perspectives,1,10,0.0
Logic of Argumentation,1,0,10.0
Logic of Argumentation,1,3,9.853401648816225
Logic of Argumentation,1,9,7.020548839922465
Logic of Argumentation,1,7,9.698850607448874
Logic of Argumentation,1,8,9.92094842460167
Logic of Argumentation,1,4,9.904661994804696
Logic of Argumentation,1,6,9.897384172272586
Logic of Argumentation,1,5,9.52643636546749
Logic of Argumentation,1,2,9.893333463442831
Logic of Argumentation,1,1,9.835844090705747
Logic of Argumentation,1,10,0.0
Multi-angle Analysis of Problems,1,0,10.0
Multi-angle Analysis of Problems,1,3,9.893805364521075
Multi-angle Analysis of Problems,1,9,7.389942960354499
Multi-angle Analysis of Problems,1,7,9.761791211257252
Multi-angle Analysis of Problems,1,8,9.928404606521568
Multi-angle Analysis of Problems,1,4,9.909003795972795
Multi-angle Analysis of Problems,1,6,9.904813321929657
Multi-angle Analysis of Problems,1,5,9.548032675618996
Multi-angle Analysis of Problems,1,2,9.907505442758987
Multi-angle Analysis of Problems,1,1,9.81291596137878
Multi-angle Analysis of Problems,1,10,0.0
Potential Contribution to the Field,1,0,10.0
Potential Contribution to the Field,1,3,9.963380843268798
Potential Contribution to the Field,1,9,8.86909165071251
Potential Contribution to the Field,1,7,9.868402684802737
Potential Contribution to the Field,1,8,9.96600600628849
Potential Contribution to the Field,1,4,9.96129952753262
