Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.5386927019053865,[0.43 0.65],37.5
Comprehensiveness of Information,0.7710339570112148,[0.66 0.85],90.9090909090909
Accuracy of Information,0.40000115098584327,[0.3  0.52],31.25
Innovativeness of Viewpoints,0.7438490503745223,[0.64 0.83],92.12121212121212
Integration of Interdisciplinary Perspectives,0.7736694619742202,[0.69 0.85],91.7910447761194
Clarity of Logical Structure,0.7513800506263864,[0.64 0.84],89.171974522293
Reasonableness of Chapter Arrangement,0.7543572273702821,[0.65 0.84],92.72727272727272
Quality of Introduction and Conclusion,0.69817771270774,[0.58 0.8 ],92.72727272727272
Accuracy and Completeness of Citations,0.6462018671467727,[0.55 0.74],36.36363636363637
Timeliness and Relevance of References,0.6509363375957985,[0.55 0.75],88.66666666666667
Avoidance of Plagiarism and Appropriate Citation,0.3503297914478101,[0.26 0.47],27.77777777777778
Critical Analysis of Existing Research,0.7308261936680754,[0.62 0.82],92.12121212121212
Proposal of New Research Directions or Questions,0.7598058610592513,[0.67 0.84],90.30303030303031
Potential Contribution to the Field,0.7165428239638885,[0.61 0.81],88.48484848484848
Clarity of Research Method Description,0.6693667236383609,[0.55 0.77],95.27027027027027
Rationality of Method Selection,0.6553568967098862,[0.54 0.76],93.0379746835443
Rigor of Research Design,0.6179871517797388,[0.49 0.73],93.33333333333333
Inclusion of Latest Research Results,0.6670495815364119,[0.56 0.76],89.87341772151899
Reflection of Current Research Hotspots,0.6686936758968988,[0.56 0.77],88.48484848484848
Fluency of Language Expression,0.6267488610462978,[0.5  0.74],91.71974522292994
Appropriateness of Professional Terminology Use,0.6179205436120293,[0.49 0.73],91.71974522292994
Conciseness of Expression,0.6111926792332938,[0.47 0.73],92.72727272727272
Practical Application Potential of Research Results,0.7098534766118278,[0.6 0.8],90.30303030303031
Feasibility of Proposed Suggestions,0.6584833251879956,[0.54 0.76],90.30303030303031
Logic of Argumentation,0.6851854697858091,[0.56 0.79],91.71974522292994
Multi-angle Analysis of Problems,0.6865188955149013,[0.57 0.79],90.30303030303031
Identification and Discussion of Research Limitations,0.623656864465515,[0.5  0.74],90.30303030303031
