X编号,X的值
0,ScoredBy72B\10.1002_advs.202207756_0
1,ScoredBy72B\10.1002_advs.202207756_1
2,ScoredBy72B\10.1002_advs.202207756_2
3,ScoredBy72B\10.1002_advs.202207756_3
4,ScoredBy72B\10.1002_advs.202207756_4
5,ScoredBy72B\10.1021_acscatal.0c03999_0
6,ScoredBy72B\10.1021_acscatal.0c03999_1
7,ScoredBy72B\10.1021_acscatal.0c03999_2
8,ScoredBy72B\10.1021_acscatal.0c03999_3
9,ScoredBy72B\10.1021_acscatal.0c03999_4
10,ScoredBy72B\10.1021_acscatal.0c03999_5
11,ScoredBy72B\10.1021_acscatal.0c03999_6
12,ScoredBy72B\10.1021_acscatal.0c03999_7
13,ScoredBy72B\10.1021_acscatal.0c03999_8
14,ScoredBy72B\10.1021_acscatal.0c03999_9
15,ScoredBy72B\10.1021_acscatal.0c03999_10
16,ScoredBy72B\10.1021_acscatal.0c03999_11
17,ScoredBy72B\10.1021_acscatal.0c03999_12
18,ScoredBy72B\10.1021_acscatal.0c03999_13
19,ScoredBy72B\10.1021_acscatal.0c03999_14
20,ScoredBy72B\10.1021_acscatal.1c00331_0
21,ScoredBy72B\10.1021_acscatal.1c00331_1
22,ScoredBy72B\10.1021_acscatal.1c00331_2
23,ScoredBy72B\10.1021_acscatal.1c00331_3
24,ScoredBy72B\10.1021_acscatal.1c00331_4
25,ScoredBy72B\10.1021_acscatal.3c00103_0
26,ScoredBy72B\10.1021_acscatal.3c00103_1
27,ScoredBy72B\10.1021_acscatal.3c00103_2
28,ScoredBy72B\10.1021_acscatal.3c00103_3
29,ScoredBy72B\10.1021_acscatal.3c00103_4
30,ScoredBy72B\10.1021_acscatal.3c00103_5
31,ScoredBy72B\10.1021_acscatal.3c00728_0
32,ScoredBy72B\10.1021_acscatal.3c00728_1
33,ScoredBy72B\10.1021_acscatal.3c00728_2
34,ScoredBy72B\10.1021_acscatal.3c00728_3
35,ScoredBy72B\10.1021_acscatal.3c00728_4
36,ScoredBy72B\10.1021_acscatal.3c00816_0
37,ScoredBy72B\10.1021_acscatal.3c00816_1
38,ScoredBy72B\10.1021_acscatal.3c00816_2
39,ScoredBy72B\10.1021_acscatal.3c00816_3
40,ScoredBy72B\10.1021_acscatal.3c00816_4
41,ScoredBy72B\10.1021_acscatal.3c00816_5
42,ScoredBy72B\10.1021_acscatal.7b03228_0
43,ScoredBy72B\10.1021_acscatal.7b03228_1
44,ScoredBy72B\10.1021_cr300096b_0
45,ScoredBy72B\10.1021_cr300096b_1
46,ScoredBy72B\10.1021_cr300096b_2
47,ScoredBy72B\10.1021_cr300096b_3
48,ScoredBy72B\10.1021_cr300096b_4
49,ScoredBy72B\10.1021_cr300096b_5
50,ScoredBy72B\10.1021_cr300096b_6
51,ScoredBy72B\10.1021_cr300096b_7
52,ScoredBy72B\10.1021_cr300096b_8
53,ScoredBy72B\10.1021_cr300096b_9
54,ScoredBy72B\10.1021_cr300096b_10
55,ScoredBy72B\10.1021_cr300096b_11
56,ScoredBy72B\10.1021_cr300096b_12
57,ScoredBy72B\10.1021_cr300096b_13
58,ScoredBy72B\10.1021_cr300418s_0
59,ScoredBy72B\10.1021_cr300418s_3
60,ScoredBy72B\10.1021_cr300418s_4
61,ScoredBy72B\10.1021_cr300418s_5
62,ScoredBy72B\10.1021_cr300418s_6
63,ScoredBy72B\10.1021_cr300418s_7
64,ScoredBy72B\10.1021_cr300418s_8
65,ScoredBy72B\10.1021_cr300418s_9
66,ScoredBy72B\10.1021_cr300418s_10
67,ScoredBy72B\10.1021_cr5002436_0
68,ScoredBy72B\10.1021_cr5002436_1
69,ScoredBy72B\10.1021_cr5002436_2
70,ScoredBy72B\10.1021_cr5002436_3
71,ScoredBy72B\10.1021_cr5002436_4
72,ScoredBy72B\10.1021_cr5002436_5
73,ScoredBy72B\10.1021_cr5002436_6
74,ScoredBy72B\10.1021_cr5002436_7
75,ScoredBy72B\10.1021_cr900122p_0
76,ScoredBy72B\10.1021_cr900122p_1
77,ScoredBy72B\10.1021_cr900122p_2
78,ScoredBy72B\10.1021_cr900122p_3
79,ScoredBy72B\10.1021_cr900122p_4
80,ScoredBy72B\10.1021_cr900122p_5
81,ScoredBy72B\10.1038_s41570-019-0128-9_0
82,ScoredBy72B\10.1038_s41570-019-0128-9_1
83,ScoredBy72B\10.1038_s41570-019-0128-9_2
84,ScoredBy72B\10.1038_s41570-019-0128-9_3
85,ScoredBy72B\10.1126_science.abh0424_0

Y编号,Y的值
0,Accuracy and Completeness of Citations
1,Accuracy of Information
2,Appropriateness of Professional Terminology Use
3,Avoidance of Plagiarism and Appropriate Citation
4,Clarity of Logical Structure
5,Clarity of Research Method Description
6,Comprehensiveness of Information
7,Conciseness of Expression
8,Critical Analysis of Existing Research
9,Feasibility of Proposed Suggestions
10,Fluency of Language Expression
11,Identification and Discussion of Research Limitations
12,Inclusion of Latest Research Results
13,Innovativeness of Viewpoints
14,Integration of Interdisciplinary Perspectives
15,Logic of Argumentation
16,Multi-angle Analysis of Problems
17,Potential Contribution to the Field
18,Practical Application Potential of Research Results
19,Proposal of New Research Directions or Questions
20,Quality of Introduction and Conclusion
21,Rationality of Method Selection
22,Reasonableness of Chapter Arrangement
23,Reflection of Current Research Hotspots
24,Rigor of Research Design
25,Timeliness and Relevance of References
26,Topic Relevance
