Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,7.461205179668735
Accuracy and Completeness of Citations,1,1,2.3531822944939895
Accuracy and Completeness of Citations,1,3,9.512027460051675
Accuracy and Completeness of Citations,1,2,1.361203533052034
Accuracy and Completeness of Citations,1,6,9.248017172927666
Accuracy and Completeness of Citations,1,8,9.731075444059696
Accuracy and Completeness of Citations,1,4,9.730445675385393
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,5,9.869607512869852
Accuracy and Completeness of Citations,1,0,7.8136794588606655
Accuracy and Completeness of Citations,1,10,0.0
Accuracy of Information,1,7,6.155090037898628
Accuracy of Information,1,1,3.878339500183178
Accuracy of Information,1,3,8.614521738479276
Accuracy of Information,1,2,8.859991651405297
Accuracy of Information,1,6,9.323240976999768
Accuracy of Information,1,8,9.818861100965579
Accuracy of Information,1,4,9.342263274742278
Accuracy of Information,1,9,10.0
Accuracy of Information,1,5,9.944872307828945
Accuracy of Information,1,0,8.935058260853705
Accuracy of Information,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,0.7274520309895883
Appropriateness of Professional Terminology Use,1,1,0.0
Appropriateness of Professional Terminology Use,1,3,3.9649067942984177
Appropriateness of Professional Terminology Use,1,2,0.2138692614190068
Appropriateness of Professional Terminology Use,1,6,6.869216883694185
Appropriateness of Professional Terminology Use,1,8,6.577565324368941
Appropriateness of Professional Terminology Use,1,4,7.004525210578119
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,5,0.3649824968975611
Appropriateness of Professional Terminology Use,1,0,5.147682456661156
Appropriateness of Professional Terminology Use,1,10,0.03003158991905306
Avoidance of Plagiarism and Appropriate Citation,1,7,3.6745771651149486
Avoidance of Plagiarism and Appropriate Citation,1,1,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.548842333720337
Avoidance of Plagiarism and Appropriate Citation,1,2,0.7303689911815476
Avoidance of Plagiarism and Appropriate Citation,1,6,9.468965167746369
Avoidance of Plagiarism and Appropriate Citation,1,8,9.944353229433943
Avoidance of Plagiarism and Appropriate Citation,1,4,9.949321289299776
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,3.5569538215427294
Avoidance of Plagiarism and Appropriate Citation,1,0,9.594637415890492
Avoidance of Plagiarism and Appropriate Citation,1,10,5.078194323233503
Clarity of Logical Structure,1,7,0.0757725346375358
Clarity of Logical Structure,1,1,0.0
Clarity of Logical Structure,1,3,0.4236574245044596
Clarity of Logical Structure,1,2,0.05731167795867731
Clarity of Logical Structure,1,6,2.955628105529233
Clarity of Logical Structure,1,8,1.3575909520330554
Clarity of Logical Structure,1,4,1.2291966563310472
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,5,0.23253458234495952
Clarity of Logical Structure,1,0,2.8634648949325325
Clarity of Logical Structure,1,10,0.08957972158609141
Clarity of Research Method Description,1,7,0.28217348022589933
Clarity of Research Method Description,1,1,0.024646358258257575
Clarity of Research Method Description,1,3,0.45525583669230013
Clarity of Research Method Description,1,2,0.259465816983337
Clarity of Research Method Description,1,6,4.261028720907566
Clarity of Research Method Description,1,8,1.599170908099721
Clarity of Research Method Description,1,4,1.8731316899686312
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,5,0.08268623226218047
Clarity of Research Method Description,1,0,3.836640034239386
Clarity of Research Method Description,1,10,0.0
Comprehensiveness of Information,1,7,0.6499108380461167
Comprehensiveness of Information,1,1,0.5691656125152924
Comprehensiveness of Information,1,3,6.690757127553483
Comprehensiveness of Information,1,2,0.36936876131862084
Comprehensiveness of Information,1,6,9.33411073134358
Comprehensiveness of Information,1,8,9.648569801797898
