Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,1,8.602225615833866
Accuracy and Completeness of Citations,1,6,9.903332975658458
Accuracy and Completeness of Citations,1,4,0.0
Accuracy and Completeness of Citations,1,9,9.4997841471187
Accuracy and Completeness of Citations,1,5,3.84555553845415
Accuracy and Completeness of Citations,1,3,4.945889505273192
Accuracy and Completeness of Citations,1,8,8.28703029197242
Accuracy and Completeness of Citations,1,2,2.424753197086978
Accuracy and Completeness of Citations,1,10,5.810291744516404
Accuracy and Completeness of Citations,1,0,4.45592856910867
Accuracy and Completeness of Citations,1,7,10.0
Accuracy of Information,1,1,10.0
Accuracy of Information,1,6,9.897899592493227
Accuracy of Information,1,4,5.694626376632086
Accuracy of Information,1,9,0.0
Accuracy of Information,1,5,1.6422148984556875
Accuracy of Information,1,3,7.735231489115475
Accuracy of Information,1,8,5.162089299678494
Accuracy of Information,1,2,3.7112467330795966
Accuracy of Information,1,10,8.009603073448549
Accuracy of Information,1,0,3.1561722075907817
Accuracy of Information,1,7,9.835773679380722
Appropriateness of Professional Terminology Use,1,1,4.2490625022479165
Appropriateness of Professional Terminology Use,1,6,10.0
Appropriateness of Professional Terminology Use,1,4,0.0
Appropriateness of Professional Terminology Use,1,9,6.5915739812601295
Appropriateness of Professional Terminology Use,1,5,0.2680694140043766
Appropriateness of Professional Terminology Use,1,3,8.323511193672086
Appropriateness of Professional Terminology Use,1,8,1.461453179415041
Appropriateness of Professional Terminology Use,1,2,0.13736336915321037
Appropriateness of Professional Terminology Use,1,10,1.1252501580579843
Appropriateness of Professional Terminology Use,1,0,0.0023824965726851276
Appropriateness of Professional Terminology Use,1,7,9.175983818642953
Avoidance of Plagiarism and Appropriate Citation,1,1,6.359902690698107
Avoidance of Plagiarism and Appropriate Citation,1,6,10.0
Avoidance of Plagiarism and Appropriate Citation,1,4,0.22217328574609502
Avoidance of Plagiarism and Appropriate Citation,1,9,0.5378386574763215
Avoidance of Plagiarism and Appropriate Citation,1,5,0.19463060380680688
Avoidance of Plagiarism and Appropriate Citation,1,3,7.081140277848869
Avoidance of Plagiarism and Appropriate Citation,1,8,7.417026388302501
Avoidance of Plagiarism and Appropriate Citation,1,2,0.0
Avoidance of Plagiarism and Appropriate Citation,1,10,6.516930082635738
Avoidance of Plagiarism and Appropriate Citation,1,0,0.8440743572254694
Avoidance of Plagiarism and Appropriate Citation,1,7,7.345087756889705
Clarity of Logical Structure,1,1,7.832991718760346
Clarity of Logical Structure,1,6,10.0
Clarity of Logical Structure,1,4,0.06329790466455537
Clarity of Logical Structure,1,9,7.823472071299056
Clarity of Logical Structure,1,5,0.5322608867099041
Clarity of Logical Structure,1,3,2.7019737464768663
Clarity of Logical Structure,1,8,3.125042821163116
Clarity of Logical Structure,1,2,0.0
Clarity of Logical Structure,1,10,9.356272375344366
Clarity of Logical Structure,1,0,1.4740627607383463
Clarity of Logical Structure,1,7,8.532860392153493
Clarity of Research Method Description,1,1,8.877882902669898
Clarity of Research Method Description,1,6,10.0
Clarity of Research Method Description,1,4,0.0
Clarity of Research Method Description,1,9,7.7231495806910715
Clarity of Research Method Description,1,5,0.033677911320475595
Clarity of Research Method Description,1,3,7.115505841732409
Clarity of Research Method Description,1,8,0.6706310070367741
Clarity of Research Method Description,1,2,0.08968930531403234
Clarity of Research Method Description,1,10,6.74731149341108
Clarity of Research Method Description,1,0,0.1389565439275086
Clarity of Research Method Description,1,7,4.393206208427445
Comprehensiveness of Information,1,1,6.724608232547017
Comprehensiveness of Information,1,6,10.0
Comprehensiveness of Information,1,4,0.0
Comprehensiveness of Information,1,9,0.2612248011376654
Comprehensiveness of Information,1,5,0.07049619455104475
Comprehensiveness of Information,1,3,2.290517935674297
Comprehensiveness of Information,1,8,1.5678573496713017
Comprehensiveness of Information,1,2,0.18992528968071046
Comprehensiveness of Information,1,10,4.134436013969202
Comprehensiveness of Information,1,0,1.454716553494864
Comprehensiveness of Information,1,7,7.492412114858501
Conciseness of Expression,1,1,5.417382479904272
Conciseness of Expression,1,6,10.0
Conciseness of Expression,1,4,0.03331362746665205
Conciseness of Expression,1,9,8.719443122411962
Conciseness of Expression,1,5,0.09772805470929384
Conciseness of Expression,1,3,7.468850199732546
Conciseness of Expression,1,8,1.5185015170916134
Conciseness of Expression,1,2,0.0
Conciseness of Expression,1,10,3.4426167173294946
Conciseness of Expression,1,0,0.024223456495671408
Conciseness of Expression,1,7,9.377069490180082
Critical Analysis of Existing Research,1,1,7.253360772853284
Critical Analysis of Existing Research,1,6,10.0
Critical Analysis of Existing Research,1,4,0.0
Critical Analysis of Existing Research,1,9,0.1607153332361443
Critical Analysis of Existing Research,1,5,0.2636275714371626
Critical Analysis of Existing Research,1,3,6.7604292259017456
Critical Analysis of Existing Research,1,8,1.2705867611094797
Critical Analysis of Existing Research,1,2,0.04222092266896651
Critical Analysis of Existing Research,1,10,0.0591269197182582
Critical Analysis of Existing Research,1,0,0.04362282950416309
Critical Analysis of Existing Research,1,7,5.549262376153569
Feasibility of Proposed Suggestions,1,1,6.198604612920845
Feasibility of Proposed Suggestions,1,6,10.0
Feasibility of Proposed Suggestions,1,4,0.0
Feasibility of Proposed Suggestions,1,9,1.4549073035712916
Feasibility of Proposed Suggestions,1,5,0.75287481009951
Feasibility of Proposed Suggestions,1,3,8.593261240809644
Feasibility of Proposed Suggestions,1,8,0.6530473045981563
Feasibility of Proposed Suggestions,1,2,0.018434499413243068
Feasibility of Proposed Suggestions,1,10,1.6203352670704951
Feasibility of Proposed Suggestions,1,0,0.013555543253866414
Feasibility of Proposed Suggestions,1,7,6.238948678517418
Fluency of Language Expression,1,1,3.1087755855185866
Fluency of Language Expression,1,6,10.0
Fluency of Language Expression,1,4,0.2647714571107437
Fluency of Language Expression,1,9,6.536531325434856
Fluency of Language Expression,1,5,0.5406015105736743
Fluency of Language Expression,1,3,7.172377910718009
Fluency of Language Expression,1,8,2.4770172455025063
Fluency of Language Expression,1,2,0.19282239645633353
Fluency of Language Expression,1,10,5.067529596022776
Fluency of Language Expression,1,0,0.0
Fluency of Language Expression,1,7,7.772375414658938
Identification and Discussion of Research Limitations,1,1,6.518078157718806
Identification and Discussion of Research Limitations,1,6,10.0
Identification and Discussion of Research Limitations,1,4,0.10818151896768306
Identification and Discussion of Research Limitations,1,9,4.788210665673386
Identification and Discussion of Research Limitations,1,5,0.6640354734877345
