Subcategory,Mean Score,Diff Score
Topic Relevance,7.5,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,7.25,0.5
Topic Relevance,7.75,-0.5
Topic Relevance,7.5,0.0
Topic Relevance,8.0,-1.0
Topic Relevance,7.75,-0.5
Comprehensiveness of Information,7.5,0.0
Comprehensiveness of Information,8.0,-1.0
Comprehensiveness of Information,8.0,0.0
Comprehensiveness of Information,6.75,0.5
Comprehensiveness of Information,8.0,-1.0
Comprehensiveness of Information,7.0,1.0
Comprehensiveness of Information,7.75,-0.5
Comprehensiveness of Information,7.5,0.5999999999999996
Comprehensiveness of Information,8.0,-1.0
Comprehensiveness of Information,8.0,-1.0
Accuracy of Information,7.5,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,7.75,0.5
Accuracy of Information,8.0,0.0
Accuracy of Information,7.75,0.5
Accuracy of Information,8.0,0.0
Accuracy of Information,7.9,0.20000000000000018
Accuracy of Information,8.25,0.5
Accuracy of Information,8.0,0.0
Innovativeness of Viewpoints,7.5,0.0
Innovativeness of Viewpoints,7.5,-1.0
Innovativeness of Viewpoints,8.0,0.0
Innovativeness of Viewpoints,6.75,0.5
Innovativeness of Viewpoints,8.0,-1.0
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,7.75,-1.5
Innovativeness of Viewpoints,7.25,0.5
Innovativeness of Viewpoints,8.0,-1.0
Innovativeness of Viewpoints,7.5,-1.0
Integration of Interdisciplinary Perspectives,7.5,0.0
Integration of Interdisciplinary Perspectives,8.0,-1.0
Integration of Interdisciplinary Perspectives,8.0,0.0
Integration of Interdisciplinary Perspectives,7.25,0.5
Integration of Interdisciplinary Perspectives,8.0,-1.0
Integration of Interdisciplinary Perspectives,7.0,1.0
Integration of Interdisciplinary Perspectives,7.75,-0.5
Integration of Interdisciplinary Perspectives,7.5,0.5999999999999996
Integration of Interdisciplinary Perspectives,8.25,0.5
Integration of Interdisciplinary Perspectives,8.0,-1.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.5,-1.0
Clarity of Logical Structure,9.0,0.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.5,1.0
Clarity of Logical Structure,8.25,1.5
Clarity of Logical Structure,8.25,-0.5
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.75,-0.5
Reasonableness of Chapter Arrangement,7.75,0.5
Reasonableness of Chapter Arrangement,8.0,-1.0
Reasonableness of Chapter Arrangement,8.0,0.0
Reasonableness of Chapter Arrangement,7.75,0.5
Reasonableness of Chapter Arrangement,8.25,0.5
Reasonableness of Chapter Arrangement,7.0,1.0
Reasonableness of Chapter Arrangement,8.0,-1.0
Reasonableness of Chapter Arrangement,7.25,1.5
Reasonableness of Chapter Arrangement,8.25,0.5
Reasonableness of Chapter Arrangement,8.0,-1.0
Quality of Introduction and Conclusion,7.25,0.5
Quality of Introduction and Conclusion,7.5,-1.0
Quality of Introduction and Conclusion,7.0,0.0
Quality of Introduction and Conclusion,6.25,0.5
Quality of Introduction and Conclusion,8.0,1.0
Quality of Introduction and Conclusion,6.5,1.0
Quality of Introduction and Conclusion,7.25,-0.5
Quality of Introduction and Conclusion,6.25,1.5
Quality of Introduction and Conclusion,7.25,0.5
Quality of Introduction and Conclusion,7.75,-1.5
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,9.25,-0.5
Accuracy and Completeness of Citations,10.0,0.0
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,8.0,0.0
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,8.25,-0.5
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,9.25,0.5
Accuracy and Completeness of Citations,9.0,0.0
