Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,3.8957385663824238
Accuracy and Completeness of Citations,1,2,1.1581179035928686
Accuracy and Completeness of Citations,1,5,10.0
Accuracy and Completeness of Citations,1,4,0.352343822485983
Accuracy and Completeness of Citations,1,0,7.050640365038269
Accuracy and Completeness of Citations,1,8,7.813764917942687
Accuracy and Completeness of Citations,1,3,8.009279637112117
Accuracy and Completeness of Citations,1,9,9.905637427612266
Accuracy and Completeness of Citations,1,1,9.90257457582427
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,6,8.929557893928017
Accuracy of Information,1,7,9.90155192881119
Accuracy of Information,1,2,9.281045308461376
Accuracy of Information,1,5,9.96369502750375
Accuracy of Information,1,4,6.809043206835152
Accuracy of Information,1,0,9.917584295882248
Accuracy of Information,1,8,9.956874170619928
Accuracy of Information,1,3,10.0
Accuracy of Information,1,9,2.1047894453724743
Accuracy of Information,1,1,9.938990670110245
Accuracy of Information,1,10,0.0
Accuracy of Information,1,6,9.730189390137518
Appropriateness of Professional Terminology Use,1,7,7.256042307354999
Appropriateness of Professional Terminology Use,1,2,4.199898829468353
Appropriateness of Professional Terminology Use,1,5,9.888371798767691
Appropriateness of Professional Terminology Use,1,4,0.5518675265739112
Appropriateness of Professional Terminology Use,1,0,8.540900130989941
Appropriateness of Professional Terminology Use,1,8,10.0
Appropriateness of Professional Terminology Use,1,3,9.399159338732945
Appropriateness of Professional Terminology Use,1,9,9.174307830645827
Appropriateness of Professional Terminology Use,1,1,9.975926530103612
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,6,8.329043645489936
Avoidance of Plagiarism and Appropriate Citation,1,7,1.3374355577149988
Avoidance of Plagiarism and Appropriate Citation,1,2,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.705851478071045
Avoidance of Plagiarism and Appropriate Citation,1,4,0.28193173756963896
Avoidance of Plagiarism and Appropriate Citation,1,0,4.837028028901581
Avoidance of Plagiarism and Appropriate Citation,1,8,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,7.55159320480194
Avoidance of Plagiarism and Appropriate Citation,1,9,2.9915999104722677
Avoidance of Plagiarism and Appropriate Citation,1,1,7.74142946972513
Avoidance of Plagiarism and Appropriate Citation,1,10,0.033947691741239
Avoidance of Plagiarism and Appropriate Citation,1,6,5.702693786654646
Clarity of Logical Structure,1,7,9.639522070729871
Clarity of Logical Structure,1,2,7.876173301919684
Clarity of Logical Structure,1,5,9.815412951393094
Clarity of Logical Structure,1,4,2.360696385538653
Clarity of Logical Structure,1,0,9.768225951215467
Clarity of Logical Structure,1,8,10.0
Clarity of Logical Structure,1,3,9.894123758634173
Clarity of Logical Structure,1,9,9.288635475890493
Clarity of Logical Structure,1,1,9.996075797521662
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,6,9.69946765790427
Clarity of Research Method Description,1,7,8.7143724084473
Clarity of Research Method Description,1,2,6.388350379082425
Clarity of Research Method Description,1,5,9.934584170804374
Clarity of Research Method Description,1,4,0.2554198178780598
Clarity of Research Method Description,1,0,9.359139819959358
Clarity of Research Method Description,1,8,9.980203885981528
Clarity of Research Method Description,1,3,9.856525134144373
Clarity of Research Method Description,1,9,9.659221354567896
Clarity of Research Method Description,1,1,10.0
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,6,8.989834463534777
Comprehensiveness of Information,1,7,8.937689051217497
Comprehensiveness of Information,1,2,8.461298971773514
Comprehensiveness of Information,1,5,9.753926201460704
Comprehensiveness of Information,1,4,5.248288270330959
Comprehensiveness of Information,1,0,9.566288565431359
Comprehensiveness of Information,1,8,9.905701827691306
Comprehensiveness of Information,1,3,10.0
Comprehensiveness of Information,1,9,8.687997751097642
Comprehensiveness of Information,1,1,9.391436666007987
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,6,9.460307711020574
Conciseness of Expression,1,7,8.243184449461495
Conciseness of Expression,1,2,4.2659909402248415
Conciseness of Expression,1,5,9.935574649211265
Conciseness of Expression,1,4,0.741690963180646
Conciseness of Expression,1,0,8.964876215303903
Conciseness of Expression,1,8,10.0
Conciseness of Expression,1,3,9.201703854872504
Conciseness of Expression,1,9,9.09014025328389
Conciseness of Expression,1,1,9.95732091879202
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,6,9.102948490542929
Critical Analysis of Existing Research,1,7,9.419377204407043
Critical Analysis of Existing Research,1,2,8.609899468886079
Critical Analysis of Existing Research,1,5,9.854890417527299
Critical Analysis of Existing Research,1,4,5.863015504706601
Critical Analysis of Existing Research,1,0,9.68886472466092
Critical Analysis of Existing Research,1,8,9.979886061035366
Critical Analysis of Existing Research,1,3,10.0
Critical Analysis of Existing Research,1,9,9.246960599798491
Critical Analysis of Existing Research,1,1,9.8986994584386
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,6,8.634609199290306
Feasibility of Proposed Suggestions,1,7,9.518055565625787
Feasibility of Proposed Suggestions,1,2,7.7486774703847905
Feasibility of Proposed Suggestions,1,5,10.0
Feasibility of Proposed Suggestions,1,4,4.627959785938352
Feasibility of Proposed Suggestions,1,0,9.206162279241381
Feasibility of Proposed Suggestions,1,8,9.970425678909445
Feasibility of Proposed Suggestions,1,3,9.879786515847595
Feasibility of Proposed Suggestions,1,9,9.951863369695989
Feasibility of Proposed Suggestions,1,1,9.901297320074098
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,6,9.117570075027404
Fluency of Language Expression,1,7,8.869238680868648
Fluency of Language Expression,1,2,4.220042601855832
Fluency of Language Expression,1,5,9.985844023603605
Fluency of Language Expression,1,4,0.4752627494713466
Fluency of Language Expression,1,0,9.492183867481495
Fluency of Language Expression,1,8,9.994359365854677
Fluency of Language Expression,1,3,9.463833233634576
Fluency of Language Expression,1,9,9.385934389599596
Fluency of Language Expression,1,1,10.0
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,6,8.910949306564454
Identification and Discussion of Research Limitations,1,7,8.75257911278279
Identification and Discussion of Research Limitations,1,2,7.663111257851299
Identification and Discussion of Research Limitations,1,5,9.92765788908737
Identification and Discussion of Research Limitations,1,4,3.975973775471506
Identification and Discussion of Research Limitations,1,0,9.556315736802475
Identification and Discussion of Research Limitations,1,8,9.973631607682847
Identification and Discussion of Research Limitations,1,3,9.707141690366678
Identification and Discussion of Research Limitations,1,9,9.74758759925058
Identification and Discussion of Research Limitations,1,1,10.0
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,6,9.257662084638914
Inclusion of Latest Research Results,1,7,8.685372644680665
Inclusion of Latest Research Results,1,2,4.448194240497538
Inclusion of Latest Research Results,1,5,9.964391852567827
Inclusion of Latest Research Results,1,4,1.998670062105931
Inclusion of Latest Research Results,1,0,8.48561880561461
Inclusion of Latest Research Results,1,8,10.0
Inclusion of Latest Research Results,1,3,9.86164536110335
Inclusion of Latest Research Results,1,9,9.655455792061373
Inclusion of Latest Research Results,1,1,9.623459624384362
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,6,8.100129811885044
Innovativeness of Viewpoints,1,7,9.587624837290194
Innovativeness of Viewpoints,1,2,9.51550713358122
Innovativeness of Viewpoints,1,5,9.949329647183868
Innovativeness of Viewpoints,1,4,8.1730230370345
Innovativeness of Viewpoints,1,0,9.865360362786063
Innovativeness of Viewpoints,1,8,9.93806271408369
Innovativeness of Viewpoints,1,3,10.0
Innovativeness of Viewpoints,1,9,8.19667204287926
Innovativeness of Viewpoints,1,1,9.790946602256946
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,6,9.788441828908415
Integration of Interdisciplinary Perspectives,1,7,9.55234786881862
Integration of Interdisciplinary Perspectives,1,2,8.964005143997218
Integration of Interdisciplinary Perspectives,1,5,9.94964763723883
Integration of Interdisciplinary Perspectives,1,4,5.992574118475614
Integration of Interdisciplinary Perspectives,1,0,9.900657798918168
Integration of Interdisciplinary Perspectives,1,8,9.917561789483653
Integration of Interdisciplinary Perspectives,1,3,10.0
Integration of Interdisciplinary Perspectives,1,9,9.09743157059891
Integration of Interdisciplinary Perspectives,1,1,9.70064271557865
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,6,9.761534086814756
Logic of Argumentation,1,7,8.82405505508682
Logic of Argumentation,1,2,6.966687114169985
Logic of Argumentation,1,5,9.872377655638633
Logic of Argumentation,1,4,3.2365161219003693
Logic of Argumentation,1,0,9.416336068866382
Logic of Argumentation,1,8,9.977886023342252
Logic of Argumentation,1,3,9.813771232373563
Logic of Argumentation,1,9,9.634895951773128
Logic of Argumentation,1,1,10.0
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,6,9.329332571310543
Multi-angle Analysis of Problems,1,7,9.079167449746386
Multi-angle Analysis of Problems,1,2,7.89578319782905
Multi-angle Analysis of Problems,1,5,9.97747615852555
Multi-angle Analysis of Problems,1,4,4.890134954753779
Multi-angle Analysis of Problems,1,0,9.595792308485597
Multi-angle Analysis of Problems,1,8,9.986758394415457
Multi-angle Analysis of Problems,1,3,9.802432496725284
Multi-angle Analysis of Problems,1,9,9.613074360994403
Multi-angle Analysis of Problems,1,1,10.0
