Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.06278039454478701,[0.02 0.13],64.51612903225806
Comprehensiveness of Information,0.07857291276953242,[0.03 0.15],68.05555555555556
Accuracy of Information,0.03160194224710869,[-0.01  0.09],55.55555555555556
Innovativeness of Viewpoints,0.13977920895183218,[0.08 0.23],78.89908256880734
Integration of Interdisciplinary Perspectives,0.1014516310831368,[0.05 0.19],75.86206896551724
Clarity of Logical Structure,0.06328110732843775,[0.02 0.13],89.14728682170544
Reasonableness of Chapter Arrangement,0.084626477567168,[0.03 0.16],81.56028368794325
Quality of Introduction and Conclusion,0.11524166890571112,[0.06 0.2 ],72.22222222222221
Accuracy and Completeness of Citations,0.06259140447207154,[0.02 0.13],84.76190476190476
Timeliness and Relevance of References,0.13596477189067574,[0.07 0.23],81.3953488372093
Avoidance of Plagiarism and Appropriate Citation,0.1715488457757048,[0.1  0.27],75.63025210084034
Critical Analysis of Existing Research,0.15179267826988135,[0.08 0.25],78.03030303030303
Proposal of New Research Directions or Questions,0.19414597388637583,[0.12 0.3 ],79.71014492753623
Potential Contribution to the Field,0.19800634464242034,[0.12 0.3 ],82.0
Clarity of Research Method Description,0.1345444913802758,[0.07 0.23],83.92857142857143
Rationality of Method Selection,0.1363365858031696,[0.07 0.23],78.16901408450704
Rigor of Research Design,0.12619978716425465,[0.06 0.22],77.62237762237763
Inclusion of Latest Research Results,0.14530738250215194,[0.08 0.24],83.89261744966443
Reflection of Current Research Hotspots,0.1520424389497134,[0.09 0.25],78.1021897810219
Fluency of Language Expression,0.15830856279477126,[0.09 0.26],79.52755905511812
Appropriateness of Professional Terminology Use,0.19619057178988436,[0.12 0.3 ],79.03225806451613
Conciseness of Expression,0.17078854886540004,[0.1  0.27],78.67647058823529
Practical Application Potential of Research Results,0.13776032508740121,[0.07 0.23],77.20588235294117
Feasibility of Proposed Suggestions,0.16150224465773114,[0.09 0.26],83.33333333333334
Logic of Argumentation,0.1445248770307709,[0.08 0.24],77.23577235772358
Multi-angle Analysis of Problems,0.14147308924166677,[0.08 0.24],78.78787878787878
Identification and Discussion of Research Limitations,0.13130468690914804,[0.07 0.22],79.83870967741935
