Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,9.653516192222312
Accuracy and Completeness of Citations,1,6,0.05602519262006521
Accuracy and Completeness of Citations,1,10,9.901095669566294
Accuracy and Completeness of Citations,1,5,9.746010386187606
Accuracy and Completeness of Citations,1,9,9.83550434871644
Accuracy and Completeness of Citations,1,1,0.0
Accuracy and Completeness of Citations,1,8,9.94156975539586
Accuracy and Completeness of Citations,1,4,9.79796366522193
Accuracy and Completeness of Citations,1,7,10.0
Accuracy and Completeness of Citations,1,3,7.016765413022683
Accuracy and Completeness of Citations,1,2,7.628883400032436
Accuracy of Information,1,0,1.3198037391128081
Accuracy of Information,1,6,0.26667155323132125
Accuracy of Information,1,10,0.4430808482505816
Accuracy of Information,1,5,9.906947101076874
Accuracy of Information,1,9,0.3392246206989067
Accuracy of Information,1,1,0.0
Accuracy of Information,1,8,8.270419633946569
Accuracy of Information,1,4,7.588328742946649
Accuracy of Information,1,7,10.0
Accuracy of Information,1,3,2.828009390397196
Accuracy of Information,1,2,5.063852620346686
Appropriateness of Professional Terminology Use,1,0,9.139684113018516
Appropriateness of Professional Terminology Use,1,6,0.0
Appropriateness of Professional Terminology Use,1,10,8.156737151077149
Appropriateness of Professional Terminology Use,1,5,9.593008087443005
Appropriateness of Professional Terminology Use,1,9,0.5384142105650598
Appropriateness of Professional Terminology Use,1,1,0.030148626761183177
Appropriateness of Professional Terminology Use,1,8,10.0
Appropriateness of Professional Terminology Use,1,4,9.53367831410145
Appropriateness of Professional Terminology Use,1,7,6.231179489108441
Appropriateness of Professional Terminology Use,1,3,7.755502805570707
Appropriateness of Professional Terminology Use,1,2,5.836653997151022
Avoidance of Plagiarism and Appropriate Citation,1,0,9.790405024072207
Avoidance of Plagiarism and Appropriate Citation,1,6,0.3132574265379356
Avoidance of Plagiarism and Appropriate Citation,1,10,9.941092970815937
Avoidance of Plagiarism and Appropriate Citation,1,5,9.623074915945796
Avoidance of Plagiarism and Appropriate Citation,1,9,2.3204105806152917
Avoidance of Plagiarism and Appropriate Citation,1,1,0.0
Avoidance of Plagiarism and Appropriate Citation,1,8,10.0
Avoidance of Plagiarism and Appropriate Citation,1,4,9.625375355323278
Avoidance of Plagiarism and Appropriate Citation,1,7,7.954384162886443
Avoidance of Plagiarism and Appropriate Citation,1,3,6.031225654442442
Avoidance of Plagiarism and Appropriate Citation,1,2,0.7077054915272014
Clarity of Logical Structure,1,0,9.481723356853658
Clarity of Logical Structure,1,6,0.0
Clarity of Logical Structure,1,10,9.8472604032664
Clarity of Logical Structure,1,5,9.956138723780267
Clarity of Logical Structure,1,9,9.847586433690429
Clarity of Logical Structure,1,1,3.3658633180658
Clarity of Logical Structure,1,8,10.0
Clarity of Logical Structure,1,4,9.8253906118614
Clarity of Logical Structure,1,7,9.151096049764385
Clarity of Logical Structure,1,3,9.864499044980366
Clarity of Logical Structure,1,2,9.540544654524036
Clarity of Research Method Description,1,0,7.7100292025612935
Clarity of Research Method Description,1,6,0.0
Clarity of Research Method Description,1,10,9.341472030784068
Clarity of Research Method Description,1,5,9.99940357075877
Clarity of Research Method Description,1,9,9.03942837973835
Clarity of Research Method Description,1,1,1.7699271215869823
Clarity of Research Method Description,1,8,10.0
Clarity of Research Method Description,1,4,8.570457705819978
Clarity of Research Method Description,1,7,9.198122020970061
Clarity of Research Method Description,1,3,7.075067499340863
Clarity of Research Method Description,1,2,4.815232162433723
Comprehensiveness of Information,1,0,4.677646063935889
Comprehensiveness of Information,1,6,0.0
Comprehensiveness of Information,1,10,0.7235991704929065
Comprehensiveness of Information,1,5,10.0
Comprehensiveness of Information,1,9,7.477199162783873
Comprehensiveness of Information,1,1,0.005431935225562326
Comprehensiveness of Information,1,8,9.87779752903802
Comprehensiveness of Information,1,4,7.638141675676475
Comprehensiveness of Information,1,7,9.100565189451803
Comprehensiveness of Information,1,3,6.474229769280606
Comprehensiveness of Information,1,2,7.556431540301313
Conciseness of Expression,1,0,9.534661478334694
Conciseness of Expression,1,6,0.0
Conciseness of Expression,1,10,9.009500129079967
Conciseness of Expression,1,5,9.042291017434883
Conciseness of Expression,1,9,0.5530105263875723
Conciseness of Expression,1,1,0.6525559338981923
Conciseness of Expression,1,8,10.0
Conciseness of Expression,1,4,9.272061506563322
Conciseness of Expression,1,7,7.311017716175835
Conciseness of Expression,1,3,6.263676731651197
Conciseness of Expression,1,2,4.529074998550671
Critical Analysis of Existing Research,1,0,9.430076596546911
Critical Analysis of Existing Research,1,6,1.6827788864375108
Critical Analysis of Existing Research,1,10,1.3134355137339069
Critical Analysis of Existing Research,1,5,10.0
Critical Analysis of Existing Research,1,9,0.0
Critical Analysis of Existing Research,1,1,0.04409145651301459
Critical Analysis of Existing Research,1,8,9.900075648124941
Critical Analysis of Existing Research,1,4,6.810790460751284
Critical Analysis of Existing Research,1,7,9.219922000144287
Critical Analysis of Existing Research,1,3,9.534253666958602
Critical Analysis of Existing Research,1,2,0.4962156258910694
Feasibility of Proposed Suggestions,1,0,8.566546668628066
Feasibility of Proposed Suggestions,1,6,0.0
Feasibility of Proposed Suggestions,1,10,3.4706458612069677
Feasibility of Proposed Suggestions,1,5,9.855828786004793
Feasibility of Proposed Suggestions,1,9,1.8419300788129414
Feasibility of Proposed Suggestions,1,1,0.07568557967268943
Feasibility of Proposed Suggestions,1,8,10.0
Feasibility of Proposed Suggestions,1,4,8.00248701482183
Feasibility of Proposed Suggestions,1,7,8.074803496873184
Feasibility of Proposed Suggestions,1,3,6.716842591063943
Feasibility of Proposed Suggestions,1,2,2.7613519572960947
Fluency of Language Expression,1,0,8.43860273619695
Fluency of Language Expression,1,6,0.0
Fluency of Language Expression,1,10,7.325256061093361
Fluency of Language Expression,1,5,9.60633234490735
Fluency of Language Expression,1,9,0.2056330739213126
Fluency of Language Expression,1,1,0.4043298690369475
Fluency of Language Expression,1,8,10.0
Fluency of Language Expression,1,4,8.376706163938712
Fluency of Language Expression,1,7,6.229087274072756
Fluency of Language Expression,1,3,5.273565302455764
Fluency of Language Expression,1,2,3.3028494557693073
Identification and Discussion of Research Limitations,1,0,9.64304680309639
Identification and Discussion of Research Limitations,1,6,0.0
Identification and Discussion of Research Limitations,1,10,6.010553832158674
Identification and Discussion of Research Limitations,1,5,9.969539475510647
Identification and Discussion of Research Limitations,1,9,2.4694923806855487
Identification and Discussion of Research Limitations,1,1,0.5830200364454668
Identification and Discussion of Research Limitations,1,8,10.0
Identification and Discussion of Research Limitations,1,4,9.326880461413099
Identification and Discussion of Research Limitations,1,7,8.857875391929618
Identification and Discussion of Research Limitations,1,3,5.592557276742337
Identification and Discussion of Research Limitations,1,2,6.5272361308058136
Inclusion of Latest Research Results,1,0,3.617754407108477
Inclusion of Latest Research Results,1,6,0.0
Inclusion of Latest Research Results,1,10,0.9834871615323141
Inclusion of Latest Research Results,1,5,8.934299210863301
Inclusion of Latest Research Results,1,9,5.715246283591482
Inclusion of Latest Research Results,1,1,0.08531936911654116
Inclusion of Latest Research Results,1,8,10.0
Inclusion of Latest Research Results,1,4,8.190483385145377
Inclusion of Latest Research Results,1,7,8.909248167444387
Inclusion of Latest Research Results,1,3,5.497459733977883
Inclusion of Latest Research Results,1,2,1.3227896958470233
Innovativeness of Viewpoints,1,0,7.605070082872161
Innovativeness of Viewpoints,1,6,0.7095046895692712
Innovativeness of Viewpoints,1,10,0.10330047869722661
Innovativeness of Viewpoints,1,5,10.0
Innovativeness of Viewpoints,1,9,0.0
Innovativeness of Viewpoints,1,1,0.04912306072514454
Innovativeness of Viewpoints,1,8,9.32509982692552
Innovativeness of Viewpoints,1,4,2.165380258735141
Innovativeness of Viewpoints,1,7,8.413689566317226
Innovativeness of Viewpoints,1,3,9.031619124411524
Innovativeness of Viewpoints,1,2,2.3353238092269595
Integration of Interdisciplinary Perspectives,1,0,8.016119866819011
Integration of Interdisciplinary Perspectives,1,6,0.1380897955811748
Integration of Interdisciplinary Perspectives,1,10,3.3346874851246375
Integration of Interdisciplinary Perspectives,1,5,10.0
Integration of Interdisciplinary Perspectives,1,9,0.0
Integration of Interdisciplinary Perspectives,1,1,0.3988281209814839
Integration of Interdisciplinary Perspectives,1,8,9.193049932372288
Integration of Interdisciplinary Perspectives,1,4,6.0965153375169745
Integration of Interdisciplinary Perspectives,1,7,8.526128327050689
Integration of Interdisciplinary Perspectives,1,3,8.990920647659049
Integration of Interdisciplinary Perspectives,1,2,5.344904796665429
Logic of Argumentation,1,0,8.467772590486739
Logic of Argumentation,1,6,0.0
Logic of Argumentation,1,10,3.6024969091335755
Logic of Argumentation,1,5,9.918094978798548
Logic of Argumentation,1,9,6.047393136586367
Logic of Argumentation,1,1,0.5525416028663301
Logic of Argumentation,1,8,10.0
Logic of Argumentation,1,4,6.357267793343255
Logic of Argumentation,1,7,8.050000619776643
Logic of Argumentation,1,3,4.234995146960735
Logic of Argumentation,1,2,3.9336208802972226
Multi-angle Analysis of Problems,1,0,8.742883216813835
Multi-angle Analysis of Problems,1,6,0.0
Multi-angle Analysis of Problems,1,10,2.452233349213606
Multi-angle Analysis of Problems,1,5,9.830197392533032
Multi-angle Analysis of Problems,1,9,1.8928272107083473
Multi-angle Analysis of Problems,1,1,0.10948982692949827
Multi-angle Analysis of Problems,1,8,10.0
Multi-angle Analysis of Problems,1,4,7.245726588123522
Multi-angle Analysis of Problems,1,7,8.122489639141948
Multi-angle Analysis of Problems,1,3,3.2143424701305143
Multi-angle Analysis of Problems,1,2,4.964790538912345
Potential Contribution to the Field,1,0,9.057791077242364
Potential Contribution to the Field,1,6,0.9400659320554958
Potential Contribution to the Field,1,10,1.4974330129362212
Potential Contribution to the Field,1,5,10.0
Potential Contribution to the Field,1,9,0.2423127990864163
Potential Contribution to the Field,1,1,0.0
Potential Contribution to the Field,1,8,9.546479424685296
Potential Contribution to the Field,1,4,7.283366144146489
Potential Contribution to the Field,1,7,9.61102607626914
Potential Contribution to the Field,1,3,9.509913541819031
Potential Contribution to the Field,1,2,0.7767141565392034
Practical Application Potential of Research Results,1,0,9.341613343461178
Practical Application Potential of Research Results,1,6,0.0
Practical Application Potential of Research Results,1,10,5.6690939003266685
Practical Application Potential of Research Results,1,5,9.896944767296155
Practical Application Potential of Research Results,1,9,4.016041465596999
Practical Application Potential of Research Results,1,1,0.09824589003156474
Practical Application Potential of Research Results,1,8,10.0
Practical Application Potential of Research Results,1,4,8.975854772922247
Practical Application Potential of Research Results,1,7,8.612662499365607
Practical Application Potential of Research Results,1,3,5.405514967241526
Practical Application Potential of Research Results,1,2,2.654954091289156
Proposal of New Research Directions or Questions,1,0,9.469069103642491
Proposal of New Research Directions or Questions,1,6,5.563456416680677
Proposal of New Research Directions or Questions,1,10,0.21268867166090877
Proposal of New Research Directions or Questions,1,5,10.0
Proposal of New Research Directions or Questions,1,9,0.008937864541331846
Proposal of New Research Directions or Questions,1,1,0.0
Proposal of New Research Directions or Questions,1,8,9.950473897560205
Proposal of New Research Directions or Questions,1,4,6.706989055973848
Proposal of New Research Directions or Questions,1,7,9.770026450841486
Proposal of New Research Directions or Questions,1,3,9.504548748745107
Proposal of New Research Directions or Questions,1,2,2.681322104980701
Quality of Introduction and Conclusion,1,0,9.02785517201446
