Subcategory,Mean Score,Diff Score
Topic Relevance,5.5,-1.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,6.5,-1.0
Topic Relevance,7.25,0.5
Topic Relevance,7.25,0.5
Topic Relevance,6.0,-2.0
Topic Relevance,8.0,-1.0
Topic Relevance,7.25,0.5
Comprehensiveness of Information,5.75,-1.5
Comprehensiveness of Information,8.0,0.0
Comprehensiveness of Information,8.0,0.0
Comprehensiveness of Information,7.75,-0.5
Comprehensiveness of Information,5.5,-1.0
Comprehensiveness of Information,7.0,1.0
Comprehensiveness of Information,7.25,0.5
Comprehensiveness of Information,7.0,-2.0
Comprehensiveness of Information,7.25,-1.5
Comprehensiveness of Information,7.0,1.0
Accuracy of Information,6.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,7.75,0.5
Accuracy of Information,8.0,0.0
Accuracy of Information,7.5,1.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Innovativeness of Viewpoints,5.0,-1.0
Innovativeness of Viewpoints,7.75,-0.5
Innovativeness of Viewpoints,7.5,-1.0
Innovativeness of Viewpoints,7.75,-1.5
Innovativeness of Viewpoints,6.0,-2.0
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,7.0,-1.0
Innovativeness of Viewpoints,7.0,-2.0
Innovativeness of Viewpoints,7.0,-1.0
Innovativeness of Viewpoints,7.0,1.0
Integration of Interdisciplinary Perspectives,4.0,0.0
Integration of Interdisciplinary Perspectives,7.5,-1.0
Integration of Interdisciplinary Perspectives,7.5,-1.0
Integration of Interdisciplinary Perspectives,7.75,-0.5
Integration of Interdisciplinary Perspectives,5.5,-1.0
Integration of Interdisciplinary Perspectives,7.0,1.0
Integration of Interdisciplinary Perspectives,7.25,0.5
Integration of Interdisciplinary Perspectives,6.5,-1.0
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,7.25,0.5
Clarity of Logical Structure,6.5,-1.0
Clarity of Logical Structure,9.25,-0.5
Clarity of Logical Structure,8.5,1.0
Clarity of Logical Structure,8.75,-0.5
Clarity of Logical Structure,7.0,2.0
Clarity of Logical Structure,8.0,1.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,7.0,2.0
Clarity of Logical Structure,8.75,-0.5
Clarity of Logical Structure,8.0,1.0
Reasonableness of Chapter Arrangement,5.0,-2.0
Reasonableness of Chapter Arrangement,8.0,-1.0
Reasonableness of Chapter Arrangement,7.5,1.0
Reasonableness of Chapter Arrangement,8.0,-1.0
Reasonableness of Chapter Arrangement,5.5,3.0
Reasonableness of Chapter Arrangement,7.5,1.0
Reasonableness of Chapter Arrangement,8.0,1.0
Reasonableness of Chapter Arrangement,7.0,2.0
Reasonableness of Chapter Arrangement,8.0,-1.0
Reasonableness of Chapter Arrangement,7.0,1.0
Quality of Introduction and Conclusion,4.25,-1.5
