Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,1,10.0
Accuracy and Completeness of Citations,1,6,4.994817783951447
Accuracy and Completeness of Citations,1,8,0.15984870106218557
Accuracy and Completeness of Citations,1,10,0.07620222165153329
Accuracy and Completeness of Citations,1,5,8.460512222021695
Accuracy and Completeness of Citations,1,2,9.490233162706895
Accuracy and Completeness of Citations,1,3,9.759036021424105
Accuracy and Completeness of Citations,1,4,6.345059278806773
Accuracy and Completeness of Citations,1,0,0.0
Accuracy and Completeness of Citations,1,7,7.397943651496219
Accuracy and Completeness of Citations,1,9,5.289023289953079
Accuracy of Information,1,1,10.0
Accuracy of Information,1,6,8.621008297867164
Accuracy of Information,1,8,0.4914924712197675
Accuracy of Information,1,10,0.46536272477516405
Accuracy of Information,1,5,9.585160462994063
Accuracy of Information,1,2,9.535244240184118
Accuracy of Information,1,3,9.85659675463024
Accuracy of Information,1,4,7.000264697893304
Accuracy of Information,1,0,0.0
Accuracy of Information,1,7,9.022382140630514
Accuracy of Information,1,9,3.301072603384304
Appropriateness of Professional Terminology Use,1,1,10.0
Appropriateness of Professional Terminology Use,1,6,9.292960410558301
Appropriateness of Professional Terminology Use,1,8,1.8624749006023196
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,5,9.977796560702314
Appropriateness of Professional Terminology Use,1,2,7.806533599198496
Appropriateness of Professional Terminology Use,1,3,7.033714003340242
Appropriateness of Professional Terminology Use,1,4,5.000481761764497
Appropriateness of Professional Terminology Use,1,0,0.03471787681560383
Appropriateness of Professional Terminology Use,1,7,7.643937803137714
Appropriateness of Professional Terminology Use,1,9,7.841190601586185
Avoidance of Plagiarism and Appropriate Citation,1,1,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.159575305931998
Avoidance of Plagiarism and Appropriate Citation,1,8,3.6362474907677123
Avoidance of Plagiarism and Appropriate Citation,1,10,0.05564948356798338
Avoidance of Plagiarism and Appropriate Citation,1,5,9.957557644822849
Avoidance of Plagiarism and Appropriate Citation,1,2,9.830309344335815
Avoidance of Plagiarism and Appropriate Citation,1,3,7.529701548360128
Avoidance of Plagiarism and Appropriate Citation,1,4,6.484580473172116
Avoidance of Plagiarism and Appropriate Citation,1,0,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,8.25392112809435
Avoidance of Plagiarism and Appropriate Citation,1,9,3.776112094656778
Clarity of Logical Structure,1,1,10.0
Clarity of Logical Structure,1,6,8.533247976994197
Clarity of Logical Structure,1,8,0.29005618659896526
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,5,9.96173404774686
Clarity of Logical Structure,1,2,7.841413269917167
Clarity of Logical Structure,1,3,3.8839546760024626
Clarity of Logical Structure,1,4,6.880178870212971
Clarity of Logical Structure,1,0,0.044592822999914586
Clarity of Logical Structure,1,7,8.322642362199486
Clarity of Logical Structure,1,9,9.736678509597555
Clarity of Research Method Description,1,1,10.0
Clarity of Research Method Description,1,6,9.60107118422332
Clarity of Research Method Description,1,8,1.13265769625649
Clarity of Research Method Description,1,10,0.1024147396856606
Clarity of Research Method Description,1,5,9.970721480487033
Clarity of Research Method Description,1,2,8.972041784623046
Clarity of Research Method Description,1,3,5.8021864602862445
Clarity of Research Method Description,1,4,6.614473972492626
Clarity of Research Method Description,1,0,0.0
Clarity of Research Method Description,1,7,6.939135383508371
Clarity of Research Method Description,1,9,9.768480454073515
Comprehensiveness of Information,1,1,10.0
Comprehensiveness of Information,1,6,7.793886087205098
Comprehensiveness of Information,1,8,0.4535548415218871
Comprehensiveness of Information,1,10,0.11578939862591311
Comprehensiveness of Information,1,5,9.779690539089566
Comprehensiveness of Information,1,2,9.716914993483629
Comprehensiveness of Information,1,3,9.29611572975425
Comprehensiveness of Information,1,4,7.337722260776481
Comprehensiveness of Information,1,0,0.0
Comprehensiveness of Information,1,7,7.311213566129633
Comprehensiveness of Information,1,9,6.0031853091971525
Conciseness of Expression,1,1,10.0
Conciseness of Expression,1,6,9.16031990187756
Conciseness of Expression,1,8,1.6507659155474184
Conciseness of Expression,1,10,0.13064709384723372
Conciseness of Expression,1,5,9.76893793825524
Conciseness of Expression,1,2,7.132703486410645
Conciseness of Expression,1,3,8.333880933582266
Conciseness of Expression,1,4,2.8675745777841577
Conciseness of Expression,1,0,0.0
Conciseness of Expression,1,7,7.1976403494348995
Conciseness of Expression,1,9,8.752576630389884
Critical Analysis of Existing Research,1,1,10.0
Critical Analysis of Existing Research,1,6,9.320890041166162
Critical Analysis of Existing Research,1,8,0.482436126215856
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,5,9.939954184537402
Critical Analysis of Existing Research,1,2,9.657606059209687
Critical Analysis of Existing Research,1,3,8.658836424611472
Critical Analysis of Existing Research,1,4,4.23240096304624
Critical Analysis of Existing Research,1,0,0.04835300740291591
Critical Analysis of Existing Research,1,7,5.836422999336391
Critical Analysis of Existing Research,1,9,8.219350670590787
Feasibility of Proposed Suggestions,1,1,10.0
Feasibility of Proposed Suggestions,1,6,9.27994934737068
Feasibility of Proposed Suggestions,1,8,2.1368881730516995
Feasibility of Proposed Suggestions,1,10,0.0455791310167906
Feasibility of Proposed Suggestions,1,5,9.817550399832603
Feasibility of Proposed Suggestions,1,2,8.53789506718075
Feasibility of Proposed Suggestions,1,3,8.587489890261141
Feasibility of Proposed Suggestions,1,4,4.6096862498814515
Feasibility of Proposed Suggestions,1,0,0.0
Feasibility of Proposed Suggestions,1,7,4.181991663438934
Feasibility of Proposed Suggestions,1,9,6.184183546153212
Fluency of Language Expression,1,1,10.0
Fluency of Language Expression,1,6,9.566598553672426
Fluency of Language Expression,1,8,1.9764416990410334
Fluency of Language Expression,1,10,0.03444691774616313
Fluency of Language Expression,1,5,9.968207371624906
Fluency of Language Expression,1,2,7.9925671006957
Fluency of Language Expression,1,3,8.28143969654984
Fluency of Language Expression,1,4,3.7136680671038804
Fluency of Language Expression,1,0,0.0
Fluency of Language Expression,1,7,5.821546551374276
Fluency of Language Expression,1,9,7.154675407879793
Identification and Discussion of Research Limitations,1,1,10.0
Identification and Discussion of Research Limitations,1,6,9.39966853219137
Identification and Discussion of Research Limitations,1,8,4.0798715039940605
Identification and Discussion of Research Limitations,1,10,0.00830539012230186
Identification and Discussion of Research Limitations,1,5,9.918936844702964
Identification and Discussion of Research Limitations,1,2,8.764421667574725
Identification and Discussion of Research Limitations,1,3,9.204869315670244
Identification and Discussion of Research Limitations,1,4,6.144334662777346
Identification and Discussion of Research Limitations,1,0,0.0
Identification and Discussion of Research Limitations,1,7,8.403187075624812
Identification and Discussion of Research Limitations,1,9,9.301269364713415
Inclusion of Latest Research Results,1,1,10.0
Inclusion of Latest Research Results,1,6,9.26021244770927
Inclusion of Latest Research Results,1,8,1.0085236809810767
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,5,9.973937623617315
Inclusion of Latest Research Results,1,2,9.80065504081319
Inclusion of Latest Research Results,1,3,8.59654413580425
Inclusion of Latest Research Results,1,4,6.699371135601199
Inclusion of Latest Research Results,1,0,0.018031141603201798
Inclusion of Latest Research Results,1,7,6.567524401900265
Inclusion of Latest Research Results,1,9,6.304271597660534
Innovativeness of Viewpoints,1,1,10.0
Innovativeness of Viewpoints,1,6,9.56296842758606
Innovativeness of Viewpoints,1,8,1.0014077795553051
Innovativeness of Viewpoints,1,10,0.06785969077181361
Innovativeness of Viewpoints,1,5,9.929421986775111
Innovativeness of Viewpoints,1,2,9.518420506756257
Innovativeness of Viewpoints,1,3,8.5705768044813
Innovativeness of Viewpoints,1,4,8.101956181579943
Innovativeness of Viewpoints,1,0,0.0
Innovativeness of Viewpoints,1,7,5.696881331548188
Innovativeness of Viewpoints,1,9,8.995032017492635
Integration of Interdisciplinary Perspectives,1,1,10.0
Integration of Interdisciplinary Perspectives,1,6,9.290399824920238
Integration of Interdisciplinary Perspectives,1,8,0.7622595109680181
Integration of Interdisciplinary Perspectives,1,10,0.3915201016881993
Integration of Interdisciplinary Perspectives,1,5,9.931308629271697
Integration of Interdisciplinary Perspectives,1,2,9.438416528810107
Integration of Interdisciplinary Perspectives,1,3,7.947459899903476
Integration of Interdisciplinary Perspectives,1,4,6.629430487925032
Integration of Interdisciplinary Perspectives,1,0,0.0
Integration of Interdisciplinary Perspectives,1,7,8.358076995192764
Integration of Interdisciplinary Perspectives,1,9,6.952092143918511
Logic of Argumentation,1,1,10.0
Logic of Argumentation,1,6,9.600553687333917
Logic of Argumentation,1,8,2.814885762952635
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,5,9.987548021465166
Logic of Argumentation,1,2,8.84066898181895
Logic of Argumentation,1,3,8.632792352730476
Logic of Argumentation,1,4,6.281390101802812
Logic of Argumentation,1,0,0.07289442486597802
Logic of Argumentation,1,7,6.844710164328419
Logic of Argumentation,1,9,8.911729170570522
Multi-angle Analysis of Problems,1,1,10.0
Multi-angle Analysis of Problems,1,6,9.35348396907593
Multi-angle Analysis of Problems,1,8,2.318051662483307
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,5,9.840371330406201
Multi-angle Analysis of Problems,1,2,8.113062672928518
Multi-angle Analysis of Problems,1,3,8.933644995591772
Multi-angle Analysis of Problems,1,4,5.798527918961819
Multi-angle Analysis of Problems,1,0,0.03761348508765646
Multi-angle Analysis of Problems,1,7,6.232382307138174
Multi-angle Analysis of Problems,1,9,7.898854874436183
Potential Contribution to the Field,1,1,10.0
Potential Contribution to the Field,1,6,9.498928054283814
Potential Contribution to the Field,1,8,0.570753273194675
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,5,9.977330957019614
Potential Contribution to the Field,1,2,9.681191998398173
Potential Contribution to the Field,1,3,9.069917564261244
Potential Contribution to the Field,1,4,3.3873056201529566
Potential Contribution to the Field,1,0,0.16713921868094597
Potential Contribution to the Field,1,7,5.445751751545251
Potential Contribution to the Field,1,9,8.616856339387988
Practical Application Potential of Research Results,1,1,10.0
Practical Application Potential of Research Results,1,6,9.534194554397367
Practical Application Potential of Research Results,1,8,4.524477725057445
Practical Application Potential of Research Results,1,10,0.10201856476309631
Practical Application Potential of Research Results,1,5,9.903187606804641
Practical Application Potential of Research Results,1,2,9.151916326396394
Practical Application Potential of Research Results,1,3,8.90877110774171
Practical Application Potential of Research Results,1,4,7.539191309715312
Practical Application Potential of Research Results,1,0,0.0
Practical Application Potential of Research Results,1,7,6.828723970833245
Practical Application Potential of Research Results,1,9,8.296209910157735
Proposal of New Research Directions or Questions,1,1,10.0
Proposal of New Research Directions or Questions,1,6,9.68163668054967
Proposal of New Research Directions or Questions,1,8,1.8262364788368446
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,5,9.93917216763182
Proposal of New Research Directions or Questions,1,2,9.572667427782124
Proposal of New Research Directions or Questions,1,3,8.228576891060031
Proposal of New Research Directions or Questions,1,4,3.991706417069886
Proposal of New Research Directions or Questions,1,0,0.16993073308357676
Proposal of New Research Directions or Questions,1,7,3.2876566070817708
Proposal of New Research Directions or Questions,1,9,8.442422709272629
Quality of Introduction and Conclusion,1,1,10.0
Quality of Introduction and Conclusion,1,6,9.122206725512667
Quality of Introduction and Conclusion,1,8,2.537968396378879
Quality of Introduction and Conclusion,1,10,0.4350470887611046
Quality of Introduction and Conclusion,1,5,9.729232477627983
Quality of Introduction and Conclusion,1,2,8.446642475664447
Quality of Introduction and Conclusion,1,3,5.221099245272664
Quality of Introduction and Conclusion,1,4,6.554326930909751
Quality of Introduction and Conclusion,1,0,0.0
Quality of Introduction and Conclusion,1,7,8.556249426836963
Quality of Introduction and Conclusion,1,9,7.99855386487882
Rationality of Method Selection,1,1,10.0
Rationality of Method Selection,1,6,7.564122903210612
Rationality of Method Selection,1,8,0.6048882221407361
Rationality of Method Selection,1,10,0.1480581731921704
Rationality of Method Selection,1,5,9.799596535325955
Rationality of Method Selection,1,2,7.613943495744504
Rationality of Method Selection,1,3,6.231488744820944
Rationality of Method Selection,1,4,5.764144597607737
Rationality of Method Selection,1,0,0.0
Rationality of Method Selection,1,7,5.8818084001437
Rationality of Method Selection,1,9,9.348467469051931
Reasonableness of Chapter Arrangement,1,1,10.0
Reasonableness of Chapter Arrangement,1,6,6.737569573389103
Reasonableness of Chapter Arrangement,1,8,0.3414394445476346
Reasonableness of Chapter Arrangement,1,10,0.1014145499786882
Reasonableness of Chapter Arrangement,1,5,9.933533345844625
Reasonableness of Chapter Arrangement,1,2,8.661574076752139
Reasonableness of Chapter Arrangement,1,3,4.131031973531678
Reasonableness of Chapter Arrangement,1,4,6.796099132633422
Reasonableness of Chapter Arrangement,1,0,0.0
Reasonableness of Chapter Arrangement,1,7,8.781351271510283
Reasonableness of Chapter Arrangement,1,9,9.634139734567075
Reflection of Current Research Hotspots,1,1,9.993277958181764
Reflection of Current Research Hotspots,1,6,9.17143969762425
Reflection of Current Research Hotspots,1,8,1.2226664141561352
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,5,10.0
Reflection of Current Research Hotspots,1,2,9.373556162915065
Reflection of Current Research Hotspots,1,3,7.855529445791258
Reflection of Current Research Hotspots,1,4,7.21480514211134
Reflection of Current Research Hotspots,1,0,0.00805351832992538
Reflection of Current Research Hotspots,1,7,6.271234691937079
Reflection of Current Research Hotspots,1,9,6.821073158072414
Rigor of Research Design,1,1,9.987118863896473
Rigor of Research Design,1,6,8.694909303274436
Rigor of Research Design,1,8,0.4706670851692104
Rigor of Research Design,1,10,0.15379324584523443
Rigor of Research Design,1,5,10.0
Rigor of Research Design,1,2,9.243552996828162
Rigor of Research Design,1,3,6.3567843532645645
Rigor of Research Design,1,4,7.120789511720219
Rigor of Research Design,1,0,0.0
Rigor of Research Design,1,7,7.594685573664527
Rigor of Research Design,1,9,9.588239073450248
Timeliness and Relevance of References,1,1,10.0
Timeliness and Relevance of References,1,6,9.043994011262114
Timeliness and Relevance of References,1,8,1.3163312346138458
Timeliness and Relevance of References,1,10,0.20511976683397082
Timeliness and Relevance of References,1,5,9.789331271197545
Timeliness and Relevance of References,1,2,9.713173207669723
Timeliness and Relevance of References,1,3,8.786230448999971
Timeliness and Relevance of References,1,4,6.509630131971904
Timeliness and Relevance of References,1,0,0.0
Timeliness and Relevance of References,1,7,7.4514303983035886
Timeliness and Relevance of References,1,9,3.104692516638902
Topic Relevance,1,1,10.0
Topic Relevance,1,6,8.932316865749769
Topic Relevance,1,8,1.6938186881299306
Topic Relevance,1,10,0.03501337144088776
Topic Relevance,1,5,9.77617729519461
Topic Relevance,1,2,9.353239343676142
Topic Relevance,1,3,8.635549667995416
Topic Relevance,1,4,8.640330519187922
Topic Relevance,1,0,0.0
Topic Relevance,1,7,6.697814928070992
Topic Relevance,1,9,1.4027064100342528
