Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,4.991417632384504
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,7.726209252909941
Accuracy and Completeness of Citations,1,1,0.2727008294739308
Accuracy and Completeness of Citations,1,3,6.650942206135477
Accuracy and Completeness of Citations,1,7,9.911798721390733
Accuracy and Completeness of Citations,1,0,9.618972468491261
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,2,5.550591122004726
Accuracy and Completeness of Citations,1,6,1.0625821155410735
Accuracy and Completeness of Citations,1,8,4.424676345976925
Accuracy of Information,1,5,4.049922247413811
Accuracy of Information,1,10,0.0
Accuracy of Information,1,4,4.632244289669324
Accuracy of Information,1,1,1.544380662942494
Accuracy of Information,1,3,3.8980528805077688
Accuracy of Information,1,7,8.557902826884131
Accuracy of Information,1,0,9.518758452195556
Accuracy of Information,1,9,10.0
Accuracy of Information,1,2,2.2118001051220246
Accuracy of Information,1,6,6.085372075825883
Accuracy of Information,1,8,0.30071653208538085
Appropriateness of Professional Terminology Use,1,5,1.3178334438231292
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,4,3.5621961029299003
Appropriateness of Professional Terminology Use,1,1,0.24884262679182012
Appropriateness of Professional Terminology Use,1,3,7.647895032708495
Appropriateness of Professional Terminology Use,1,7,8.403899803067386
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,9,6.368932015842856
Appropriateness of Professional Terminology Use,1,2,7.417284239972073
Appropriateness of Professional Terminology Use,1,6,1.4475507527531475
Appropriateness of Professional Terminology Use,1,8,0.8151605428580059
Avoidance of Plagiarism and Appropriate Citation,1,5,4.268379836012174
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,8.342512628449466
Avoidance of Plagiarism and Appropriate Citation,1,1,0.30027690318570605
Avoidance of Plagiarism and Appropriate Citation,1,3,7.757040971110817
Avoidance of Plagiarism and Appropriate Citation,1,7,9.181350057198491
Avoidance of Plagiarism and Appropriate Citation,1,0,10.0
Avoidance of Plagiarism and Appropriate Citation,1,9,8.408323705660573
