Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,10.0
Accuracy and Completeness of Citations,1,3,0.3429172784553852
Accuracy and Completeness of Citations,1,0,5.085692845094965
Accuracy and Completeness of Citations,1,1,9.310248185390254
Accuracy and Completeness of Citations,1,5,2.1574224658520698
Accuracy and Completeness of Citations,1,8,9.858045047032759
Accuracy and Completeness of Citations,1,7,6.048683100288004
Accuracy and Completeness of Citations,1,6,0.0
Accuracy and Completeness of Citations,1,10,0.5625529709494488
Accuracy and Completeness of Citations,1,9,8.975043392131353
Accuracy and Completeness of Citations,1,2,3.719883835216726
Accuracy of Information,1,4,10.0
Accuracy of Information,1,3,1.796394407930858
Accuracy of Information,1,0,5.3869231171461305
Accuracy of Information,1,1,7.413179998871649
Accuracy of Information,1,5,0.5519877877048907
Accuracy of Information,1,8,9.31935904679479
Accuracy of Information,1,7,7.680133672645358
Accuracy of Information,1,6,0.03939302974803958
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,7.752968702721705
Accuracy of Information,1,2,0.30135813541200857
Appropriateness of Professional Terminology Use,1,4,10.0
Appropriateness of Professional Terminology Use,1,3,0.03254604751732193
Appropriateness of Professional Terminology Use,1,0,1.2652589140893078
Appropriateness of Professional Terminology Use,1,1,9.78516376760346
Appropriateness of Professional Terminology Use,1,5,0.0
Appropriateness of Professional Terminology Use,1,8,9.765633053513131
Appropriateness of Professional Terminology Use,1,7,3.8921989597259885
Appropriateness of Professional Terminology Use,1,6,0.4778077804192847
Appropriateness of Professional Terminology Use,1,10,0.8711762184880136
Appropriateness of Professional Terminology Use,1,9,7.1967815221501885
Appropriateness of Professional Terminology Use,1,2,0.6299101153827534
Avoidance of Plagiarism and Appropriate Citation,1,4,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,0.23001696154122284
Avoidance of Plagiarism and Appropriate Citation,1,0,6.259637722254908
Avoidance of Plagiarism and Appropriate Citation,1,1,6.902428101589383
Avoidance of Plagiarism and Appropriate Citation,1,5,0.0
Avoidance of Plagiarism and Appropriate Citation,1,8,5.419488380022545
Avoidance of Plagiarism and Appropriate Citation,1,7,1.5841168002807322
Avoidance of Plagiarism and Appropriate Citation,1,6,0.811109331154548
Avoidance of Plagiarism and Appropriate Citation,1,10,0.03550298652772677
Avoidance of Plagiarism and Appropriate Citation,1,9,0.7729382206554793
Avoidance of Plagiarism and Appropriate Citation,1,2,1.4412806352661338
Clarity of Logical Structure,1,4,10.0
Clarity of Logical Structure,1,3,1.3791237601526594
Clarity of Logical Structure,1,0,6.98909779220006
Clarity of Logical Structure,1,1,9.47950925658547
Clarity of Logical Structure,1,5,0.13386033686938184
Clarity of Logical Structure,1,8,9.754990496701376
Clarity of Logical Structure,1,7,6.576511327349948
Clarity of Logical Structure,1,6,0.0
Clarity of Logical Structure,1,10,7.037072039903916
Clarity of Logical Structure,1,9,3.735762507639441
Clarity of Logical Structure,1,2,2.1080962499454325
Clarity of Research Method Description,1,4,10.0
Clarity of Research Method Description,1,3,0.46605640718188873
Clarity of Research Method Description,1,0,2.6325702161278457
Clarity of Research Method Description,1,1,8.56378823620485
Clarity of Research Method Description,1,5,0.0
Clarity of Research Method Description,1,8,9.286791654034982
Clarity of Research Method Description,1,7,1.1034288467610678
Clarity of Research Method Description,1,6,1.9528725940259728
Clarity of Research Method Description,1,10,2.4224706251218557
Clarity of Research Method Description,1,9,8.096088848197915
Clarity of Research Method Description,1,2,1.0500597690331663
Comprehensiveness of Information,1,4,10.0
Comprehensiveness of Information,1,3,0.05951320691342381
Comprehensiveness of Information,1,0,8.780820896535609
Comprehensiveness of Information,1,1,9.723145218133025
Comprehensiveness of Information,1,5,0.023753484084616486
Comprehensiveness of Information,1,8,8.339466928718142
Comprehensiveness of Information,1,7,6.964675010203801
Comprehensiveness of Information,1,6,0.12301462710365657
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,9,7.691440018980358
Comprehensiveness of Information,1,2,0.7455773856637454
Conciseness of Expression,1,4,10.0
Conciseness of Expression,1,3,0.0
Conciseness of Expression,1,0,2.612837301945382
Conciseness of Expression,1,1,9.959252759549853
Conciseness of Expression,1,5,0.019982080136650947
Conciseness of Expression,1,8,9.73211190912038
Conciseness of Expression,1,7,1.0211515470357222
Conciseness of Expression,1,6,0.31312518835283837
Conciseness of Expression,1,10,1.5385731229575303
Conciseness of Expression,1,9,7.071944640653191
Conciseness of Expression,1,2,0.3904678416914642
Critical Analysis of Existing Research,1,4,10.0
Critical Analysis of Existing Research,1,3,0.22197005782789517
Critical Analysis of Existing Research,1,0,7.950230930914468
Critical Analysis of Existing Research,1,1,7.902439737153174
Critical Analysis of Existing Research,1,5,0.024674598306295356
Critical Analysis of Existing Research,1,8,8.16093161203448
Critical Analysis of Existing Research,1,7,8.947507628724606
Critical Analysis of Existing Research,1,6,0.18221457028582144
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,9,6.6949692268161405
Critical Analysis of Existing Research,1,2,1.3371945081123409
Feasibility of Proposed Suggestions,1,4,10.0
Feasibility of Proposed Suggestions,1,3,0.3616914867478095
Feasibility of Proposed Suggestions,1,0,2.113538292196337
Feasibility of Proposed Suggestions,1,1,9.007002302849912
Feasibility of Proposed Suggestions,1,5,0.0
Feasibility of Proposed Suggestions,1,8,5.0851580261470675
Feasibility of Proposed Suggestions,1,7,4.203659634443973
Feasibility of Proposed Suggestions,1,6,0.2771694033696649
Feasibility of Proposed Suggestions,1,10,0.2775291295997598
Feasibility of Proposed Suggestions,1,9,4.501465647391146
Feasibility of Proposed Suggestions,1,2,0.8750142953368291
Fluency of Language Expression,1,4,10.0
