Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.07466592452609984,[0.03 0.15],41.02564102564102
Comprehensiveness of Information,0.04074515527856204,[-0.    0.11],44.73684210526316
Accuracy of Information,0.0282782580593036,[-0.01  0.09],15.384615384615385
Innovativeness of Viewpoints,0.05339920689621699,[0.01 0.12],57.14285714285714
Integration of Interdisciplinary Perspectives,0.057601850232729034,[0.01 0.13],55.10204081632652
Clarity of Logical Structure,0.03244840899830347,[-0.    0.08],89.1025641025641
Reasonableness of Chapter Arrangement,0.048686062881276373,[0.01 0.11],85.71428571428571
Quality of Introduction and Conclusion,0.017870010567570052,[-0.02  0.08],65.65656565656566
Accuracy and Completeness of Citations,0.030455889330948647,[-0.    0.09],83.84615384615385
Timeliness and Relevance of References,0.05422004684924372,[0.01 0.12],71.01449275362319
Avoidance of Plagiarism and Appropriate Citation,0.04930204129326847,[0.01 0.12],75.1937984496124
Critical Analysis of Existing Research,0.04113603615810975,[-0.    0.11],72.53521126760563
Proposal of New Research Directions or Questions,0.09874610405134963,[0.04 0.18],73.38129496402878
Potential Contribution to the Field,0.08432584801343512,[0.03 0.16],71.42857142857143
Clarity of Research Method Description,0.053607898524136686,[0.01 0.12],80.0
Rationality of Method Selection,0.030419494912483372,[-0.    0.09],80.88235294117648
Rigor of Research Design,0.045112302723705096,[0.   0.11],78.57142857142857
Inclusion of Latest Research Results,0.03851552805630517,[-0.   0.1],79.375
Reflection of Current Research Hotspots,0.0541469602227325,[0.01 0.12],76.81159420289855
Fluency of Language Expression,0.039527495783267114,[-0.   0.1],69.52380952380952
Appropriateness of Professional Terminology Use,0.04159311057136327,[0.   0.11],71.07438016528926
Conciseness of Expression,0.044009187617640756,[0.   0.11],70.58823529411765
Practical Application Potential of Research Results,0.058368591232863115,[0.01 0.13],75.91240875912408
Feasibility of Proposed Suggestions,0.07718925079676275,[0.03 0.15],71.42857142857143
Logic of Argumentation,0.04758465321845602,[0.01 0.11],76.81159420289855
Multi-angle Analysis of Problems,0.04183702616699321,[0.   0.11],73.80952380952381
Identification and Discussion of Research Limitations,0.05043892195970801,[0.01 0.12],76.92307692307693
