Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,10.0
Accuracy and Completeness of Citations,1,5,8.727470362640691
Accuracy and Completeness of Citations,1,3,9.84761171904808
Accuracy and Completeness of Citations,1,2,7.033669652278307
Accuracy and Completeness of Citations,1,0,9.811098191326629
Accuracy and Completeness of Citations,1,4,4.891977600856031
Accuracy and Completeness of Citations,1,1,7.43028671616599
Accuracy and Completeness of Citations,1,7,9.865572330170567
Accuracy and Completeness of Citations,1,9,0.0
Accuracy and Completeness of Citations,1,10,1.436573159224596
Accuracy and Completeness of Citations,1,6,4.237721314631331
Accuracy of Information,1,8,9.686021503867241
Accuracy of Information,1,5,9.326199393858795
Accuracy of Information,1,3,8.39191538406886
Accuracy of Information,1,2,7.6774067081208495
Accuracy of Information,1,0,10.0
Accuracy of Information,1,4,7.102492232058798
Accuracy of Information,1,1,9.816034389539514
Accuracy of Information,1,7,7.409406394175183
Accuracy of Information,1,9,0.0
Accuracy of Information,1,10,0.34847104007833124
Accuracy of Information,1,6,5.463417149190236
Appropriateness of Professional Terminology Use,1,8,10.0
Appropriateness of Professional Terminology Use,1,5,9.6268300726979
Appropriateness of Professional Terminology Use,1,3,8.156180267721156
Appropriateness of Professional Terminology Use,1,2,1.3563025200186904
Appropriateness of Professional Terminology Use,1,0,8.883508822619337
Appropriateness of Professional Terminology Use,1,4,4.555630199210966
Appropriateness of Professional Terminology Use,1,1,4.908683617107043
Appropriateness of Professional Terminology Use,1,7,9.569090024627004
Appropriateness of Professional Terminology Use,1,9,0.0
Appropriateness of Professional Terminology Use,1,10,0.49930016754872486
Appropriateness of Professional Terminology Use,1,6,3.418214841003367
Avoidance of Plagiarism and Appropriate Citation,1,8,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,8.196512828196859
Avoidance of Plagiarism and Appropriate Citation,1,3,9.143447093546161
Avoidance of Plagiarism and Appropriate Citation,1,2,2.904776370654816
Avoidance of Plagiarism and Appropriate Citation,1,0,9.36014868010404
Avoidance of Plagiarism and Appropriate Citation,1,4,4.149575126078756
Avoidance of Plagiarism and Appropriate Citation,1,1,8.319256287448408
Avoidance of Plagiarism and Appropriate Citation,1,7,9.595121959148559
Avoidance of Plagiarism and Appropriate Citation,1,9,0.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.6457745666997937
Avoidance of Plagiarism and Appropriate Citation,1,6,2.046157127506612
Clarity of Logical Structure,1,8,9.997412817946245
Clarity of Logical Structure,1,5,10.0
Clarity of Logical Structure,1,3,9.50201971631621
Clarity of Logical Structure,1,2,5.533680471107371
Clarity of Logical Structure,1,0,9.637307290630622
Clarity of Logical Structure,1,4,6.259664400643415
Clarity of Logical Structure,1,1,8.874904260145662
Clarity of Logical Structure,1,7,9.310314615628467
Clarity of Logical Structure,1,9,0.0
Clarity of Logical Structure,1,10,2.7847809323917216
Clarity of Logical Structure,1,6,8.798590287610278
Clarity of Research Method Description,1,8,10.0
Clarity of Research Method Description,1,5,9.907929624452574
Clarity of Research Method Description,1,3,8.538053076952467
Clarity of Research Method Description,1,2,1.1387084491661268
Clarity of Research Method Description,1,0,9.784151975267278
Clarity of Research Method Description,1,4,3.3142411328012154
Clarity of Research Method Description,1,1,6.678305660069167
Clarity of Research Method Description,1,7,9.901155778470526
Clarity of Research Method Description,1,9,0.0
Clarity of Research Method Description,1,10,0.1277306278582366
Clarity of Research Method Description,1,6,3.926760042582381
Comprehensiveness of Information,1,8,9.838577694992669
Comprehensiveness of Information,1,5,9.959872665260518
Comprehensiveness of Information,1,3,9.82486005165431
Comprehensiveness of Information,1,2,5.4117130644590805
Comprehensiveness of Information,1,0,9.932213678622157
Comprehensiveness of Information,1,4,5.057714190752591
Comprehensiveness of Information,1,1,10.0
Comprehensiveness of Information,1,7,9.276506093805128
Comprehensiveness of Information,1,9,0.0
Comprehensiveness of Information,1,10,0.26012190332482854
Comprehensiveness of Information,1,6,9.297446016470232
Conciseness of Expression,1,8,10.0
Conciseness of Expression,1,5,9.432425849243243
Conciseness of Expression,1,3,6.483256581005772
Conciseness of Expression,1,2,0.44787830354050717
Conciseness of Expression,1,0,8.308252915672025
Conciseness of Expression,1,4,3.0220551140187055
Conciseness of Expression,1,1,3.8242172194593276
Conciseness of Expression,1,7,8.741714168552878
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,10,0.17425917011027123
Conciseness of Expression,1,6,1.8487970867777923
Critical Analysis of Existing Research,1,8,10.0
Critical Analysis of Existing Research,1,5,9.827053591136751
Critical Analysis of Existing Research,1,3,9.529305413636084
Critical Analysis of Existing Research,1,2,5.830842313920922
Critical Analysis of Existing Research,1,0,9.577978982219587
Critical Analysis of Existing Research,1,4,7.138939900046048
Critical Analysis of Existing Research,1,1,9.648119205506124
Critical Analysis of Existing Research,1,7,9.556109773549409
Critical Analysis of Existing Research,1,9,0.0
Critical Analysis of Existing Research,1,10,0.6084204844809298
Critical Analysis of Existing Research,1,6,8.314596091758252
Feasibility of Proposed Suggestions,1,8,10.0
Feasibility of Proposed Suggestions,1,5,9.965951629378468
Feasibility of Proposed Suggestions,1,3,9.463730394506383
Feasibility of Proposed Suggestions,1,2,4.137408448695099
Feasibility of Proposed Suggestions,1,0,9.49663993911301
Feasibility of Proposed Suggestions,1,4,7.329064179989688
Feasibility of Proposed Suggestions,1,1,9.556875844099094
Feasibility of Proposed Suggestions,1,7,9.855048209125751
Feasibility of Proposed Suggestions,1,9,0.0
Feasibility of Proposed Suggestions,1,10,0.4265088779541514
Feasibility of Proposed Suggestions,1,6,6.910591975369877
Fluency of Language Expression,1,8,10.0
Fluency of Language Expression,1,5,9.82217540243986
Fluency of Language Expression,1,3,5.75187412036758
Fluency of Language Expression,1,2,0.7493228451203319
Fluency of Language Expression,1,0,9.169145706641974
Fluency of Language Expression,1,4,5.876706650286172
Fluency of Language Expression,1,1,3.907750965484443
Fluency of Language Expression,1,7,9.109762227166163
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,10,0.37148329558182985
Fluency of Language Expression,1,6,1.454276761782242
Identification and Discussion of Research Limitations,1,8,10.0
Identification and Discussion of Research Limitations,1,5,9.966552947185763
Identification and Discussion of Research Limitations,1,3,8.854970953476043
Identification and Discussion of Research Limitations,1,2,3.48824788482233
Identification and Discussion of Research Limitations,1,0,9.637874367745928
Identification and Discussion of Research Limitations,1,4,5.346976105512923
Identification and Discussion of Research Limitations,1,1,7.508248959690732
Identification and Discussion of Research Limitations,1,7,9.761217791899211
Identification and Discussion of Research Limitations,1,9,0.0
Identification and Discussion of Research Limitations,1,10,0.2132552433668656
Identification and Discussion of Research Limitations,1,6,5.221961653391975
Inclusion of Latest Research Results,1,8,10.0
Inclusion of Latest Research Results,1,5,9.901064751276262
Inclusion of Latest Research Results,1,3,7.985684990326418
Inclusion of Latest Research Results,1,2,2.1337793856662337
Inclusion of Latest Research Results,1,0,9.300333323232078
Inclusion of Latest Research Results,1,4,5.004191625397312
Inclusion of Latest Research Results,1,1,9.570705693470924
Inclusion of Latest Research Results,1,7,9.730106034154028
Inclusion of Latest Research Results,1,9,0.0
Inclusion of Latest Research Results,1,10,0.5117324171461864
Inclusion of Latest Research Results,1,6,4.441343392245786
Innovativeness of Viewpoints,1,8,10.0
Innovativeness of Viewpoints,1,5,9.98020281267702
Innovativeness of Viewpoints,1,3,9.95880785718999
Innovativeness of Viewpoints,1,2,9.505294702210815
Innovativeness of Viewpoints,1,0,9.96707658088875
Innovativeness of Viewpoints,1,4,8.342877913285273
Innovativeness of Viewpoints,1,1,9.994825599625498
Innovativeness of Viewpoints,1,7,9.721303701417012
Innovativeness of Viewpoints,1,9,0.0
Innovativeness of Viewpoints,1,10,6.430171727224319
Innovativeness of Viewpoints,1,6,9.680584927176522
Integration of Interdisciplinary Perspectives,1,8,9.964537912636139
Integration of Interdisciplinary Perspectives,1,5,9.951498657712673
Integration of Interdisciplinary Perspectives,1,3,9.84671616612623
Integration of Interdisciplinary Perspectives,1,2,6.579958922414731
Integration of Interdisciplinary Perspectives,1,0,9.97308054781822
Integration of Interdisciplinary Perspectives,1,4,9.405073961211537
Integration of Interdisciplinary Perspectives,1,1,10.0
Integration of Interdisciplinary Perspectives,1,7,9.490549546207202
Integration of Interdisciplinary Perspectives,1,9,0.0
Integration of Interdisciplinary Perspectives,1,10,3.2163266169614184
Integration of Interdisciplinary Perspectives,1,6,9.457104622739413
Logic of Argumentation,1,8,10.0
Logic of Argumentation,1,5,9.877091112716453
Logic of Argumentation,1,3,9.24281081058069
Logic of Argumentation,1,2,3.4589064812842016
Logic of Argumentation,1,0,9.688913170401253
Logic of Argumentation,1,4,6.1751313797192875
Logic of Argumentation,1,1,8.196270979811214
Logic of Argumentation,1,7,9.676511822460862
Logic of Argumentation,1,9,0.0
Logic of Argumentation,1,10,1.0120733616338902
Logic of Argumentation,1,6,6.143863017828506
Multi-angle Analysis of Problems,1,8,10.0
Multi-angle Analysis of Problems,1,5,9.987829947850061
Multi-angle Analysis of Problems,1,3,9.627151421166761
Multi-angle Analysis of Problems,1,2,5.723124584562115
Multi-angle Analysis of Problems,1,0,9.68629976093625
Multi-angle Analysis of Problems,1,4,8.186033634949574
Multi-angle Analysis of Problems,1,1,8.951421947026942
Multi-angle Analysis of Problems,1,7,9.819950327323534
Multi-angle Analysis of Problems,1,9,0.0
Multi-angle Analysis of Problems,1,10,0.9509114027595792
Multi-angle Analysis of Problems,1,6,8.246077449116246
Potential Contribution to the Field,1,8,10.0
Potential Contribution to the Field,1,5,9.898978291928257
Potential Contribution to the Field,1,3,9.44722436133045
Potential Contribution to the Field,1,2,7.547040418454073
Potential Contribution to the Field,1,0,9.832074963146054
Potential Contribution to the Field,1,4,8.471768142332612
Potential Contribution to the Field,1,1,9.81516193285044
Potential Contribution to the Field,1,7,9.675755875142668
Potential Contribution to the Field,1,9,0.0
Potential Contribution to the Field,1,10,0.4483993077612085
Potential Contribution to the Field,1,6,7.3395081903105535
Practical Application Potential of Research Results,1,8,10.0
Practical Application Potential of Research Results,1,5,9.931997329880195
Practical Application Potential of Research Results,1,3,8.817636472092241
Practical Application Potential of Research Results,1,2,4.039154480496007
Practical Application Potential of Research Results,1,0,9.352362828430884
Practical Application Potential of Research Results,1,4,5.690029149061159
Practical Application Potential of Research Results,1,1,9.10857970646255
Practical Application Potential of Research Results,1,7,9.613590582156094
Practical Application Potential of Research Results,1,9,0.0
Practical Application Potential of Research Results,1,10,1.1704289137992447
Practical Application Potential of Research Results,1,6,5.856901553728855
Proposal of New Research Directions or Questions,1,8,10.0
Proposal of New Research Directions or Questions,1,5,9.999347618442107
Proposal of New Research Directions or Questions,1,3,9.371356324807742
Proposal of New Research Directions or Questions,1,2,9.17884262633501
Proposal of New Research Directions or Questions,1,0,9.822149662605877
Proposal of New Research Directions or Questions,1,4,8.485732879155414
Proposal of New Research Directions or Questions,1,1,9.85854452793771
Proposal of New Research Directions or Questions,1,7,9.762758790785838
Proposal of New Research Directions or Questions,1,9,0.0
Proposal of New Research Directions or Questions,1,10,0.7515822884101482
Proposal of New Research Directions or Questions,1,6,8.28957052932523
Quality of Introduction and Conclusion,1,8,10.0
Quality of Introduction and Conclusion,1,5,9.940704705342458
Quality of Introduction and Conclusion,1,3,8.08383247852788
Quality of Introduction and Conclusion,1,2,1.5190132024910703
Quality of Introduction and Conclusion,1,0,4.567802840002549
Quality of Introduction and Conclusion,1,4,3.582002893966721
Quality of Introduction and Conclusion,1,1,9.155880215907855
Quality of Introduction and Conclusion,1,7,9.474888124558296
Quality of Introduction and Conclusion,1,9,0.0
Quality of Introduction and Conclusion,1,10,0.8570168238868736
Quality of Introduction and Conclusion,1,6,6.012557337039234
Rationality of Method Selection,1,8,10.0
Rationality of Method Selection,1,5,9.938950134235267
Rationality of Method Selection,1,3,8.61721811198827
Rationality of Method Selection,1,2,6.018539836305523
Rationality of Method Selection,1,0,9.665242273021486
Rationality of Method Selection,1,4,7.996319400145428
Rationality of Method Selection,1,1,8.287199373838197
Rationality of Method Selection,1,7,9.91634445987446
Rationality of Method Selection,1,9,0.0
Rationality of Method Selection,1,10,0.20490585742479708
Rationality of Method Selection,1,6,6.06204279461343
Reasonableness of Chapter Arrangement,1,8,9.894833804737697
Reasonableness of Chapter Arrangement,1,5,10.0
Reasonableness of Chapter Arrangement,1,3,9.311945959415457
Reasonableness of Chapter Arrangement,1,2,3.4121507046647097
Reasonableness of Chapter Arrangement,1,0,9.029647258276073
Reasonableness of Chapter Arrangement,1,4,8.384931933196764
Reasonableness of Chapter Arrangement,1,1,9.094258237909523
Reasonableness of Chapter Arrangement,1,7,9.87066538054165
Reasonableness of Chapter Arrangement,1,9,0.0
Reasonableness of Chapter Arrangement,1,10,0.77519339962931
Reasonableness of Chapter Arrangement,1,6,7.695590211827254
Reflection of Current Research Hotspots,1,8,10.0
Reflection of Current Research Hotspots,1,5,9.89494825926514
Reflection of Current Research Hotspots,1,3,8.199689107427696
Reflection of Current Research Hotspots,1,2,3.595231633992768
Reflection of Current Research Hotspots,1,0,8.932365100735792
Reflection of Current Research Hotspots,1,4,6.589073794803347
Reflection of Current Research Hotspots,1,1,9.543121350163178
Reflection of Current Research Hotspots,1,7,9.718756220962861
Reflection of Current Research Hotspots,1,9,0.0
Reflection of Current Research Hotspots,1,10,0.6400376403497555
Reflection of Current Research Hotspots,1,6,5.766151421775608
Rigor of Research Design,1,8,10.0
Rigor of Research Design,1,5,9.984264456326484
Rigor of Research Design,1,3,8.245823986176278
Rigor of Research Design,1,2,3.4601148164086677
Rigor of Research Design,1,0,9.551282879651692
Rigor of Research Design,1,4,6.101013961885745
Rigor of Research Design,1,1,8.32164948338169
Rigor of Research Design,1,7,9.7782555675725
Rigor of Research Design,1,9,0.0
Rigor of Research Design,1,10,0.2524532765260062
Rigor of Research Design,1,6,3.485760757814879
Timeliness and Relevance of References,1,8,10.0
Timeliness and Relevance of References,1,5,9.662877055895205
Timeliness and Relevance of References,1,3,6.1515565827067835
Timeliness and Relevance of References,1,2,2.5609567914765514
Timeliness and Relevance of References,1,0,9.25801212702594
Timeliness and Relevance of References,1,4,6.536493684898484
Timeliness and Relevance of References,1,1,9.865837071044036
Timeliness and Relevance of References,1,7,9.767021329128104
Timeliness and Relevance of References,1,9,0.0
Timeliness and Relevance of References,1,10,0.2144177250059313
Timeliness and Relevance of References,1,6,5.502879925090082
Topic Relevance,1,8,9.919208111859776
Topic Relevance,1,5,9.873191600799517
Topic Relevance,1,3,9.970567896330497
Topic Relevance,1,2,7.809204340630643
Topic Relevance,1,0,9.9211808718843
Topic Relevance,1,4,5.396191212277616
Topic Relevance,1,1,10.0
Topic Relevance,1,7,9.563695889594387
Topic Relevance,1,9,0.0
Topic Relevance,1,10,2.2005506117113316
Topic Relevance,1,6,9.169113365449954
