Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,3,6.876440914780499
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,7.669287903244368
Accuracy and Completeness of Citations,1,1,7.6331634364485454
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,4,6.361727631072233
Accuracy and Completeness of Citations,1,6,6.792528448076793
Accuracy and Completeness of Citations,1,8,6.65430841049366
Accuracy and Completeness of Citations,1,0,7.78615967950343
Accuracy and Completeness of Citations,1,5,7.765973216701935
Accuracy and Completeness of Citations,1,2,8.981104530778438
Accuracy of Information,1,3,1.1968652020702704
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,1.1116814740417496
Accuracy of Information,1,1,1.255590498788238
Accuracy of Information,1,9,10.0
Accuracy of Information,1,4,0.8673462642469685
Accuracy of Information,1,6,1.2538692311894175
Accuracy of Information,1,8,1.0119121482370759
Accuracy of Information,1,0,1.3264954416446555
Accuracy of Information,1,5,1.3221125096673996
Accuracy of Information,1,2,2.2677463649604124
Appropriateness of Professional Terminology Use,1,3,1.0901265251081693
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,3.134359100557177
Appropriateness of Professional Terminology Use,1,1,3.625969756041287
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,4,0.40775307707371755
Appropriateness of Professional Terminology Use,1,6,1.7523830515928718
Appropriateness of Professional Terminology Use,1,8,0.31716900910852525
Appropriateness of Professional Terminology Use,1,0,3.4839768542929863
Appropriateness of Professional Terminology Use,1,5,6.354537043037056
Appropriateness of Professional Terminology Use,1,2,7.593308185702797
Avoidance of Plagiarism and Appropriate Citation,1,3,3.602242367110924
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,3.616524938330815
Avoidance of Plagiarism and Appropriate Citation,1,1,4.137019725070926
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,4,3.5684636415855673
Avoidance of Plagiarism and Appropriate Citation,1,6,3.7972790943335717
Avoidance of Plagiarism and Appropriate Citation,1,8,3.008689812328521
Avoidance of Plagiarism and Appropriate Citation,1,0,4.564125752736566
Avoidance of Plagiarism and Appropriate Citation,1,5,4.305502896524195
Avoidance of Plagiarism and Appropriate Citation,1,2,5.965018703084764
Clarity of Logical Structure,1,3,1.5188556620974323
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,7,3.960780312554721
Clarity of Logical Structure,1,1,3.4579530078244702
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,4,0.7978780359281848
Clarity of Logical Structure,1,6,2.421828979654855
Clarity of Logical Structure,1,8,0.7122972337278419
Clarity of Logical Structure,1,0,4.515437872787465
Clarity of Logical Structure,1,5,5.6350888460804045
Clarity of Logical Structure,1,2,7.127378064426455
Clarity of Research Method Description,1,3,2.57572306787992
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,5.291595984780656
Clarity of Research Method Description,1,1,4.904544502376944
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,4,1.158490705914876
Clarity of Research Method Description,1,6,3.238605326496783
Clarity of Research Method Description,1,8,0.9982873870117499
Clarity of Research Method Description,1,0,4.664130063782923
Clarity of Research Method Description,1,5,6.872909374123544
Clarity of Research Method Description,1,2,7.933060840499261
Comprehensiveness of Information,1,3,1.8525582927572497
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,7,5.118916490351965
Comprehensiveness of Information,1,1,4.505002404134689
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,4,0.7168791998499515
Comprehensiveness of Information,1,6,1.583622429447113
Comprehensiveness of Information,1,8,0.6604160980941466
Comprehensiveness of Information,1,0,3.6230253382366286
Comprehensiveness of Information,1,5,5.192523190563636
Comprehensiveness of Information,1,2,7.703468016021098
Conciseness of Expression,1,3,0.6352428899432477
