Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,5,6.8353213792652765
Accuracy and Completeness of Citations,1,2,8.864600611955657
Accuracy and Completeness of Citations,1,0,8.690872729019052
Accuracy and Completeness of Citations,1,7,8.565301452274754
Accuracy and Completeness of Citations,1,8,7.28965753729825
Accuracy and Completeness of Citations,1,1,6.7520405302905235
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,3,6.196401351115704
Accuracy and Completeness of Citations,1,4,8.568329476957523
Accuracy and Completeness of Citations,1,6,8.257316865147544
Accuracy of Information,1,9,10.0
Accuracy of Information,1,5,0.025072497885569138
Accuracy of Information,1,2,7.654430468053698
Accuracy of Information,1,0,6.356693502789371
Accuracy of Information,1,7,8.345260512285018
Accuracy of Information,1,8,3.978518538396955
Accuracy of Information,1,1,1.9290789668451973
Accuracy of Information,1,10,0.0
Accuracy of Information,1,3,2.3642038238319802
Accuracy of Information,1,4,7.177805686894083
Accuracy of Information,1,6,3.089406547580513
Appropriateness of Professional Terminology Use,1,9,9.808994517531245
Appropriateness of Professional Terminology Use,1,5,0.0
Appropriateness of Professional Terminology Use,1,2,10.0
Appropriateness of Professional Terminology Use,1,0,6.183478187377953
Appropriateness of Professional Terminology Use,1,7,6.047278357016797
Appropriateness of Professional Terminology Use,1,8,0.9899058908666852
Appropriateness of Professional Terminology Use,1,1,0.12619707659019613
Appropriateness of Professional Terminology Use,1,10,0.08689873786485286
Appropriateness of Professional Terminology Use,1,3,0.058152481196320036
Appropriateness of Professional Terminology Use,1,4,6.115225535574127
Appropriateness of Professional Terminology Use,1,6,1.0333263627231088
Avoidance of Plagiarism and Appropriate Citation,1,9,9.86036269090668
Avoidance of Plagiarism and Appropriate Citation,1,5,8.242457584295568
Avoidance of Plagiarism and Appropriate Citation,1,2,9.947275906245862
Avoidance of Plagiarism and Appropriate Citation,1,0,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.962484684025116
Avoidance of Plagiarism and Appropriate Citation,1,8,9.429564584342248
Avoidance of Plagiarism and Appropriate Citation,1,1,8.031033336502926
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.24800218623121
Avoidance of Plagiarism and Appropriate Citation,1,4,9.775213522479639
Avoidance of Plagiarism and Appropriate Citation,1,6,9.757453089292103
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,5,0.0
Clarity of Logical Structure,1,2,9.785796209102061
Clarity of Logical Structure,1,0,5.256108448363916
Clarity of Logical Structure,1,7,3.7307677295895387
Clarity of Logical Structure,1,8,1.3053633984492068
Clarity of Logical Structure,1,1,0.12567199934861908
Clarity of Logical Structure,1,10,0.3973376510429487
Clarity of Logical Structure,1,3,0.180521873138531
Clarity of Logical Structure,1,4,5.411429930343474
Clarity of Logical Structure,1,6,1.3221227907990434
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,5,0.004841709803754309
Clarity of Research Method Description,1,2,9.929915751839737
Clarity of Research Method Description,1,0,6.4652069897303015
Clarity of Research Method Description,1,7,2.9100114685510783
Clarity of Research Method Description,1,8,0.6295227403344935
Clarity of Research Method Description,1,1,0.0008973936559779053
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,3,0.06727225883851286
Clarity of Research Method Description,1,4,4.938135944122091
Clarity of Research Method Description,1,6,0.5829884056242799
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,5,0.27788702827125816
Comprehensiveness of Information,1,2,9.915314491102734
Comprehensiveness of Information,1,0,7.1821292853935095
Comprehensiveness of Information,1,7,6.038028842210008
Comprehensiveness of Information,1,8,1.2201510425389976
Comprehensiveness of Information,1,1,0.11930642510164355
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,3,0.4482041337075491
Comprehensiveness of Information,1,4,7.541130032266432
Comprehensiveness of Information,1,6,1.0276244366381861
Conciseness of Expression,1,9,8.701491248033015
Conciseness of Expression,1,5,0.0
Conciseness of Expression,1,2,10.0
Conciseness of Expression,1,0,7.59596161697878
Conciseness of Expression,1,7,7.381284680777071
Conciseness of Expression,1,8,1.2028724768538446
Conciseness of Expression,1,1,0.2665815497857461
Conciseness of Expression,1,10,0.8039055762385843
Conciseness of Expression,1,3,0.26197112907296954
Conciseness of Expression,1,4,7.420073534682006
Conciseness of Expression,1,6,2.0284966671021447
Critical Analysis of Existing Research,1,9,0.6843638142144036
Critical Analysis of Existing Research,1,5,0.01567977237008328
Critical Analysis of Existing Research,1,2,10.0
Critical Analysis of Existing Research,1,0,8.287291913235377
Critical Analysis of Existing Research,1,7,9.731926401770277
Critical Analysis of Existing Research,1,8,3.951279869926454
Critical Analysis of Existing Research,1,1,0.3257566176103997
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,3,0.4577815714154943
Critical Analysis of Existing Research,1,4,9.279844438457213
Critical Analysis of Existing Research,1,6,5.259993756295326
Feasibility of Proposed Suggestions,1,9,1.601431942505499
Feasibility of Proposed Suggestions,1,5,0.025503986055711646
Feasibility of Proposed Suggestions,1,2,10.0
Feasibility of Proposed Suggestions,1,0,7.891152201003392
Feasibility of Proposed Suggestions,1,7,9.533357777887053
Feasibility of Proposed Suggestions,1,8,2.483003956944708
Feasibility of Proposed Suggestions,1,1,0.10681769290181917
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,3,0.41577030101890877
Feasibility of Proposed Suggestions,1,4,8.839050063135096
Feasibility of Proposed Suggestions,1,6,5.3068220358951645
Fluency of Language Expression,1,9,8.510971141376547
Fluency of Language Expression,1,5,0.0
Fluency of Language Expression,1,2,10.0
Fluency of Language Expression,1,0,7.491019310715193
Fluency of Language Expression,1,7,6.743807458973365
Fluency of Language Expression,1,8,1.6332575251067813
Fluency of Language Expression,1,1,0.4758835814159865
Fluency of Language Expression,1,10,1.1604204709284318
Fluency of Language Expression,1,3,0.2953459578393664
Fluency of Language Expression,1,4,7.434247667388631
Fluency of Language Expression,1,6,2.335614038892433
Identification and Discussion of Research Limitations,1,9,7.84303636156945
Identification and Discussion of Research Limitations,1,5,0.04387026944211266
Identification and Discussion of Research Limitations,1,2,10.0
Identification and Discussion of Research Limitations,1,0,7.662254829457579
Identification and Discussion of Research Limitations,1,7,9.082914041084225
Identification and Discussion of Research Limitations,1,8,1.964065135069613
Identification and Discussion of Research Limitations,1,1,0.02671951723595881
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,3,0.297810897065205
Identification and Discussion of Research Limitations,1,4,8.390799168558084
Identification and Discussion of Research Limitations,1,6,3.8577436419510818
Inclusion of Latest Research Results,1,9,9.605531334154751
Inclusion of Latest Research Results,1,5,0.4919260068486423
Inclusion of Latest Research Results,1,2,10.0
Inclusion of Latest Research Results,1,0,9.069629904601971
Inclusion of Latest Research Results,1,7,9.243798597211791
Inclusion of Latest Research Results,1,8,4.541840621216524
Inclusion of Latest Research Results,1,1,0.7573718051653293
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,3,1.8048666239272322
Inclusion of Latest Research Results,1,4,9.036193221846206
Inclusion of Latest Research Results,1,6,4.9316947639808015
Innovativeness of Viewpoints,1,9,1.1404824736937906
Innovativeness of Viewpoints,1,5,0.05899734066922458
Innovativeness of Viewpoints,1,2,10.0
Innovativeness of Viewpoints,1,0,8.06863559881913
Innovativeness of Viewpoints,1,7,9.782645821415331
Innovativeness of Viewpoints,1,8,4.52734938268043
Innovativeness of Viewpoints,1,1,0.5764780494778873
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,3,0.6386666293706348
