Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.44696139490280107,[0.35 0.57],78.70370370370371
Comprehensiveness of Information,0.8140579212197321,[0.75 0.87],84.90566037735849
Accuracy of Information,0.23233707287830788,[0.15 0.34],40.0
Innovativeness of Viewpoints,0.7643405442111282,[0.69 0.83],86.06060606060606
Integration of Interdisciplinary Perspectives,0.739058118837358,[0.66 0.82],85.45454545454545
Clarity of Logical Structure,0.7658922538780248,[0.69 0.84],81.21212121212122
Reasonableness of Chapter Arrangement,0.76817158798842,[0.69 0.84],79.39393939393939
Quality of Introduction and Conclusion,0.7855709609452385,[0.71 0.85],81.21212121212122
Accuracy and Completeness of Citations,0.6802278335405108,[0.59 0.77],78.44827586206897
Timeliness and Relevance of References,0.7598714255425552,[0.68 0.83],86.06060606060606
Avoidance of Plagiarism and Appropriate Citation,0.24801533227249944,[0.16 0.36],50.877192982456144
Critical Analysis of Existing Research,0.7735059335356201,[0.7  0.84],86.06060606060606
Proposal of New Research Directions or Questions,0.7161358842866319,[0.63 0.8 ],86.06060606060606
Potential Contribution to the Field,0.7514449255356621,[0.67 0.83],86.06060606060606
Clarity of Research Method Description,0.76313408467641,[0.69 0.83],80.60606060606061
Rationality of Method Selection,0.7501028016699638,[0.67 0.82],81.21212121212122
Rigor of Research Design,0.7555870975518195,[0.68 0.83],85.45454545454545
Inclusion of Latest Research Results,0.738651133378485,[0.66 0.82],86.06060606060606
Reflection of Current Research Hotspots,0.7364393946102961,[0.66 0.81],81.21212121212122
Fluency of Language Expression,0.7419135848773534,[0.66 0.82],80.12820512820514
Appropriateness of Professional Terminology Use,0.711985358114205,[0.63 0.79],79.87421383647799
Conciseness of Expression,0.7305532599542996,[0.65 0.81],79.87421383647799
Practical Application Potential of Research Results,0.7513006740365304,[0.67 0.82],86.06060606060606
Feasibility of Proposed Suggestions,0.7531971887748482,[0.68 0.83],86.06060606060606
Logic of Argumentation,0.77031988673178,[0.7  0.84],80.60606060606061
Multi-angle Analysis of Problems,0.7497648766038506,[0.67 0.82],86.06060606060606
Identification and Discussion of Research Limitations,0.7426263044867384,[0.66 0.82],86.06060606060606
