Subcategory,Mean Score,Diff Score
Topic Relevance,7.65,-0.2999999999999998
Topic Relevance,7.65,-0.2999999999999998
Topic Relevance,7.25,0.5
Topic Relevance,7.25,0.5
Topic Relevance,7.25,-0.5
Topic Relevance,7.65,-0.2999999999999998
Topic Relevance,7.25,0.5
Topic Relevance,7.35,0.2999999999999998
Topic Relevance,7.25,0.5
Topic Relevance,7.65,-0.2999999999999998
Comprehensiveness of Information,7.65,0.2999999999999998
Comprehensiveness of Information,6.85,-0.7000000000000002
Comprehensiveness of Information,6.75,0.5
Comprehensiveness of Information,6.75,-0.5
Comprehensiveness of Information,7.25,-0.5
Comprehensiveness of Information,6.85,-0.7000000000000002
Comprehensiveness of Information,6.75,0.5
Comprehensiveness of Information,7.4,0.7999999999999998
Comprehensiveness of Information,6.5,1.0
Comprehensiveness of Information,6.85,-0.7000000000000002
Accuracy of Information,7.800000000000001,0.20000000000000018
Accuracy of Information,7.25,-0.5
Accuracy of Information,8.0,0.0
Accuracy of Information,7.5,0.0
Accuracy of Information,7.25,0.5
Accuracy of Information,7.25,-0.5
Accuracy of Information,7.5,0.0
Accuracy of Information,7.85,0.10000000000000053
Accuracy of Information,7.25,0.5
Accuracy of Information,7.85,-0.10000000000000053
Innovativeness of Viewpoints,7.65,-0.2999999999999998
Innovativeness of Viewpoints,6.25,-0.5
Innovativeness of Viewpoints,7.25,0.5
Innovativeness of Viewpoints,6.75,0.5
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,6.4,-0.7999999999999998
Innovativeness of Viewpoints,6.75,0.5
Innovativeness of Viewpoints,6.75,-0.5
Innovativeness of Viewpoints,6.75,0.5
Innovativeness of Viewpoints,7.35,-0.2999999999999998
Integration of Interdisciplinary Perspectives,7.75,0.3000000000000007
Integration of Interdisciplinary Perspectives,6.25,-0.5
Integration of Interdisciplinary Perspectives,7.0,1.0
Integration of Interdisciplinary Perspectives,6.5,-1.0
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,5.9,-0.7999999999999998
Integration of Interdisciplinary Perspectives,6.5,1.0
Integration of Interdisciplinary Perspectives,6.75,-1.5
Integration of Interdisciplinary Perspectives,6.5,1.0
Integration of Interdisciplinary Perspectives,7.1,-0.6000000000000005
Clarity of Logical Structure,8.6,-0.1999999999999993
Clarity of Logical Structure,8.25,-0.5
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,7.75,0.5
Clarity of Logical Structure,8.0,-1.0
Clarity of Logical Structure,8.25,-0.5
Clarity of Logical Structure,8.0,1.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,7.75,-0.5
Clarity of Logical Structure,8.75,-0.5
Reasonableness of Chapter Arrangement,7.9,-0.20000000000000018
Reasonableness of Chapter Arrangement,7.25,-0.5
Reasonableness of Chapter Arrangement,7.25,0.5
Reasonableness of Chapter Arrangement,6.75,-0.5
Reasonableness of Chapter Arrangement,7.5,-1.0
Reasonableness of Chapter Arrangement,6.75,-0.5
Reasonableness of Chapter Arrangement,7.0,1.0
Reasonableness of Chapter Arrangement,7.75,0.5
Reasonableness of Chapter Arrangement,7.0,-1.0
Reasonableness of Chapter Arrangement,7.25,-0.5
