Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,9.951588378005289
Accuracy and Completeness of Citations,1,1,9.951840282854176
Accuracy and Completeness of Citations,1,7,9.941555907862028
Accuracy and Completeness of Citations,1,6,9.89088504702973
Accuracy and Completeness of Citations,1,9,8.868135531461874
Accuracy and Completeness of Citations,1,0,9.865006593818348
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,9.914787494672721
Accuracy and Completeness of Citations,1,3,9.917143009882462
Accuracy and Completeness of Citations,1,8,10.0
Accuracy and Completeness of Citations,1,2,9.884831687526567
Accuracy of Information,1,5,9.938685874437255
Accuracy of Information,1,1,9.99614532130659
Accuracy of Information,1,7,9.765726905613102
Accuracy of Information,1,6,9.885504911516158
Accuracy of Information,1,9,6.072579159528528
Accuracy of Information,1,0,9.981814758930817
Accuracy of Information,1,10,0.0
Accuracy of Information,1,4,9.961774571151581
Accuracy of Information,1,3,9.861835245281197
Accuracy of Information,1,8,10.0
Accuracy of Information,1,2,9.863938311064578
Appropriateness of Professional Terminology Use,1,5,8.145546069712964
Appropriateness of Professional Terminology Use,1,1,6.897335094750551
Appropriateness of Professional Terminology Use,1,7,4.4605758523175485
Appropriateness of Professional Terminology Use,1,6,0.32040102288597305
Appropriateness of Professional Terminology Use,1,9,0.8080662984117167
Appropriateness of Professional Terminology Use,1,0,5.385990617959296
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,4,0.6732581316350439
Appropriateness of Professional Terminology Use,1,3,1.7859908424820263
Appropriateness of Professional Terminology Use,1,8,10.0
Appropriateness of Professional Terminology Use,1,2,0.12532878579807127
Avoidance of Plagiarism and Appropriate Citation,1,5,9.385208157932633
Avoidance of Plagiarism and Appropriate Citation,1,1,9.699749732011428
Avoidance of Plagiarism and Appropriate Citation,1,7,9.205345367628434
Avoidance of Plagiarism and Appropriate Citation,1,6,8.97533701639105
Avoidance of Plagiarism and Appropriate Citation,1,9,3.567204768157739
Avoidance of Plagiarism and Appropriate Citation,1,0,8.78604993079471
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,9.459003648439113
Avoidance of Plagiarism and Appropriate Citation,1,3,9.405460539835993
Avoidance of Plagiarism and Appropriate Citation,1,8,10.0
Avoidance of Plagiarism and Appropriate Citation,1,2,8.2858637185534
Clarity of Logical Structure,1,5,9.189147361323418
Clarity of Logical Structure,1,1,8.36177072375666
Clarity of Logical Structure,1,7,8.182473037700461
Clarity of Logical Structure,1,6,1.6981406606675142
Clarity of Logical Structure,1,9,2.568326959585424
Clarity of Logical Structure,1,0,7.122757646271669
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,4,2.7849054752768354
Clarity of Logical Structure,1,3,4.669972310797049
Clarity of Logical Structure,1,8,10.0
Clarity of Logical Structure,1,2,0.7918764029466232
Clarity of Research Method Description,1,5,8.97352269166145
Clarity of Research Method Description,1,1,8.731628675449869
Clarity of Research Method Description,1,7,7.758369928202264
Clarity of Research Method Description,1,6,2.059592708683914
Clarity of Research Method Description,1,9,2.9864090804336176
Clarity of Research Method Description,1,0,7.0448054325212865
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,4,3.353194436090158
Clarity of Research Method Description,1,3,5.095342772016664
Clarity of Research Method Description,1,8,10.0
Clarity of Research Method Description,1,2,0.9948629054097327
Comprehensiveness of Information,1,5,9.128160333882272
Comprehensiveness of Information,1,1,9.128580346458678
Comprehensiveness of Information,1,7,6.011769556954335
Comprehensiveness of Information,1,6,2.897749764013418
Comprehensiveness of Information,1,9,0.7168099745792925
Comprehensiveness of Information,1,0,8.514144140690075
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,4,3.5893240556586594
Comprehensiveness of Information,1,3,5.388714839487164
Comprehensiveness of Information,1,8,10.0
Comprehensiveness of Information,1,2,1.9703693842689778
Conciseness of Expression,1,5,8.392047910229273
Conciseness of Expression,1,1,6.226646470798099
Conciseness of Expression,1,7,7.247463350672233
Conciseness of Expression,1,6,0.2373581361812626
Conciseness of Expression,1,9,0.401836618753521
Conciseness of Expression,1,0,4.633814401249382
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,4,0.47093884522952745
Conciseness of Expression,1,3,2.1474770409987394
Conciseness of Expression,1,8,10.0
Conciseness of Expression,1,2,0.10489298851651051
Critical Analysis of Existing Research,1,5,8.72362893979189
Critical Analysis of Existing Research,1,1,8.969455736573572
Critical Analysis of Existing Research,1,7,7.841189309947085
Critical Analysis of Existing Research,1,6,2.962798204174804
Critical Analysis of Existing Research,1,9,0.42556245312689495
Critical Analysis of Existing Research,1,0,8.760272834552653
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,4,3.1508127119924
Critical Analysis of Existing Research,1,3,6.0142211539055355
Critical Analysis of Existing Research,1,8,10.0
Critical Analysis of Existing Research,1,2,1.8078465870108158
Feasibility of Proposed Suggestions,1,5,8.673048907665343
Feasibility of Proposed Suggestions,1,1,8.827915245216822
Feasibility of Proposed Suggestions,1,7,7.292998553588793
Feasibility of Proposed Suggestions,1,6,1.5765713018186391
Feasibility of Proposed Suggestions,1,9,0.41972217011223606
Feasibility of Proposed Suggestions,1,0,8.551603333741328
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,4,1.9494820782123476
Feasibility of Proposed Suggestions,1,3,4.031973170637391
Feasibility of Proposed Suggestions,1,8,10.0
Feasibility of Proposed Suggestions,1,2,0.900951811745053
Fluency of Language Expression,1,5,8.051951049556772
Fluency of Language Expression,1,1,5.4677995183557675
Fluency of Language Expression,1,7,7.3252656724376255
Fluency of Language Expression,1,6,0.18117202698495088
Fluency of Language Expression,1,9,0.37797602951376386
Fluency of Language Expression,1,0,3.456674401858257
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,4,0.505973986209843
Fluency of Language Expression,1,3,1.5767846746469631
Fluency of Language Expression,1,8,10.0
Fluency of Language Expression,1,2,0.051547525907488845
Identification and Discussion of Research Limitations,1,5,8.439885807191322
Identification and Discussion of Research Limitations,1,1,8.425792638019203
Identification and Discussion of Research Limitations,1,7,6.81787532322279
Identification and Discussion of Research Limitations,1,6,0.9810496448387226
Identification and Discussion of Research Limitations,1,9,0.5302011528371442
Identification and Discussion of Research Limitations,1,0,8.115168511222722
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,4,1.5567068135637987
Identification and Discussion of Research Limitations,1,3,3.4595692449906887
Identification and Discussion of Research Limitations,1,8,10.0
Identification and Discussion of Research Limitations,1,2,0.6363768928281757
Inclusion of Latest Research Results,1,5,9.285817861603809
Inclusion of Latest Research Results,1,1,9.318534006322448
Inclusion of Latest Research Results,1,7,8.218251182118188
Inclusion of Latest Research Results,1,6,3.1785554590441683
Inclusion of Latest Research Results,1,9,2.308665696450343
Inclusion of Latest Research Results,1,0,8.425360082410515
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,4,4.022417927776421
Inclusion of Latest Research Results,1,3,6.027405239699364
Inclusion of Latest Research Results,1,8,10.0
Inclusion of Latest Research Results,1,2,2.3618392637418326
Innovativeness of Viewpoints,1,5,8.421809623380552
Innovativeness of Viewpoints,1,1,8.780710184112278
Innovativeness of Viewpoints,1,7,7.5832388025643445
Innovativeness of Viewpoints,1,6,2.416719500366964
Innovativeness of Viewpoints,1,9,0.19037796774426302
Innovativeness of Viewpoints,1,0,8.390205438872146
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,4,2.4696392626420147
Innovativeness of Viewpoints,1,3,4.955441000895281
Innovativeness of Viewpoints,1,8,10.0
Innovativeness of Viewpoints,1,2,1.3333270286831245
Integration of Interdisciplinary Perspectives,1,5,9.148935510655145
Integration of Interdisciplinary Perspectives,1,1,9.01674055788199
Integration of Interdisciplinary Perspectives,1,7,6.934299576718855
Integration of Interdisciplinary Perspectives,1,6,2.995456315163723
Integration of Interdisciplinary Perspectives,1,9,0.5023827594768586
Integration of Interdisciplinary Perspectives,1,0,8.431144240572655
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,4,4.107283053476077
Integration of Interdisciplinary Perspectives,1,3,5.970410657940377
Integration of Interdisciplinary Perspectives,1,8,10.0
Integration of Interdisciplinary Perspectives,1,2,2.1032197603698144
Logic of Argumentation,1,5,8.597001274389722
Logic of Argumentation,1,1,8.330506387250928
Logic of Argumentation,1,7,7.705981774971607
Logic of Argumentation,1,6,1.0549993060938074
Logic of Argumentation,1,9,1.9754566590824556
Logic of Argumentation,1,0,6.835746195476683
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,4,1.490862032407364
Logic of Argumentation,1,3,3.2545097742462965
Logic of Argumentation,1,8,10.0
Logic of Argumentation,1,2,0.6006686260323489
Multi-angle Analysis of Problems,1,5,8.787133776412462
Multi-angle Analysis of Problems,1,1,8.910079851017843
Multi-angle Analysis of Problems,1,7,6.8691650249177245
Multi-angle Analysis of Problems,1,6,1.4435769088944796
Multi-angle Analysis of Problems,1,9,0.424336592581843
Multi-angle Analysis of Problems,1,0,8.394399922886938
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,4,1.9028827626410707
Multi-angle Analysis of Problems,1,3,3.9889176402889173
Multi-angle Analysis of Problems,1,8,10.0
Multi-angle Analysis of Problems,1,2,0.8234245546019132
Potential Contribution to the Field,1,5,8.798477218031206
Potential Contribution to the Field,1,1,8.9631093220584
Potential Contribution to the Field,1,7,8.164931405159752
Potential Contribution to the Field,1,6,3.0141570388969994
Potential Contribution to the Field,1,9,0.4258089972733516
Potential Contribution to the Field,1,0,8.721399345029868
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,4,3.3614461126863002
Potential Contribution to the Field,1,3,5.650578261284335
Potential Contribution to the Field,1,8,10.0
Potential Contribution to the Field,1,2,1.8299788466952338
Practical Application Potential of Research Results,1,5,8.809430987602221
Practical Application Potential of Research Results,1,1,8.725473380482597
Practical Application Potential of Research Results,1,7,7.865169727436501
Practical Application Potential of Research Results,1,6,1.997004282466416
Practical Application Potential of Research Results,1,9,0.4221392509858477
Practical Application Potential of Research Results,1,0,8.587698175616746
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,4,2.4463399420878247
Practical Application Potential of Research Results,1,3,4.501476439280112
Practical Application Potential of Research Results,1,8,10.0
Practical Application Potential of Research Results,1,2,1.275465982764383
Proposal of New Research Directions or Questions,1,5,9.068719031024404
Proposal of New Research Directions or Questions,1,1,9.27352680502368
Proposal of New Research Directions or Questions,1,7,8.882061199949899
Proposal of New Research Directions or Questions,1,6,4.108329928089471
Proposal of New Research Directions or Questions,1,9,0.5155749603130643
Proposal of New Research Directions or Questions,1,0,9.0785857235008
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,4,4.574022488909752
Proposal of New Research Directions or Questions,1,3,6.753691479718456
Proposal of New Research Directions or Questions,1,8,10.0
Proposal of New Research Directions or Questions,1,2,3.136295532940014
Quality of Introduction and Conclusion,1,5,8.776064905555163
Quality of Introduction and Conclusion,1,1,7.728503156632213
Quality of Introduction and Conclusion,1,7,8.15337350017942
Quality of Introduction and Conclusion,1,6,0.7565939215269694
Quality of Introduction and Conclusion,1,9,1.0406453473287225
Quality of Introduction and Conclusion,1,0,5.962709731631169
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,4,1.1790561282508718
Quality of Introduction and Conclusion,1,3,3.2898954432255256
Quality of Introduction and Conclusion,1,8,10.0
Quality of Introduction and Conclusion,1,2,0.44449114650525084
Rationality of Method Selection,1,5,9.140445597621355
Rationality of Method Selection,1,1,8.990663382878958
Rationality of Method Selection,1,7,7.763319302439553
Rationality of Method Selection,1,6,2.0025994755042453
Rationality of Method Selection,1,9,2.625184088097456
Rationality of Method Selection,1,0,6.989975291046416
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,4,2.8245829244999903
Rationality of Method Selection,1,3,5.220713284582551
Rationality of Method Selection,1,8,10.0
Rationality of Method Selection,1,2,1.186081322995839
Reasonableness of Chapter Arrangement,1,5,9.057355629054733
Reasonableness of Chapter Arrangement,1,1,8.830842921024168
Reasonableness of Chapter Arrangement,1,7,7.659439384084584
Reasonableness of Chapter Arrangement,1,6,1.5137332728726405
Reasonableness of Chapter Arrangement,1,9,1.8095796872665377
Reasonableness of Chapter Arrangement,1,0,7.017176106510938
Reasonableness of Chapter Arrangement,1,10,0.0
Reasonableness of Chapter Arrangement,1,4,2.5279082311380696
Reasonableness of Chapter Arrangement,1,3,4.3709655079779814
Reasonableness of Chapter Arrangement,1,8,10.0
Reasonableness of Chapter Arrangement,1,2,0.959338643196649
Reflection of Current Research Hotspots,1,5,9.06449512692836
Reflection of Current Research Hotspots,1,1,9.211109236731264
Reflection of Current Research Hotspots,1,7,7.671604604283219
Reflection of Current Research Hotspots,1,6,1.8806465615497907
Reflection of Current Research Hotspots,1,9,1.429321973579712
Reflection of Current Research Hotspots,1,0,8.114109915663834
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,4,2.850739905599402
Reflection of Current Research Hotspots,1,3,4.718193406765119
Reflection of Current Research Hotspots,1,8,10.0
Reflection of Current Research Hotspots,1,2,1.1316257708458917
Rigor of Research Design,1,5,8.746991990757218
Rigor of Research Design,1,1,8.335152851129795
Rigor of Research Design,1,7,7.521843473815027
Rigor of Research Design,1,6,1.2343103677931297
Rigor of Research Design,1,9,2.3123877486560915
Rigor of Research Design,1,0,6.408280013259371
Rigor of Research Design,1,10,0.0
Rigor of Research Design,1,4,1.9979103705197294
Rigor of Research Design,1,3,4.044137830241927
Rigor of Research Design,1,8,10.0
Rigor of Research Design,1,2,0.6526709987613682
Timeliness and Relevance of References,1,5,9.287230005806093
Timeliness and Relevance of References,1,1,9.257830710046639
Timeliness and Relevance of References,1,7,8.159988346591504
Timeliness and Relevance of References,1,6,3.0238322727483804
Timeliness and Relevance of References,1,9,2.2646626333282076
Timeliness and Relevance of References,1,0,8.313142433454242
Timeliness and Relevance of References,1,10,0.0
Timeliness and Relevance of References,1,4,3.9276005849683284
Timeliness and Relevance of References,1,3,5.6413761375749045
Timeliness and Relevance of References,1,8,10.0
Timeliness and Relevance of References,1,2,2.2339576544097834
Topic Relevance,1,5,8.94187220476671
Topic Relevance,1,1,9.693626059975472
Topic Relevance,1,7,8.61695443918336
Topic Relevance,1,6,7.670501826665007
Topic Relevance,1,9,2.720723359926685
Topic Relevance,1,0,9.391932508524425
Topic Relevance,1,10,0.0
Topic Relevance,1,4,8.005934569581566
Topic Relevance,1,3,7.9677427894222435
