Subcategory,Mean Score,Diff Score
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,7.5,0.0
Topic Relevance,7.5,-1.0
Topic Relevance,5.0,0.0
Topic Relevance,7.0,1.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,-1.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,7.75,-0.5
Topic Relevance,6.5,2.0
Topic Relevance,7.25,0.5
Topic Relevance,7.699999999999999,-0.20000000000000018
Topic Relevance,7.8,-0.40000000000000036
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,6.75,0.5
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,-1.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,7.75,-0.5
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,7.75,-0.5
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.75,-0.5
Topic Relevance,8.0,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.5,0.0
Topic Relevance,8.0,0.0
Topic Relevance,7.85,-0.10000000000000053
Topic Relevance,7.5,0.0
