Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,9,8.726377736181037
Accuracy and Completeness of Citations,1,6,9.621689323023862
Accuracy and Completeness of Citations,1,3,0.29221800230129713
Accuracy and Completeness of Citations,1,4,3.4713338452481044
Accuracy and Completeness of Citations,1,5,9.96213195584731
Accuracy and Completeness of Citations,1,8,9.343269340128357
Accuracy and Completeness of Citations,1,1,10.0
Accuracy and Completeness of Citations,1,7,6.076190196715056
Accuracy and Completeness of Citations,1,2,4.499979556745798
Accuracy and Completeness of Citations,1,10,0.004718139669483463
Accuracy and Completeness of Citations,1,0,0.0
Accuracy of Information,1,9,6.39896522509373
Accuracy of Information,1,6,9.898817918792798
Accuracy of Information,1,3,3.3731365408573155
Accuracy of Information,1,4,8.751520804173905
Accuracy of Information,1,5,10.0
Accuracy of Information,1,8,9.689616565956001
Accuracy of Information,1,1,9.952120745784491
Accuracy of Information,1,7,9.608272929612994
Accuracy of Information,1,2,8.865828741627784
Accuracy of Information,1,10,0.0
Accuracy of Information,1,0,0.18735831669987496
Appropriateness of Professional Terminology Use,1,9,8.266067715853902
Appropriateness of Professional Terminology Use,1,6,7.868660990145065
Appropriateness of Professional Terminology Use,1,3,0.9960832586478974
Appropriateness of Professional Terminology Use,1,4,0.7906539174162989
Appropriateness of Professional Terminology Use,1,5,10.0
Appropriateness of Professional Terminology Use,1,8,0.5571781388221938
Appropriateness of Professional Terminology Use,1,1,9.75380670159669
Appropriateness of Professional Terminology Use,1,7,0.5077342892928397
Appropriateness of Professional Terminology Use,1,2,1.9219274217283626
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,0,0.006987572710388099
Avoidance of Plagiarism and Appropriate Citation,1,9,9.866758243569459
Avoidance of Plagiarism and Appropriate Citation,1,6,8.39998454174494
Avoidance of Plagiarism and Appropriate Citation,1,3,0.024067154271017972
Avoidance of Plagiarism and Appropriate Citation,1,4,2.8515688957756775
