Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.09930820238888029,[0.05 0.18],48.148148148148145
Comprehensiveness of Information,0.13265322682502265,[0.07 0.22],40.0
Accuracy of Information,0.022105447101702452,[-0.02  0.08],47.61904761904761
Innovativeness of Viewpoints,0.1668831408858405,[0.1  0.26],48.214285714285715
Integration of Interdisciplinary Perspectives,0.14200757317858761,[0.08 0.23],53.44827586206896
Clarity of Logical Structure,0.1340266314829428,[0.07 0.22],91.72932330827066
Reasonableness of Chapter Arrangement,0.1284145940802752,[0.07 0.22],87.14285714285714
Quality of Introduction and Conclusion,0.13457945689797818,[0.07 0.23],72.1311475409836
Accuracy and Completeness of Citations,0.032949881723158506,[-0.    0.09],88.54166666666666
Timeliness and Relevance of References,0.16192620588099424,[0.09 0.26],79.05405405405406
Avoidance of Plagiarism and Appropriate Citation,0.02670456799444875,[-0.01  0.09],74.39024390243902
Critical Analysis of Existing Research,0.22645471028733027,[0.15 0.34],82.14285714285714
Proposal of New Research Directions or Questions,0.20259490041419848,[0.13 0.31],75.6578947368421
Potential Contribution to the Field,0.1966362131430383,[0.12 0.3 ],70.39999999999999
Clarity of Research Method Description,0.11650562515496504,[0.06 0.2 ],82.14285714285714
Rationality of Method Selection,0.13253601142007398,[0.07 0.22],82.08955223880598
Rigor of Research Design,0.13574547423206482,[0.07 0.23],77.16535433070865
Inclusion of Latest Research Results,0.15744941206854407,[0.09 0.26],81.52866242038218
Reflection of Current Research Hotspots,0.1553037621074067,[0.09 0.25],78.66666666666666
Fluency of Language Expression,0.18133203502662945,[0.11 0.29],76.14678899082568
Appropriateness of Professional Terminology Use,0.15764877888529472,[0.09 0.26],85.27131782945736
Conciseness of Expression,0.17926034838367136,[0.11 0.28],75.86206896551724
Practical Application Potential of Research Results,0.19178035632957416,[0.12 0.3 ],82.05128205128204
Feasibility of Proposed Suggestions,0.21521732325402146,[0.14 0.32],77.94117647058823
Logic of Argumentation,0.18732377362119432,[0.11 0.29],78.94736842105263
Multi-angle Analysis of Problems,0.20921596371099976,[0.13 0.32],80.34188034188034
Identification and Discussion of Research Limitations,0.19146732393886623,[0.12 0.3 ],77.58620689655173
