Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,8.018382832136838
Accuracy and Completeness of Citations,1,2,10.0
Accuracy and Completeness of Citations,1,6,8.225382460940034
Accuracy and Completeness of Citations,1,9,0.0
Accuracy and Completeness of Citations,1,5,9.040657555840795
Accuracy and Completeness of Citations,1,10,7.2796492627106915
Accuracy and Completeness of Citations,1,7,9.9289043173575
Accuracy and Completeness of Citations,1,4,7.422950705989484
Accuracy and Completeness of Citations,1,1,8.773988836681353
Accuracy and Completeness of Citations,1,3,9.948378786064156
Accuracy and Completeness of Citations,1,0,9.502136916401435
Accuracy of Information,1,8,9.48611180447034
Accuracy of Information,1,2,10.0
Accuracy of Information,1,6,4.304225982704159
Accuracy of Information,1,9,0.0
Accuracy of Information,1,5,9.285347196575854
Accuracy of Information,1,10,0.10508077990757443
Accuracy of Information,1,7,9.971420474756755
Accuracy of Information,1,4,6.411532616814539
Accuracy of Information,1,1,8.517463802515953
Accuracy of Information,1,3,9.950163214132862
Accuracy of Information,1,0,9.439339678929846
Appropriateness of Professional Terminology Use,1,8,9.896818563925994
Appropriateness of Professional Terminology Use,1,2,10.0
Appropriateness of Professional Terminology Use,1,6,3.5572613773583157
Appropriateness of Professional Terminology Use,1,9,0.0
Appropriateness of Professional Terminology Use,1,5,9.98500285577775
Appropriateness of Professional Terminology Use,1,10,0.9443895842482999
Appropriateness of Professional Terminology Use,1,7,9.971720478686887
Appropriateness of Professional Terminology Use,1,4,5.068962190143707
Appropriateness of Professional Terminology Use,1,1,5.0364475847822785
Appropriateness of Professional Terminology Use,1,3,9.650630601359135
Appropriateness of Professional Terminology Use,1,0,9.821380464338151
Avoidance of Plagiarism and Appropriate Citation,1,8,9.590104384205874
Avoidance of Plagiarism and Appropriate Citation,1,2,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,7.247117346168122
Avoidance of Plagiarism and Appropriate Citation,1,9,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.294599444558365
Avoidance of Plagiarism and Appropriate Citation,1,10,2.8626992519945875
Avoidance of Plagiarism and Appropriate Citation,1,7,9.94063077070391
Avoidance of Plagiarism and Appropriate Citation,1,4,7.376598354722008
Avoidance of Plagiarism and Appropriate Citation,1,1,7.921235132532745
Avoidance of Plagiarism and Appropriate Citation,1,3,9.496493796941182
Avoidance of Plagiarism and Appropriate Citation,1,0,9.254132734914887
Clarity of Logical Structure,1,8,9.76277806494832
Clarity of Logical Structure,1,2,9.962939733964058
Clarity of Logical Structure,1,6,7.115270450441961
Clarity of Logical Structure,1,9,0.0
Clarity of Logical Structure,1,5,9.954155546174245
Clarity of Logical Structure,1,10,9.961219958005147
Clarity of Logical Structure,1,7,10.0
Clarity of Logical Structure,1,4,7.7082554548985
Clarity of Logical Structure,1,1,9.858689197735588
Clarity of Logical Structure,1,3,9.848851034975032
Clarity of Logical Structure,1,0,9.778598105715773
Clarity of Research Method Description,1,8,9.86197076411783
Clarity of Research Method Description,1,2,9.723694749610111
Clarity of Research Method Description,1,6,0.4066985880839485
Clarity of Research Method Description,1,9,0.0
Clarity of Research Method Description,1,5,10.0
Clarity of Research Method Description,1,10,1.4746803520476786
Clarity of Research Method Description,1,7,9.784261276401157
Clarity of Research Method Description,1,4,2.387967179178272
Clarity of Research Method Description,1,1,0.32481293450673693
Clarity of Research Method Description,1,3,8.24984800177504
Clarity of Research Method Description,1,0,7.6330105742599725
Comprehensiveness of Information,1,8,9.911202069810663
Comprehensiveness of Information,1,2,10.0
Comprehensiveness of Information,1,6,8.278104736155433
Comprehensiveness of Information,1,9,0.0
Comprehensiveness of Information,1,5,9.636127934164074
Comprehensiveness of Information,1,10,1.701525163414886
Comprehensiveness of Information,1,7,9.92119377320947
Comprehensiveness of Information,1,4,9.543048010875506
Comprehensiveness of Information,1,1,9.680121915316139
Comprehensiveness of Information,1,3,9.940350661856874
Comprehensiveness of Information,1,0,9.81154976969258
Conciseness of Expression,1,8,9.998274888953544
Conciseness of Expression,1,2,9.98229874617751
Conciseness of Expression,1,6,4.861595103516994
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,5,10.0
Conciseness of Expression,1,10,2.514841199383161
Conciseness of Expression,1,7,9.98651967902409
Conciseness of Expression,1,4,4.582345852513204
Conciseness of Expression,1,1,4.894855428942355
Conciseness of Expression,1,3,9.44773592300644
Conciseness of Expression,1,0,9.938967333732656
Critical Analysis of Existing Research,1,8,9.956278702696606
Critical Analysis of Existing Research,1,2,9.904152308682576
Critical Analysis of Existing Research,1,6,5.352381338795811
Critical Analysis of Existing Research,1,9,0.0
Critical Analysis of Existing Research,1,5,10.0
Critical Analysis of Existing Research,1,10,0.08228863429880992
Critical Analysis of Existing Research,1,7,9.656689444606718
Critical Analysis of Existing Research,1,4,8.367501633631807
Critical Analysis of Existing Research,1,1,7.029589117395097
Critical Analysis of Existing Research,1,3,9.764547388713929
Critical Analysis of Existing Research,1,0,9.22821742852723
Feasibility of Proposed Suggestions,1,8,9.948594427178948
Feasibility of Proposed Suggestions,1,2,10.0
Feasibility of Proposed Suggestions,1,6,5.017825715235977
Feasibility of Proposed Suggestions,1,9,0.0
Feasibility of Proposed Suggestions,1,5,9.935957382187054
Feasibility of Proposed Suggestions,1,10,1.8307276976561118
Feasibility of Proposed Suggestions,1,7,9.91396008692438
Feasibility of Proposed Suggestions,1,4,6.555470028324675
Feasibility of Proposed Suggestions,1,1,7.448589627872908
Feasibility of Proposed Suggestions,1,3,9.517244976678123
Feasibility of Proposed Suggestions,1,0,9.69521881069271
Fluency of Language Expression,1,8,10.0
Fluency of Language Expression,1,2,9.929877053852762
Fluency of Language Expression,1,6,4.205788338772062
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,5,9.956719720341898
Fluency of Language Expression,1,10,3.4610301420687826
Fluency of Language Expression,1,7,9.98371338721263
Fluency of Language Expression,1,4,6.798922788055278
Fluency of Language Expression,1,1,5.263685295844403
Fluency of Language Expression,1,3,9.35776952558613
Fluency of Language Expression,1,0,9.797051404309824
Identification and Discussion of Research Limitations,1,8,9.97366946001492
Identification and Discussion of Research Limitations,1,2,9.973931499733272
Identification and Discussion of Research Limitations,1,6,2.3039296220455725
Identification and Discussion of Research Limitations,1,9,0.0
Identification and Discussion of Research Limitations,1,5,10.0
Identification and Discussion of Research Limitations,1,10,1.8084784096007984
Identification and Discussion of Research Limitations,1,7,9.95344022145268
Identification and Discussion of Research Limitations,1,4,4.674556650426983
Identification and Discussion of Research Limitations,1,1,4.429972168507674
Identification and Discussion of Research Limitations,1,3,9.290546404952076
Identification and Discussion of Research Limitations,1,0,9.761991243873497
Inclusion of Latest Research Results,1,8,9.838786799879701
Inclusion of Latest Research Results,1,2,9.990675268706749
Inclusion of Latest Research Results,1,6,6.49462212009029
Inclusion of Latest Research Results,1,9,0.0
Inclusion of Latest Research Results,1,5,9.964282429414832
Inclusion of Latest Research Results,1,10,3.575053771316603
Inclusion of Latest Research Results,1,7,10.0
Inclusion of Latest Research Results,1,4,8.26667207042249
Inclusion of Latest Research Results,1,1,6.951166760664734
Inclusion of Latest Research Results,1,3,9.94106879503837
Inclusion of Latest Research Results,1,0,9.151059377554825
Innovativeness of Viewpoints,1,8,9.603393500791228
Innovativeness of Viewpoints,1,2,10.0
Innovativeness of Viewpoints,1,6,4.702569969065209
Innovativeness of Viewpoints,1,9,0.0
Innovativeness of Viewpoints,1,5,9.811088448445723
Innovativeness of Viewpoints,1,10,0.08819922799269941
Innovativeness of Viewpoints,1,7,9.86781211064079
Innovativeness of Viewpoints,1,4,9.405470571023058
Innovativeness of Viewpoints,1,1,9.577612874735982
Innovativeness of Viewpoints,1,3,9.817378438946534
Innovativeness of Viewpoints,1,0,9.130949457363247
Integration of Interdisciplinary Perspectives,1,8,9.904745317543467
Integration of Interdisciplinary Perspectives,1,2,10.0
Integration of Interdisciplinary Perspectives,1,6,2.3104262053057623
Integration of Interdisciplinary Perspectives,1,9,0.0
Integration of Interdisciplinary Perspectives,1,5,9.540546155953459
Integration of Interdisciplinary Perspectives,1,10,1.0913314514065564
Integration of Interdisciplinary Perspectives,1,7,9.97068618774222
Integration of Interdisciplinary Perspectives,1,4,9.702763434997518
Integration of Interdisciplinary Perspectives,1,1,9.205262630687246
Integration of Interdisciplinary Perspectives,1,3,9.472834697847548
Integration of Interdisciplinary Perspectives,1,0,7.612072423441757
Logic of Argumentation,1,8,9.834839707692323
Logic of Argumentation,1,2,9.931913392935583
Logic of Argumentation,1,6,2.045465928484135
Logic of Argumentation,1,9,0.0
Logic of Argumentation,1,5,10.0
