Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,9,0.16891193224795345
Accuracy and Completeness of Citations,1,8,9.469973367600247
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,8.222900464747676
Accuracy and Completeness of Citations,1,1,8.840842523791483
Accuracy and Completeness of Citations,1,3,10.0
Accuracy and Completeness of Citations,1,0,6.1414103446925035
Accuracy and Completeness of Citations,1,7,6.7394985434071
Accuracy and Completeness of Citations,1,5,9.87423193984946
Accuracy and Completeness of Citations,1,2,3.9570268257867336
Accuracy and Completeness of Citations,1,6,0.22977218822937812
Accuracy of Information,1,9,0.3074166771977616
Accuracy of Information,1,8,9.850381026849519
Accuracy of Information,1,10,0.0
Accuracy of Information,1,4,9.915299499501725
Accuracy of Information,1,1,9.950518578655938
Accuracy of Information,1,3,9.871064402770205
Accuracy of Information,1,0,9.938478305003619
Accuracy of Information,1,7,9.535009431110929
Accuracy of Information,1,5,9.912143963207468
Accuracy of Information,1,2,10.0
Accuracy of Information,1,6,5.235240166050668
Appropriateness of Professional Terminology Use,1,9,0.007688773693949253
Appropriateness of Professional Terminology Use,1,8,7.898910662162296
Appropriateness of Professional Terminology Use,1,10,2.5529850089670054
Appropriateness of Professional Terminology Use,1,4,9.877389826178511
Appropriateness of Professional Terminology Use,1,1,8.913771177404442
Appropriateness of Professional Terminology Use,1,3,9.999288062566807
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,7,6.77216645633304
Appropriateness of Professional Terminology Use,1,5,9.776909481757958
Appropriateness of Professional Terminology Use,1,2,9.753909336742236
Appropriateness of Professional Terminology Use,1,6,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,0.8631759768102232
Avoidance of Plagiarism and Appropriate Citation,1,8,9.781549908991547
Avoidance of Plagiarism and Appropriate Citation,1,10,0.9996819894092781
Avoidance of Plagiarism and Appropriate Citation,1,4,9.972646025872058
Avoidance of Plagiarism and Appropriate Citation,1,1,8.544643770817222
Avoidance of Plagiarism and Appropriate Citation,1,3,10.0
Avoidance of Plagiarism and Appropriate Citation,1,0,5.093612007725338
Avoidance of Plagiarism and Appropriate Citation,1,7,4.016259284217548
Avoidance of Plagiarism and Appropriate Citation,1,5,9.971148617824095
Avoidance of Plagiarism and Appropriate Citation,1,2,6.329099660828589
Avoidance of Plagiarism and Appropriate Citation,1,6,0.0
Clarity of Logical Structure,1,9,0.0
Clarity of Logical Structure,1,8,9.489126067454148
Clarity of Logical Structure,1,10,0.4817730886726521
Clarity of Logical Structure,1,4,9.247375702236516
Clarity of Logical Structure,1,1,8.059114200663489
Clarity of Logical Structure,1,3,10.0
Clarity of Logical Structure,1,0,8.587876229894018
Clarity of Logical Structure,1,7,9.501828403950935
Clarity of Logical Structure,1,5,9.935319182483886
Clarity of Logical Structure,1,2,8.354898322010687
Clarity of Logical Structure,1,6,0.11521094390272026
Clarity of Research Method Description,1,9,0.0
Clarity of Research Method Description,1,8,7.2812329524339585
Clarity of Research Method Description,1,10,7.150136104768052
Clarity of Research Method Description,1,4,9.44111184071828
Clarity of Research Method Description,1,1,9.880596251843043
Clarity of Research Method Description,1,3,9.843763561443017
Clarity of Research Method Description,1,0,9.895683296842604
Clarity of Research Method Description,1,7,7.176554380822234
Clarity of Research Method Description,1,5,10.0
Clarity of Research Method Description,1,2,9.917439992824955
Clarity of Research Method Description,1,6,0.5040829640371924
Comprehensiveness of Information,1,9,0.14699757200990948
Comprehensiveness of Information,1,8,9.938086553326627
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,4,10.0
Comprehensiveness of Information,1,1,9.981700156971502
Comprehensiveness of Information,1,3,9.838171945344516
Comprehensiveness of Information,1,0,9.991552766044713
Comprehensiveness of Information,1,7,6.599418597437282
Comprehensiveness of Information,1,5,9.97775630321755
Comprehensiveness of Information,1,2,9.997760565701777
Comprehensiveness of Information,1,6,2.92461399570835
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,8,7.474908160785178
