Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,6,10.0
Accuracy and Completeness of Citations,1,9,8.905253603413328
Accuracy and Completeness of Citations,1,1,9.307486883391059
Accuracy and Completeness of Citations,1,2,4.2032389479459304
Accuracy and Completeness of Citations,1,3,9.258884259757199
Accuracy and Completeness of Citations,1,0,0.0
Accuracy and Completeness of Citations,1,7,8.739747467984959
Accuracy and Completeness of Citations,1,4,0.3852475968176233
Accuracy and Completeness of Citations,1,10,0.0419805969686942
Accuracy and Completeness of Citations,1,8,9.107729661728854
Accuracy and Completeness of Citations,1,5,0.68931414430549
Accuracy of Information,1,6,9.570736152914423
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,7.988583792660249
Accuracy of Information,1,2,8.486540481413002
Accuracy of Information,1,3,6.925181154926857
Accuracy of Information,1,0,0.0
Accuracy of Information,1,7,6.255914404886479
Accuracy of Information,1,4,4.280856907250708
Accuracy of Information,1,10,0.19510106969020766
Accuracy of Information,1,8,5.872491087272758
Accuracy of Information,1,5,2.836326166990893
Appropriateness of Professional Terminology Use,1,6,10.0
Appropriateness of Professional Terminology Use,1,9,9.201998818683935
Appropriateness of Professional Terminology Use,1,1,8.972980723031867
Appropriateness of Professional Terminology Use,1,2,5.426552572896665
Appropriateness of Professional Terminology Use,1,3,5.458563927447527
Appropriateness of Professional Terminology Use,1,0,0.0
Appropriateness of Professional Terminology Use,1,7,7.326326265758994
Appropriateness of Professional Terminology Use,1,4,2.740766953325458
Appropriateness of Professional Terminology Use,1,10,0.12173766956310944
Appropriateness of Professional Terminology Use,1,8,2.644224252721705
Appropriateness of Professional Terminology Use,1,5,2.9864786282627143
Avoidance of Plagiarism and Appropriate Citation,1,6,10.0
Avoidance of Plagiarism and Appropriate Citation,1,9,9.174203690451874
Avoidance of Plagiarism and Appropriate Citation,1,1,8.030057850750882
Avoidance of Plagiarism and Appropriate Citation,1,2,4.109216280621619
Avoidance of Plagiarism and Appropriate Citation,1,3,3.8599414366226923
Avoidance of Plagiarism and Appropriate Citation,1,0,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,5.5679207089383915
Avoidance of Plagiarism and Appropriate Citation,1,4,0.6125265036440916
Avoidance of Plagiarism and Appropriate Citation,1,10,0.3334866500194946
Avoidance of Plagiarism and Appropriate Citation,1,8,2.6613338141808756
Avoidance of Plagiarism and Appropriate Citation,1,5,1.2420273547230603
Clarity of Logical Structure,1,6,9.409403899856585
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,1,7.958184533161686
Clarity of Logical Structure,1,2,3.7119212016405516
Clarity of Logical Structure,1,3,2.9910686245322644
Clarity of Logical Structure,1,0,0.0
Clarity of Logical Structure,1,7,2.247738977266742
Clarity of Logical Structure,1,4,1.9961271005966417
Clarity of Logical Structure,1,10,0.11965069011405628
Clarity of Logical Structure,1,8,2.074351639602664
Clarity of Logical Structure,1,5,1.6512337679253835
Clarity of Research Method Description,1,6,10.0
Clarity of Research Method Description,1,9,9.180483461977621
Clarity of Research Method Description,1,1,7.21597276986667
Clarity of Research Method Description,1,2,3.196684434793658
Clarity of Research Method Description,1,3,4.109522566595117
Clarity of Research Method Description,1,0,0.0
Clarity of Research Method Description,1,7,5.129908148634872
Clarity of Research Method Description,1,4,1.6348181122409093
Clarity of Research Method Description,1,10,0.3543950012281463
Clarity of Research Method Description,1,8,3.4918809047378696
Clarity of Research Method Description,1,5,1.8110533690637078
Comprehensiveness of Information,1,6,10.0
Comprehensiveness of Information,1,9,9.46412014593527
Comprehensiveness of Information,1,1,8.01816790781676
Comprehensiveness of Information,1,2,7.767191352108288
Comprehensiveness of Information,1,3,5.44634865628166
Comprehensiveness of Information,1,0,0.22063808769846036
Comprehensiveness of Information,1,7,6.200719695112592
Comprehensiveness of Information,1,4,1.1373680652755163
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,8,5.784303283148415
Comprehensiveness of Information,1,5,6.968356739151165
Conciseness of Expression,1,6,10.0
Conciseness of Expression,1,9,8.683042871859383
Conciseness of Expression,1,1,8.777537352675424
Conciseness of Expression,1,2,3.9659503152687297
Conciseness of Expression,1,3,4.477840429414002
Conciseness of Expression,1,0,0.0
Conciseness of Expression,1,7,5.576451326836669
Conciseness of Expression,1,4,3.3768296775185247
Conciseness of Expression,1,10,0.15079981984424015
Conciseness of Expression,1,8,3.7349581092173967
