Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,4.606761286764522
Accuracy and Completeness of Citations,1,0,5.3476228601613665
Accuracy and Completeness of Citations,1,3,5.408930404842507
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,5,5.0747563503577835
Accuracy and Completeness of Citations,1,1,4.585530084408195
Accuracy and Completeness of Citations,1,4,5.172650156223041
Accuracy and Completeness of Citations,1,7,5.714543551107908
Accuracy and Completeness of Citations,1,6,6.736558802461054
Accuracy and Completeness of Citations,1,8,5.157078493425277
Accuracy and Completeness of Citations,1,10,0.0
Accuracy of Information,1,2,0.8288645970048311
Accuracy of Information,1,0,2.4792354957939344
Accuracy of Information,1,3,1.3509089231717113
Accuracy of Information,1,9,10.0
Accuracy of Information,1,5,1.418661145993951
Accuracy of Information,1,1,1.1589042751360699
Accuracy of Information,1,4,0.6804634653079947
Accuracy of Information,1,7,1.6221165497173964
Accuracy of Information,1,6,2.6952208887550286
Accuracy of Information,1,8,1.2707210828909823
Accuracy of Information,1,10,0.0
Appropriateness of Professional Terminology Use,1,2,0.6353160869543666
Appropriateness of Professional Terminology Use,1,0,4.170645337427527
Appropriateness of Professional Terminology Use,1,3,2.326785963048744
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,5,1.0783916401424554
Appropriateness of Professional Terminology Use,1,1,0.48895796184874585
Appropriateness of Professional Terminology Use,1,4,1.5355978339850624
Appropriateness of Professional Terminology Use,1,7,5.403458611847943
Appropriateness of Professional Terminology Use,1,6,7.748917549936235
Appropriateness of Professional Terminology Use,1,8,2.023689297044789
Appropriateness of Professional Terminology Use,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,1.5294667850479404
Avoidance of Plagiarism and Appropriate Citation,1,0,3.1565288053748484
Avoidance of Plagiarism and Appropriate Citation,1,3,2.2101253528681357
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,1.599862277980857
Avoidance of Plagiarism and Appropriate Citation,1,1,2.1210171099300226
Avoidance of Plagiarism and Appropriate Citation,1,4,1.5049282792742116
Avoidance of Plagiarism and Appropriate Citation,1,7,2.6852209268343326
Avoidance of Plagiarism and Appropriate Citation,1,6,2.92028311444979
Avoidance of Plagiarism and Appropriate Citation,1,8,2.235210558720427
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Clarity of Logical Structure,1,2,1.0902242570264475
Clarity of Logical Structure,1,0,4.270615017556313
Clarity of Logical Structure,1,3,1.52955470584879
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,5,0.995727172124709
Clarity of Logical Structure,1,1,0.6414707352040419
Clarity of Logical Structure,1,4,0.9317509255317659
Clarity of Logical Structure,1,7,5.071261623002157
Clarity of Logical Structure,1,6,6.228441239442474
Clarity of Logical Structure,1,8,1.9440650815836862
Clarity of Logical Structure,1,10,0.0
Clarity of Research Method Description,1,2,1.143552051442419
Clarity of Research Method Description,1,0,5.1632134794153135
Clarity of Research Method Description,1,3,1.6655550223779707
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,5,1.0541751627683291
Clarity of Research Method Description,1,1,0.7043825176315117
Clarity of Research Method Description,1,4,1.059546674995182
Clarity of Research Method Description,1,7,5.910074316377269
Clarity of Research Method Description,1,6,7.2392734864857795
Clarity of Research Method Description,1,8,2.5533916336832974
Clarity of Research Method Description,1,10,0.0
Comprehensiveness of Information,1,2,1.1010146103604177
Comprehensiveness of Information,1,0,5.888231369860871
Comprehensiveness of Information,1,3,1.8523228406560552
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,5,1.173498347620699
Comprehensiveness of Information,1,1,0.9437738140153225
Comprehensiveness of Information,1,4,1.553675087570171
Comprehensiveness of Information,1,7,5.849964713856274
Comprehensiveness of Information,1,6,6.982815099821161
Comprehensiveness of Information,1,8,2.539671872363103
Comprehensiveness of Information,1,10,0.0
Conciseness of Expression,1,2,0.3068621194042103
Conciseness of Expression,1,0,4.710620424440716
Conciseness of Expression,1,3,0.8276789255754161
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,5,0.40853426462034864
Conciseness of Expression,1,1,0.13623700157653437
Conciseness of Expression,1,4,0.4643886350609092
Conciseness of Expression,1,7,6.080399113339732
Conciseness of Expression,1,6,8.074582187305635
Conciseness of Expression,1,8,1.5900110111130208
Conciseness of Expression,1,10,0.0
Critical Analysis of Existing Research,1,2,1.0738924185393866
Critical Analysis of Existing Research,1,0,5.903889391043111
Critical Analysis of Existing Research,1,3,1.9515910397257168
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,5,1.1054193450602747
Critical Analysis of Existing Research,1,1,1.0358249610977055
Critical Analysis of Existing Research,1,4,1.4122802340925467
Critical Analysis of Existing Research,1,7,5.7954093558453765
Critical Analysis of Existing Research,1,6,7.21044593133442
Critical Analysis of Existing Research,1,8,2.4353445432040264
Critical Analysis of Existing Research,1,10,0.0
Feasibility of Proposed Suggestions,1,2,0.8951653211687229
Feasibility of Proposed Suggestions,1,0,7.251268449559524
Feasibility of Proposed Suggestions,1,3,2.0913964300605405
Feasibility of Proposed Suggestions,1,9,10.0
Feasibility of Proposed Suggestions,1,5,1.0065788461246419
Feasibility of Proposed Suggestions,1,1,0.7773769661361135
Feasibility of Proposed Suggestions,1,4,1.2311185481459126
Feasibility of Proposed Suggestions,1,7,7.666030261983913
Feasibility of Proposed Suggestions,1,6,8.94560309836899
Feasibility of Proposed Suggestions,1,8,3.1543659789422778
Feasibility of Proposed Suggestions,1,10,0.0
Fluency of Language Expression,1,2,0.5001300290795476
Fluency of Language Expression,1,0,4.9492630302750475
Fluency of Language Expression,1,3,1.046870566340317
Fluency of Language Expression,1,9,10.0
Fluency of Language Expression,1,5,0.5251287749100486
Fluency of Language Expression,1,1,0.23262147544498907
Fluency of Language Expression,1,4,0.6408670272675486
