Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.922513661510264
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,3,9.703842292978491
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,1,9.893917495953184
Accuracy and Completeness of Citations,1,5,9.842924255454234
Accuracy and Completeness of Citations,1,0,9.934047140535194
Accuracy and Completeness of Citations,1,2,9.84851031444323
Accuracy and Completeness of Citations,1,7,9.937386148791209
Accuracy and Completeness of Citations,1,8,9.3643354807278
Accuracy and Completeness of Citations,1,6,9.783783682375605
Accuracy of Information,1,4,8.38690948153566
Accuracy of Information,1,10,0.0
Accuracy of Information,1,3,8.317581138950908
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,8.937341838104565
Accuracy of Information,1,5,6.93667989799584
Accuracy of Information,1,0,9.04005106092871
Accuracy of Information,1,2,9.19669857761993
Accuracy of Information,1,7,9.411469407953609
Accuracy of Information,1,8,1.4058826220605323
Accuracy of Information,1,6,3.990838241828956
Appropriateness of Professional Terminology Use,1,4,5.925406221417066
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,3,4.503740736702795
Appropriateness of Professional Terminology Use,1,9,8.660201716844172
Appropriateness of Professional Terminology Use,1,1,6.742231592171008
Appropriateness of Professional Terminology Use,1,5,5.011936991312005
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,2,9.257941840938628
Appropriateness of Professional Terminology Use,1,7,9.536721648425386
Appropriateness of Professional Terminology Use,1,8,0.35207126578523784
Appropriateness of Professional Terminology Use,1,6,0.7693777711858649
Avoidance of Plagiarism and Appropriate Citation,1,4,9.956933052831387
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.644460444213827
Avoidance of Plagiarism and Appropriate Citation,1,9,9.983325222317744
Avoidance of Plagiarism and Appropriate Citation,1,1,9.935721007178111
Avoidance of Plagiarism and Appropriate Citation,1,5,9.879654137121392
Avoidance of Plagiarism and Appropriate Citation,1,0,9.971459746411035
Avoidance of Plagiarism and Appropriate Citation,1,2,9.93260099317406
Avoidance of Plagiarism and Appropriate Citation,1,7,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,8.752267664052965
Avoidance of Plagiarism and Appropriate Citation,1,6,9.766272414674148
Clarity of Logical Structure,1,4,8.710944683316075
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,3,8.474858340382207
Clarity of Logical Structure,1,9,7.720444733990858
Clarity of Logical Structure,1,1,9.171640501002061
Clarity of Logical Structure,1,5,8.904637873444086
Clarity of Logical Structure,1,0,10.0
Clarity of Logical Structure,1,2,9.796997090956216
Clarity of Logical Structure,1,7,9.938527875088608
Clarity of Logical Structure,1,8,1.4996801358536758
Clarity of Logical Structure,1,6,4.79020486083304
Clarity of Research Method Description,1,4,9.443598819120067
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,3,8.680792242462745
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,1,9.274273019345586
Clarity of Research Method Description,1,5,8.874964330692713
Clarity of Research Method Description,1,0,9.990064511427072
Clarity of Research Method Description,1,2,9.759750943081544
Clarity of Research Method Description,1,7,9.885766975718292
Clarity of Research Method Description,1,8,4.270269863750006
Clarity of Research Method Description,1,6,6.710543326518185
Comprehensiveness of Information,1,4,7.911527755613984
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,3,7.291788435279953
Comprehensiveness of Information,1,9,9.013549933572168
Comprehensiveness of Information,1,1,8.579667340260121
Comprehensiveness of Information,1,5,7.443725747357446
Comprehensiveness of Information,1,0,10.0
Comprehensiveness of Information,1,2,9.720738982832136
Comprehensiveness of Information,1,7,9.775536462228226
Comprehensiveness of Information,1,8,0.8545413540189124
Comprehensiveness of Information,1,6,2.773032804870874
Conciseness of Expression,1,4,6.4260987215225756
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,3,5.196604730605289
Conciseness of Expression,1,9,3.6980295449395673
Conciseness of Expression,1,1,7.058993440422611
Conciseness of Expression,1,5,6.333711044562724
Conciseness of Expression,1,0,10.0
Conciseness of Expression,1,2,9.481300627865863
Conciseness of Expression,1,7,9.682775093224969
Conciseness of Expression,1,8,0.4345217338261013
Conciseness of Expression,1,6,0.8149693048310169
Critical Analysis of Existing Research,1,4,9.321527778230061
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,3,8.5735162079597
Critical Analysis of Existing Research,1,9,8.258139846559304
Critical Analysis of Existing Research,1,1,9.148544982538313
Critical Analysis of Existing Research,1,5,9.02017531610577
Critical Analysis of Existing Research,1,0,10.0
Critical Analysis of Existing Research,1,2,9.68628408847708
Critical Analysis of Existing Research,1,7,9.794906156114662
Critical Analysis of Existing Research,1,8,2.7991816924374935
Critical Analysis of Existing Research,1,6,4.985598459499394
Feasibility of Proposed Suggestions,1,4,9.459890202188939
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,3,8.634652362504317
Feasibility of Proposed Suggestions,1,9,7.640240210184214
Feasibility of Proposed Suggestions,1,1,9.360742635044538
Feasibility of Proposed Suggestions,1,5,9.161028266920207
Feasibility of Proposed Suggestions,1,0,10.0
Feasibility of Proposed Suggestions,1,2,9.777533304264018
Feasibility of Proposed Suggestions,1,7,9.829002923331007
Feasibility of Proposed Suggestions,1,8,4.449271966004384
Feasibility of Proposed Suggestions,1,6,6.810711881838676
Fluency of Language Expression,1,4,6.581511372277877
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,3,5.349597731411323
Fluency of Language Expression,1,9,2.949278076269298
Fluency of Language Expression,1,1,7.110663893301861
Fluency of Language Expression,1,5,6.3012739146187196
Fluency of Language Expression,1,0,10.0
Fluency of Language Expression,1,2,9.59306482095211
Fluency of Language Expression,1,7,9.827021365570179
Fluency of Language Expression,1,8,0.43437467200822194
Fluency of Language Expression,1,6,0.8118437687102251
Identification and Discussion of Research Limitations,1,4,9.202169293071
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,3,8.280383245978781
Identification and Discussion of Research Limitations,1,9,8.231037216561973
Identification and Discussion of Research Limitations,1,1,9.284194632571106
Identification and Discussion of Research Limitations,1,5,8.941516406873003
Identification and Discussion of Research Limitations,1,0,10.0
Identification and Discussion of Research Limitations,1,2,9.728080749809022
Identification and Discussion of Research Limitations,1,7,9.831121393873948
Identification and Discussion of Research Limitations,1,8,3.0928744348136497
Identification and Discussion of Research Limitations,1,6,5.6197257723045535
Inclusion of Latest Research Results,1,4,9.52604116088858
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,3,8.393838574254444
Inclusion of Latest Research Results,1,9,9.447465686742593
Inclusion of Latest Research Results,1,1,9.475171575079878
Inclusion of Latest Research Results,1,5,8.98436553278906
Inclusion of Latest Research Results,1,0,10.0
Inclusion of Latest Research Results,1,2,9.855980702682153
Inclusion of Latest Research Results,1,7,9.879912312564672
Inclusion of Latest Research Results,1,8,4.812134392465219
Inclusion of Latest Research Results,1,6,7.085686810684627
Innovativeness of Viewpoints,1,4,9.008421293201975
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,3,8.19389876878708
Innovativeness of Viewpoints,1,9,7.8398834785212195
Innovativeness of Viewpoints,1,1,8.99911719490291
Innovativeness of Viewpoints,1,5,8.806910056331638
Innovativeness of Viewpoints,1,0,10.0
Innovativeness of Viewpoints,1,2,9.651864261000224
Innovativeness of Viewpoints,1,7,9.770715780072118
Innovativeness of Viewpoints,1,8,2.069580085481968
Innovativeness of Viewpoints,1,6,3.778281184373937
Integration of Interdisciplinary Perspectives,1,4,9.014679555010861
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,3,7.914729438989074
Integration of Interdisciplinary Perspectives,1,9,8.044908582651805
Integration of Interdisciplinary Perspectives,1,1,9.296451779928528
Integration of Interdisciplinary Perspectives,1,5,8.211141633956728
Integration of Interdisciplinary Perspectives,1,0,10.0
Integration of Interdisciplinary Perspectives,1,2,9.886273344110283
Integration of Interdisciplinary Perspectives,1,7,9.85372288375688
Integration of Interdisciplinary Perspectives,1,8,0.8090386968460747
Integration of Interdisciplinary Perspectives,1,6,2.670076467769747
Logic of Argumentation,1,4,8.848074532578563
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,3,8.348145978918398
Logic of Argumentation,1,9,7.945143797808372
Logic of Argumentation,1,1,8.989515103452007
Logic of Argumentation,1,5,8.622287047109854
Logic of Argumentation,1,0,10.0
Logic of Argumentation,1,2,9.752976628639386
Logic of Argumentation,1,7,9.879103823243806
Logic of Argumentation,1,8,1.7023240890890878
Logic of Argumentation,1,6,4.064331611422011
Multi-angle Analysis of Problems,1,4,8.877273728850383
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,3,7.996130209396092
Multi-angle Analysis of Problems,1,9,7.905890284245076
Multi-angle Analysis of Problems,1,1,9.07965822008253
Multi-angle Analysis of Problems,1,5,8.612002455530929
Multi-angle Analysis of Problems,1,0,10.0
Multi-angle Analysis of Problems,1,2,9.734348147332332
Multi-angle Analysis of Problems,1,7,9.796431033580182
Multi-angle Analysis of Problems,1,8,1.8949342635840987
Multi-angle Analysis of Problems,1,6,4.2510176698326685
Potential Contribution to the Field,1,4,9.386484723365214
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,3,8.546270720013151
Potential Contribution to the Field,1,9,8.365655048232627
Potential Contribution to the Field,1,1,9.220704859717879
Potential Contribution to the Field,1,5,9.042442564190553
Potential Contribution to the Field,1,0,10.0
Potential Contribution to the Field,1,2,9.710313438932369
Potential Contribution to the Field,1,7,9.81988509443846
Potential Contribution to the Field,1,8,3.2577306757625957
Potential Contribution to the Field,1,6,5.184095389408753
Practical Application Potential of Research Results,1,4,9.336585066748093
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,3,8.383288696010794
Practical Application Potential of Research Results,1,9,7.843157636271489
Practical Application Potential of Research Results,1,1,9.309525255015977
Practical Application Potential of Research Results,1,5,9.058839273799075
Practical Application Potential of Research Results,1,0,10.0
Practical Application Potential of Research Results,1,2,9.781699230673771
Practical Application Potential of Research Results,1,7,9.827677471632345
Practical Application Potential of Research Results,1,8,3.4289729080028244
Practical Application Potential of Research Results,1,6,5.7471146280311585
Proposal of New Research Directions or Questions,1,4,9.655594068557521
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,3,9.033137937812873
Proposal of New Research Directions or Questions,1,9,8.130712411566929
Proposal of New Research Directions or Questions,1,1,9.553772060469562
Proposal of New Research Directions or Questions,1,5,9.479661967449362
Proposal of New Research Directions or Questions,1,0,10.0
Proposal of New Research Directions or Questions,1,2,9.7879152407906
Proposal of New Research Directions or Questions,1,7,9.871846909339489
Proposal of New Research Directions or Questions,1,8,5.483095618433903
Proposal of New Research Directions or Questions,1,6,7.803051334655708
Quality of Introduction and Conclusion,1,4,8.67777058407753
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,3,8.166292231677737
Quality of Introduction and Conclusion,1,9,5.688055055133079
Quality of Introduction and Conclusion,1,1,8.916576560458424
Quality of Introduction and Conclusion,1,5,8.776460888442246
Quality of Introduction and Conclusion,1,0,10.0
Quality of Introduction and Conclusion,1,2,9.755708103178348
Quality of Introduction and Conclusion,1,7,9.90495501208869
Quality of Introduction and Conclusion,1,8,1.4509878909686518
Quality of Introduction and Conclusion,1,6,4.437885572550197
Rationality of Method Selection,1,4,9.528520001831033
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,3,8.730202157243037
Rationality of Method Selection,1,9,9.992966835590417
Rationality of Method Selection,1,1,9.40417373679531
Rationality of Method Selection,1,5,9.183573097175158
Rationality of Method Selection,1,0,10.0
Rationality of Method Selection,1,2,9.824311130039884
Rationality of Method Selection,1,7,9.929340380937173
Rationality of Method Selection,1,8,4.772303620078225
Rationality of Method Selection,1,6,6.844772813451557
Reasonableness of Chapter Arrangement,1,4,8.848993113522166
Reasonableness of Chapter Arrangement,1,10,0.0
Reasonableness of Chapter Arrangement,1,3,8.361742682435649
Reasonableness of Chapter Arrangement,1,9,8.203913936402044
Reasonableness of Chapter Arrangement,1,1,9.306214671749904
Reasonableness of Chapter Arrangement,1,5,8.554181423435635
Reasonableness of Chapter Arrangement,1,0,10.0
Reasonableness of Chapter Arrangement,1,2,9.80943484790257
Reasonableness of Chapter Arrangement,1,7,9.896511920959115
Reasonableness of Chapter Arrangement,1,8,1.462493731351271
Reasonableness of Chapter Arrangement,1,6,4.299213789586495
Reflection of Current Research Hotspots,1,4,9.047908070632653
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,3,7.698085781326912
Reflection of Current Research Hotspots,1,9,8.701327016539873
Reflection of Current Research Hotspots,1,1,9.070897922190365
Reflection of Current Research Hotspots,1,5,8.295580970215598
Reflection of Current Research Hotspots,1,0,10.0
Reflection of Current Research Hotspots,1,2,9.816669299211869
Reflection of Current Research Hotspots,1,7,9.804967764171934
Reflection of Current Research Hotspots,1,8,2.494127631986418
Reflection of Current Research Hotspots,1,6,4.786138495164648
Rigor of Research Design,1,4,9.42673553526667
Rigor of Research Design,1,10,0.0
Rigor of Research Design,1,3,8.533242919281417
Rigor of Research Design,1,9,10.0
Rigor of Research Design,1,1,9.312427382129515
Rigor of Research Design,1,5,8.907637784062482
Rigor of Research Design,1,0,9.993834306176206
Rigor of Research Design,1,2,9.808766143322458
Rigor of Research Design,1,7,9.91601179227141
Rigor of Research Design,1,8,3.876581510550351
Rigor of Research Design,1,6,6.094020517845297
Timeliness and Relevance of References,1,4,9.51422902250488
Timeliness and Relevance of References,1,10,0.0
Timeliness and Relevance of References,1,3,8.377292217740957
Timeliness and Relevance of References,1,9,9.423553309264598
Timeliness and Relevance of References,1,1,9.461778561289654
Timeliness and Relevance of References,1,5,8.983391433308498
Timeliness and Relevance of References,1,0,10.0
Timeliness and Relevance of References,1,2,9.856105432497174
Timeliness and Relevance of References,1,7,9.883552428837334
Timeliness and Relevance of References,1,8,4.90457506583227
Timeliness and Relevance of References,1,6,7.004279032199338
Topic Relevance,1,4,9.518295552126943
Topic Relevance,1,10,0.0
Topic Relevance,1,3,8.939719999241731
Topic Relevance,1,9,9.387167558359733
Topic Relevance,1,1,9.793408168798667
Topic Relevance,1,5,9.237649218508398
Topic Relevance,1,0,9.973908951132056
Topic Relevance,1,2,10.0
Topic Relevance,1,7,9.97188154233936
Topic Relevance,1,8,2.6498235728921196
Topic Relevance,1,6,7.305344401755768
