Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,7.715812386255956
Accuracy and Completeness of Citations,1,2,7.135706267828543
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,8.465083493999492
Accuracy and Completeness of Citations,1,0,7.487627774707474
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,4,7.393561580472667
Accuracy and Completeness of Citations,1,3,7.708335141419035
Accuracy and Completeness of Citations,1,1,6.408621621530873
Accuracy and Completeness of Citations,1,6,6.777683939155415
Accuracy and Completeness of Citations,1,8,7.9004126454621675
Accuracy of Information,1,5,4.160362931851769
Accuracy of Information,1,2,4.989097862449773
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,4.972938510659915
Accuracy of Information,1,0,4.354217605511865
Accuracy of Information,1,9,10.0
Accuracy of Information,1,4,4.166962880745392
Accuracy of Information,1,3,4.487285256152482
Accuracy of Information,1,1,3.990052539578206
Accuracy of Information,1,6,3.8287963386980586
Accuracy of Information,1,8,4.932764550456686
Appropriateness of Professional Terminology Use,1,5,7.864174693082261
Appropriateness of Professional Terminology Use,1,2,2.084341771418022
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,7.950909697528672
Appropriateness of Professional Terminology Use,1,0,2.032200463668717
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,4,0.808628802497892
Appropriateness of Professional Terminology Use,1,3,4.186668437579651
Appropriateness of Professional Terminology Use,1,1,0.16048531491693882
Appropriateness of Professional Terminology Use,1,6,0.4449449505132374
Appropriateness of Professional Terminology Use,1,8,8.834530874602057
Avoidance of Plagiarism and Appropriate Citation,1,5,6.620168464505582
Avoidance of Plagiarism and Appropriate Citation,1,2,6.197570078209609
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,7.379077929787461
Avoidance of Plagiarism and Appropriate Citation,1,0,6.799921204545846
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,4,6.057886438116604
Avoidance of Plagiarism and Appropriate Citation,1,3,6.796326235549505
Avoidance of Plagiarism and Appropriate Citation,1,1,5.965135147247524
Avoidance of Plagiarism and Appropriate Citation,1,6,5.497352342367599
Avoidance of Plagiarism and Appropriate Citation,1,8,7.248623453165782
Clarity of Logical Structure,1,5,5.289780576657517
Clarity of Logical Structure,1,2,1.94980729185557
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,7,5.21495065994927
Clarity of Logical Structure,1,0,1.6011194093778258
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,4,0.7059916592828906
Clarity of Logical Structure,1,3,2.8536949745450335
Clarity of Logical Structure,1,1,0.2745722489273779
Clarity of Logical Structure,1,6,0.5416627289354938
Clarity of Logical Structure,1,8,5.455643965452814
Clarity of Research Method Description,1,5,7.3274996189261525
Clarity of Research Method Description,1,2,2.61117216721244
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,7.156677782462816
Clarity of Research Method Description,1,0,2.985742942013545
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,4,1.4896168429765124
Clarity of Research Method Description,1,3,4.518449743777603
Clarity of Research Method Description,1,1,0.6667083580720021
Clarity of Research Method Description,1,6,1.4094445932610604
Clarity of Research Method Description,1,8,7.840757036739154
Comprehensiveness of Information,1,5,5.978951890950366
Comprehensiveness of Information,1,2,1.7595144072132498
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,7,5.490004702466418
Comprehensiveness of Information,1,0,2.0351647456830557
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,4,0.8595463811654794
Comprehensiveness of Information,1,3,3.386558389560532
Comprehensiveness of Information,1,1,0.27126159694757973
Comprehensiveness of Information,1,6,0.4519669269293466
Comprehensiveness of Information,1,8,7.538553638784296
Conciseness of Expression,1,5,8.76683749817006
Conciseness of Expression,1,2,3.1013046521990004
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,7,8.93795503533465
Conciseness of Expression,1,0,2.304428219991182
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,4,0.7577505596206859
Conciseness of Expression,1,3,6.4328775388194686
Conciseness of Expression,1,1,0.20747091747630209
Conciseness of Expression,1,6,0.32588388435811033
