Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.6900531816462979,[0.6  0.78],73.64341085271317
Comprehensiveness of Information,0.8737552917934884,[0.82 0.92],81.81818181818183
Accuracy of Information,0.6174077920264791,[0.52 0.72],76.22950819672131
Innovativeness of Viewpoints,0.8164609621694381,[0.75 0.88],77.57575757575758
Integration of Interdisciplinary Perspectives,0.8382491322413456,[0.78 0.89],78.18181818181819
Clarity of Logical Structure,0.8121771369955469,[0.74 0.87],78.18181818181819
Reasonableness of Chapter Arrangement,0.8124231494384784,[0.74 0.87],76.72955974842768
Quality of Introduction and Conclusion,0.7504666591351699,[0.67 0.83],81.81818181818183
Accuracy and Completeness of Citations,0.6184163587323426,[0.52 0.72],74.46808510638297
Timeliness and Relevance of References,0.7027013373747046,[0.62 0.79],77.57575757575758
Avoidance of Plagiarism and Appropriate Citation,0.4112817159751226,[0.31 0.53],74.54545454545455
Critical Analysis of Existing Research,0.8085549996466528,[0.73 0.87],77.57575757575758
Proposal of New Research Directions or Questions,0.7876763085215314,[0.72 0.85],77.57575757575758
Potential Contribution to the Field,0.8046301035054267,[0.73 0.87],75.9493670886076
Clarity of Research Method Description,0.7227635828299254,[0.64 0.8 ],81.81818181818183
Rationality of Method Selection,0.7285952247889926,[0.64 0.81],81.81818181818183
Rigor of Research Design,0.7010382560882512,[0.61 0.79],81.81818181818183
Inclusion of Latest Research Results,0.7090372647893263,[0.62 0.79],77.57575757575758
Reflection of Current Research Hotspots,0.7490744780036196,[0.67 0.82],76.96969696969697
Fluency of Language Expression,0.7075101349174509,[0.62 0.79],78.18181818181819
Appropriateness of Professional Terminology Use,0.7095578888102013,[0.62 0.79],77.35849056603774
Conciseness of Expression,0.6743636659759163,[0.58 0.76],81.81818181818183
Practical Application Potential of Research Results,0.7885993214578363,[0.71 0.86],79.74683544303798
Feasibility of Proposed Suggestions,0.6618129954000652,[0.57 0.76],81.21212121212122
Logic of Argumentation,0.7631036321296789,[0.68 0.84],81.81818181818183
Multi-angle Analysis of Problems,0.7822793685856102,[0.71 0.85],78.18181818181819
Identification and Discussion of Research Limitations,0.67145840099671,[0.57 0.77],78.18181818181819
