Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,6,7.7176912520594145
Accuracy and Completeness of Citations,1,5,4.810478828947369
Accuracy and Completeness of Citations,1,8,5.21572908987938
Accuracy and Completeness of Citations,1,0,6.918347011308746
Accuracy and Completeness of Citations,1,2,4.871621748880464
Accuracy and Completeness of Citations,1,7,3.979624495999155
Accuracy and Completeness of Citations,1,1,4.895654605242067
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,7.137546095420393
Accuracy and Completeness of Citations,1,4,4.582578125374443
Accuracy of Information,1,10,0.0
Accuracy of Information,1,6,8.468463574125067
Accuracy of Information,1,5,0.26749421894149683
Accuracy of Information,1,8,0.2642068550711543
Accuracy of Information,1,0,3.2514706823889936
Accuracy of Information,1,2,1.405452220092173
Accuracy of Information,1,7,0.9438460691222386
Accuracy of Information,1,1,0.9421404617725598
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,1.8716746971401899
Accuracy of Information,1,4,0.20509714319105044
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,6,6.9984169534250915
Appropriateness of Professional Terminology Use,1,5,0.2860668406929707
Appropriateness of Professional Terminology Use,1,8,0.3948211437460411
Appropriateness of Professional Terminology Use,1,0,8.717616400600905
Appropriateness of Professional Terminology Use,1,2,0.6257595804881303
Appropriateness of Professional Terminology Use,1,7,0.9889341436801832
Appropriateness of Professional Terminology Use,1,1,0.6822741028922674
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,7.9394796752816275
Appropriateness of Professional Terminology Use,1,4,0.5574448307706443
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,6,4.322437301667877
Avoidance of Plagiarism and Appropriate Citation,1,5,0.6991048121888561
Avoidance of Plagiarism and Appropriate Citation,1,8,0.8389923087253499
Avoidance of Plagiarism and Appropriate Citation,1,0,4.288279358092756
Avoidance of Plagiarism and Appropriate Citation,1,2,2.491629563798597
Avoidance of Plagiarism and Appropriate Citation,1,7,2.2195730827434943
Avoidance of Plagiarism and Appropriate Citation,1,1,2.239178020944707
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,3.651274232776568
Avoidance of Plagiarism and Appropriate Citation,1,4,0.7913041546451306
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,6,4.973824704460902
