Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,3.119429505710524
Accuracy and Completeness of Citations,1,6,3.172582321120675
Accuracy and Completeness of Citations,1,5,4.825052061185577
Accuracy and Completeness of Citations,1,4,1.1835809480772537
Accuracy and Completeness of Citations,1,1,4.630079340190501
Accuracy and Completeness of Citations,1,0,2.5900122138953448
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,5.652449550930788
Accuracy and Completeness of Citations,1,8,5.449265468951533
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,3.7016701802898186
Accuracy of Information,1,2,0.0
Accuracy of Information,1,6,0.30218956875037223
Accuracy of Information,1,5,0.6621700117228054
Accuracy of Information,1,4,0.08542198173934665
Accuracy of Information,1,1,0.8613634181047173
Accuracy of Information,1,0,0.49178601205019473
Accuracy of Information,1,10,0.16633223603396888
Accuracy of Information,1,7,1.556185887173296
Accuracy of Information,1,8,1.5503196883624226
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,0.19413547146266333
Appropriateness of Professional Terminology Use,1,2,0.12129623874839605
Appropriateness of Professional Terminology Use,1,6,0.737446460273198
Appropriateness of Professional Terminology Use,1,5,6.017038558188731
Appropriateness of Professional Terminology Use,1,4,0.0
Appropriateness of Professional Terminology Use,1,1,2.102674521874409
Appropriateness of Professional Terminology Use,1,0,0.29665695725214136
Appropriateness of Professional Terminology Use,1,10,0.02390902152316109
Appropriateness of Professional Terminology Use,1,7,9.323869152600953
Appropriateness of Professional Terminology Use,1,8,6.718317021365313
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,0.7287553166801961
Avoidance of Plagiarism and Appropriate Citation,1,2,0.06518974673044324
Avoidance of Plagiarism and Appropriate Citation,1,6,0.1512637346128151
Avoidance of Plagiarism and Appropriate Citation,1,5,0.664901729115985
Avoidance of Plagiarism and Appropriate Citation,1,4,0.16197481119876694
Avoidance of Plagiarism and Appropriate Citation,1,1,0.9744311072552244
Avoidance of Plagiarism and Appropriate Citation,1,0,0.5989937429571264
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,3.0084993176711885
Avoidance of Plagiarism and Appropriate Citation,1,8,2.498227312084485
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,0.2920612789875976
Clarity of Logical Structure,1,2,0.08222673313927517
Clarity of Logical Structure,1,6,0.5227240161697286
Clarity of Logical Structure,1,5,3.766775957066777
Clarity of Logical Structure,1,4,0.0
Clarity of Logical Structure,1,1,1.1330098006100582
Clarity of Logical Structure,1,0,0.25108541681605345
Clarity of Logical Structure,1,10,0.03905532762572605
Clarity of Logical Structure,1,7,6.617343834023717
Clarity of Logical Structure,1,8,3.5786124151423566
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,3,0.40788099645774994
Clarity of Research Method Description,1,2,0.15474664528151916
Clarity of Research Method Description,1,6,0.5846506184923708
Clarity of Research Method Description,1,5,3.626140346531046
Clarity of Research Method Description,1,4,0.019229491205179774
Clarity of Research Method Description,1,1,1.165098258965153
Clarity of Research Method Description,1,0,0.33603349752480854
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,5.5837269764274815
Clarity of Research Method Description,1,8,3.6326364573425654
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,3,0.4379314542143678
Comprehensiveness of Information,1,2,0.15277680512838498
Comprehensiveness of Information,1,6,0.35535101951161463
Comprehensiveness of Information,1,5,3.2094434379935417
Comprehensiveness of Information,1,4,0.0
Comprehensiveness of Information,1,1,1.0695680268879448
Comprehensiveness of Information,1,0,0.4073064382867048
Comprehensiveness of Information,1,10,0.025247987267178994
Comprehensiveness of Information,1,7,5.357132018304013
Comprehensiveness of Information,1,8,2.783335781720129
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,3,0.6829821792626796
Conciseness of Expression,1,2,0.04853285438104881
Conciseness of Expression,1,6,1.066784018440422
Conciseness of Expression,1,5,8.157595840845604
Conciseness of Expression,1,4,0.0
Conciseness of Expression,1,1,2.8737299037014434
Conciseness of Expression,1,0,0.21385622583582567
Conciseness of Expression,1,10,0.041329843454553296
Conciseness of Expression,1,7,9.870163649540036
Conciseness of Expression,1,8,7.969460547301646
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,3,0.9430125679666548
Critical Analysis of Existing Research,1,2,1.0845806262010023
Critical Analysis of Existing Research,1,6,1.1023212429775096
Critical Analysis of Existing Research,1,5,6.098457272041097
Critical Analysis of Existing Research,1,4,0.16272269213848697
Critical Analysis of Existing Research,1,1,2.489654065569189
Critical Analysis of Existing Research,1,0,1.1122486703801047
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,7,8.736503362586191
Critical Analysis of Existing Research,1,8,5.237223236823684
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,3,2.8600739071226697
Feasibility of Proposed Suggestions,1,2,1.3810024484111025
Feasibility of Proposed Suggestions,1,6,1.3091087794053227
Feasibility of Proposed Suggestions,1,5,8.001671581305297
Feasibility of Proposed Suggestions,1,4,0.2473177704034925
Feasibility of Proposed Suggestions,1,1,3.9897110560022893
Feasibility of Proposed Suggestions,1,0,0.9875423236092666
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,7,9.513699727161594
Feasibility of Proposed Suggestions,1,8,7.485362103793773
Feasibility of Proposed Suggestions,1,9,10.0
Feasibility of Proposed Suggestions,1,3,3.02859355143018
Fluency of Language Expression,1,2,0.04211430482275304
Fluency of Language Expression,1,6,1.0539239548856458
Fluency of Language Expression,1,5,8.376845140767363
Fluency of Language Expression,1,4,0.0
Fluency of Language Expression,1,1,2.734670154260492
Fluency of Language Expression,1,0,0.24219898582184599
Fluency of Language Expression,1,10,0.0415823344509758
Fluency of Language Expression,1,7,9.952569155588725
Fluency of Language Expression,1,8,8.625369025207576
Fluency of Language Expression,1,9,10.0
Fluency of Language Expression,1,3,0.880456677844119
Identification and Discussion of Research Limitations,1,2,0.4812086596881476
Identification and Discussion of Research Limitations,1,6,0.6712726371677448
Identification and Discussion of Research Limitations,1,5,5.705292710907263
Identification and Discussion of Research Limitations,1,4,0.08092208600097693
Identification and Discussion of Research Limitations,1,1,1.3338719026622314
Identification and Discussion of Research Limitations,1,0,0.6717463242044586
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,7,8.171947343377145
Identification and Discussion of Research Limitations,1,8,4.796002195147424
Identification and Discussion of Research Limitations,1,9,10.0
Identification and Discussion of Research Limitations,1,3,1.4613855546103345
Inclusion of Latest Research Results,1,2,1.2316854402224804
Inclusion of Latest Research Results,1,6,1.0279925732754864
Inclusion of Latest Research Results,1,5,5.532341371385222
Inclusion of Latest Research Results,1,4,0.22557413503479365
Inclusion of Latest Research Results,1,1,2.1130318218001345
Inclusion of Latest Research Results,1,0,1.2105874126160643
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,7,7.641644974712082
Inclusion of Latest Research Results,1,8,4.867066598744035
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,3,2.0796704316470063
Innovativeness of Viewpoints,1,2,4.324779444046963
Innovativeness of Viewpoints,1,6,2.2439247499984516
Innovativeness of Viewpoints,1,5,8.687916691382378
Innovativeness of Viewpoints,1,4,0.6511568309149762
Innovativeness of Viewpoints,1,1,5.6043032771081425
Innovativeness of Viewpoints,1,0,2.1682983735467287
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,7,9.826510206588843
Innovativeness of Viewpoints,1,8,7.595303061032493
Innovativeness of Viewpoints,1,9,10.0
Innovativeness of Viewpoints,1,3,6.806009399178014
Integration of Interdisciplinary Perspectives,1,2,0.6478781512356667
Integration of Interdisciplinary Perspectives,1,6,0.505808003169289
Integration of Interdisciplinary Perspectives,1,5,5.425856525380652
Integration of Interdisciplinary Perspectives,1,4,0.04812532538253713
Integration of Interdisciplinary Perspectives,1,1,1.461600910116768
Integration of Interdisciplinary Perspectives,1,0,0.6080723046829617
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,7,7.935672775551623
Integration of Interdisciplinary Perspectives,1,8,3.4202958607163767
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,3,1.6675053519149736
Logic of Argumentation,1,2,0.21989829071415817
Logic of Argumentation,1,6,0.6027291196798898
Logic of Argumentation,1,5,6.065295449321403
Logic of Argumentation,1,4,0.02423492298571483
Logic of Argumentation,1,1,1.4080320901320125
Logic of Argumentation,1,0,0.4385997008278966
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,7,8.90132127176405
Logic of Argumentation,1,8,5.406701551815298
Logic of Argumentation,1,9,10.0
Logic of Argumentation,1,3,0.6491651839041955
Multi-angle Analysis of Problems,1,2,0.5959026404871517
Multi-angle Analysis of Problems,1,6,0.4461560116122969
Multi-angle Analysis of Problems,1,5,5.631219939026748
Multi-angle Analysis of Problems,1,4,0.05401524410673953
Multi-angle Analysis of Problems,1,1,0.987518964384953
Multi-angle Analysis of Problems,1,0,0.6378164144080694
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,7,8.123423278749225
Multi-angle Analysis of Problems,1,8,4.3501539572287635
Multi-angle Analysis of Problems,1,9,10.0
Multi-angle Analysis of Problems,1,3,1.5347468753853641
Potential Contribution to the Field,1,2,1.4704916621079844
Potential Contribution to the Field,1,6,1.175317581674955
Potential Contribution to the Field,1,5,6.457728044290712
Potential Contribution to the Field,1,4,0.1908096344982925
Potential Contribution to the Field,1,1,2.54340064343655
Potential Contribution to the Field,1,0,1.1297968150522106
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,7,8.818214874476912
Potential Contribution to the Field,1,8,5.545591611592515
Potential Contribution to the Field,1,9,10.0
Potential Contribution to the Field,1,3,3.4357354275536482
