Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,7,9.105827129427478
Accuracy and Completeness of Citations,1,8,9.274798376491802
Accuracy and Completeness of Citations,1,5,9.872413157074833
Accuracy and Completeness of Citations,1,1,9.397336661236025
Accuracy and Completeness of Citations,1,4,9.675815017902092
Accuracy and Completeness of Citations,1,0,9.65342286055411
Accuracy and Completeness of Citations,1,2,9.788779409782286
Accuracy and Completeness of Citations,1,6,9.026995186671884
Accuracy and Completeness of Citations,1,3,9.902182656404719
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,10.0
Accuracy of Information,1,7,6.568642833159033
Accuracy of Information,1,8,7.751196827845626
Accuracy of Information,1,5,9.186918751929367
Accuracy of Information,1,1,7.825741964444474
Accuracy of Information,1,4,8.093209844637252
Accuracy of Information,1,0,7.039458516778712
Accuracy of Information,1,2,7.809206391714396
Accuracy of Information,1,6,7.730266906279391
Accuracy of Information,1,3,8.786741713527844
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,7,1.1034165894774057
Appropriateness of Professional Terminology Use,1,8,3.271778885351853
Appropriateness of Professional Terminology Use,1,5,9.991916530116226
Appropriateness of Professional Terminology Use,1,1,3.9995557318080244
Appropriateness of Professional Terminology Use,1,4,2.496251583102063
Appropriateness of Professional Terminology Use,1,0,4.979163689123664
Appropriateness of Professional Terminology Use,1,2,5.976038492914999
Appropriateness of Professional Terminology Use,1,6,0.6603331732941601
Appropriateness of Professional Terminology Use,1,3,9.795227325675716
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.368873940028298
Avoidance of Plagiarism and Appropriate Citation,1,8,9.522771250659169
Avoidance of Plagiarism and Appropriate Citation,1,5,9.89982211845131
Avoidance of Plagiarism and Appropriate Citation,1,1,9.716044783593452
Avoidance of Plagiarism and Appropriate Citation,1,4,9.599686192359552
Avoidance of Plagiarism and Appropriate Citation,1,0,9.6684617206534
Avoidance of Plagiarism and Appropriate Citation,1,2,9.645014802210916
Avoidance of Plagiarism and Appropriate Citation,1,6,9.531662942376888
Avoidance of Plagiarism and Appropriate Citation,1,3,9.86755537520232
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,7,2.4134496141710935
Clarity of Logical Structure,1,8,5.966138826427472
Clarity of Logical Structure,1,5,9.967089764414037
Clarity of Logical Structure,1,1,5.288593285392506
Clarity of Logical Structure,1,4,4.044706369335051
Clarity of Logical Structure,1,0,6.893330525689836
Clarity of Logical Structure,1,2,6.979788938857343
Clarity of Logical Structure,1,6,2.2615052457382174
Clarity of Logical Structure,1,3,9.575455592699008
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,7,4.371918935008958
Clarity of Research Method Description,1,8,6.684584898004931
Clarity of Research Method Description,1,5,9.946521338182547
Clarity of Research Method Description,1,1,6.985844366755481
Clarity of Research Method Description,1,4,6.445361684024514
Clarity of Research Method Description,1,0,8.083189183493122
Clarity of Research Method Description,1,2,8.389869522834177
Clarity of Research Method Description,1,6,3.9604126584523907
Clarity of Research Method Description,1,3,9.758380895785715
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,7,2.0931043968911363
Comprehensiveness of Information,1,8,4.103672777685195
Comprehensiveness of Information,1,5,9.914007346037618
Comprehensiveness of Information,1,1,4.297560879670944
Comprehensiveness of Information,1,4,5.13185920538516
Comprehensiveness of Information,1,0,6.522761739702713
Comprehensiveness of Information,1,2,7.225886331377988
Comprehensiveness of Information,1,6,2.618376230145815
Comprehensiveness of Information,1,3,9.807447470169377
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,9,9.994949090409753
Conciseness of Expression,1,7,1.0052715763594064
Conciseness of Expression,1,8,4.277293609366142
Conciseness of Expression,1,5,10.0
Conciseness of Expression,1,1,3.4786962932298664
Conciseness of Expression,1,4,2.670991128963776
Conciseness of Expression,1,0,5.6682622883785365
Conciseness of Expression,1,2,6.6822063305238
Conciseness of Expression,1,6,0.8899615717758455
Conciseness of Expression,1,3,9.609118389047111
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,7,3.556412965042526
Critical Analysis of Existing Research,1,8,5.06741267670575
Critical Analysis of Existing Research,1,5,9.963273817052603
Critical Analysis of Existing Research,1,1,6.498240921338612
Critical Analysis of Existing Research,1,4,5.404181136968598
Critical Analysis of Existing Research,1,0,7.811711690897265
Critical Analysis of Existing Research,1,2,7.960432943217021
Critical Analysis of Existing Research,1,6,3.369024693058474
Critical Analysis of Existing Research,1,3,9.763323800058714
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,9,9.995214931304389
Feasibility of Proposed Suggestions,1,7,3.7278460532389093
Feasibility of Proposed Suggestions,1,8,6.059612386947654
