Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,0.8668762528630949
Accuracy and Completeness of Citations,1,8,3.476693269778573
Accuracy and Completeness of Citations,1,6,0.011689565073889652
Accuracy and Completeness of Citations,1,7,0.9081706412287512
Accuracy and Completeness of Citations,1,5,2.945374756481274
Accuracy and Completeness of Citations,1,3,0.01248832434578332
Accuracy and Completeness of Citations,1,1,3.663987078346865
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,2,0.09794942743661378
Accuracy and Completeness of Citations,1,0,1.7203518094736427
Accuracy of Information,1,4,0.12128662128931492
Accuracy of Information,1,8,1.5440156237379232
Accuracy of Information,1,6,0.0
Accuracy of Information,1,7,0.23624942360787868
Accuracy of Information,1,5,1.2339888949552111
Accuracy of Information,1,3,0.03888014261877218
Accuracy of Information,1,1,0.9939446519913658
Accuracy of Information,1,10,0.05491997557343759
Accuracy of Information,1,9,10.0
Accuracy of Information,1,2,0.08628502077636695
Accuracy of Information,1,0,0.36271751496133553
Appropriateness of Professional Terminology Use,1,4,0.3539947273993615
Appropriateness of Professional Terminology Use,1,8,8.858969076085124
Appropriateness of Professional Terminology Use,1,6,0.0
Appropriateness of Professional Terminology Use,1,7,0.402741210448313
Appropriateness of Professional Terminology Use,1,5,6.308619210157707
Appropriateness of Professional Terminology Use,1,3,0.04842911585477028
Appropriateness of Professional Terminology Use,1,1,7.703688435821093
Appropriateness of Professional Terminology Use,1,10,2.4072789939904116
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,2,0.045315032341078504
Appropriateness of Professional Terminology Use,1,0,0.9046608380661411
Avoidance of Plagiarism and Appropriate Citation,1,4,0.15383220508779452
Avoidance of Plagiarism and Appropriate Citation,1,8,3.170185753434594
Avoidance of Plagiarism and Appropriate Citation,1,6,0.041710840196598264
Avoidance of Plagiarism and Appropriate Citation,1,7,0.39005898663062577
Avoidance of Plagiarism and Appropriate Citation,1,5,1.9374761404533212
Avoidance of Plagiarism and Appropriate Citation,1,3,0.012533374442375471
Avoidance of Plagiarism and Appropriate Citation,1,1,2.341228219392673
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,2,0.08412153369751904
Avoidance of Plagiarism and Appropriate Citation,1,0,0.3686951565025982
Clarity of Logical Structure,1,4,0.5454240062645028
Clarity of Logical Structure,1,8,5.967499438172988
Clarity of Logical Structure,1,6,0.0
Clarity of Logical Structure,1,7,0.2401322214807742
Clarity of Logical Structure,1,5,4.2113161423657015
Clarity of Logical Structure,1,3,0.05212735189142438
Clarity of Logical Structure,1,1,5.21787833557653
Clarity of Logical Structure,1,10,2.65998593668339
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,2,0.11172605436559538
Clarity of Logical Structure,1,0,0.8337293898172807
Clarity of Research Method Description,1,4,0.5560313555814747
Clarity of Research Method Description,1,8,6.330318340218899
Clarity of Research Method Description,1,6,0.0
Clarity of Research Method Description,1,7,0.5715915058539405
Clarity of Research Method Description,1,5,5.3403841978400015
Clarity of Research Method Description,1,3,0.0706936055024408
Clarity of Research Method Description,1,1,5.798574934479499
Clarity of Research Method Description,1,10,1.6191153422572093
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,2,0.14252116682137
Clarity of Research Method Description,1,0,1.345114306106392
Comprehensiveness of Information,1,4,0.5960678079415673
Comprehensiveness of Information,1,8,7.56835628102999
Comprehensiveness of Information,1,6,0.0
Comprehensiveness of Information,1,7,1.088006524602475
Comprehensiveness of Information,1,5,5.196214720889737
Comprehensiveness of Information,1,3,0.11146427478317687
Comprehensiveness of Information,1,1,5.136314119614745
Comprehensiveness of Information,1,10,0.5869442578661048
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,2,0.15961640262358057
Comprehensiveness of Information,1,0,3.6510036012615927
Conciseness of Expression,1,4,0.4521286057451969
Conciseness of Expression,1,8,8.265367000965028
Conciseness of Expression,1,6,0.0
Conciseness of Expression,1,7,0.23321849896358424
Conciseness of Expression,1,5,5.414456079190867
Conciseness of Expression,1,3,0.026921836537916122
Conciseness of Expression,1,1,7.32692207353811
Conciseness of Expression,1,10,4.202024370156331
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,2,0.08125684097454178
Conciseness of Expression,1,0,0.6125002604466531
Critical Analysis of Existing Research,1,4,0.9539598981448487
Critical Analysis of Existing Research,1,8,8.237922020674748
Critical Analysis of Existing Research,1,6,0.0
Critical Analysis of Existing Research,1,7,0.5912823288036928
Critical Analysis of Existing Research,1,5,6.515536045058018
Critical Analysis of Existing Research,1,3,0.24489255381648722
Critical Analysis of Existing Research,1,1,7.424565163320101
Critical Analysis of Existing Research,1,10,0.47560708409219804
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,2,0.2879452066698784
Critical Analysis of Existing Research,1,0,3.965021456909304
Feasibility of Proposed Suggestions,1,4,0.6835904851547832
Feasibility of Proposed Suggestions,1,8,8.504144826059093
Feasibility of Proposed Suggestions,1,6,0.0
Feasibility of Proposed Suggestions,1,7,0.41926108969402365
Feasibility of Proposed Suggestions,1,5,5.966607069660836
Feasibility of Proposed Suggestions,1,3,0.04561327840453966
Feasibility of Proposed Suggestions,1,1,6.567059870112577
Feasibility of Proposed Suggestions,1,10,0.4670396611507308
Feasibility of Proposed Suggestions,1,9,10.0
Feasibility of Proposed Suggestions,1,2,0.27876075348870505
Feasibility of Proposed Suggestions,1,0,2.899979594786976
Fluency of Language Expression,1,4,0.2985071946839785
Fluency of Language Expression,1,8,8.401254924000003
Fluency of Language Expression,1,6,0.0
Fluency of Language Expression,1,7,0.12804836454850413
Fluency of Language Expression,1,5,5.3516333274020464
Fluency of Language Expression,1,3,0.015448588966211298
Fluency of Language Expression,1,1,6.991986985434003
Fluency of Language Expression,1,10,4.851689642665177
Fluency of Language Expression,1,9,10.0
Fluency of Language Expression,1,2,0.04798017738156493
Fluency of Language Expression,1,0,0.45270258345441283
Identification and Discussion of Research Limitations,1,4,0.7902149632268788
Identification and Discussion of Research Limitations,1,8,8.368846049133438
Identification and Discussion of Research Limitations,1,6,0.0
Identification and Discussion of Research Limitations,1,7,0.6624667784136407
Identification and Discussion of Research Limitations,1,5,6.3433248113401515
Identification and Discussion of Research Limitations,1,3,0.1296297851183139
Identification and Discussion of Research Limitations,1,1,6.543385292514028
Identification and Discussion of Research Limitations,1,10,1.1142902827184369
Identification and Discussion of Research Limitations,1,9,10.0
Identification and Discussion of Research Limitations,1,2,0.21589527390093602
Identification and Discussion of Research Limitations,1,0,3.1877203026251495
Inclusion of Latest Research Results,1,4,0.3712591823831601
Inclusion of Latest Research Results,1,8,7.332050282108607
Inclusion of Latest Research Results,1,6,0.0
Inclusion of Latest Research Results,1,7,0.604059007731014
Inclusion of Latest Research Results,1,5,4.56175919451336
Inclusion of Latest Research Results,1,3,0.05065895243868665
Inclusion of Latest Research Results,1,1,4.394470410031392
Inclusion of Latest Research Results,1,10,0.15929004803830568
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,2,0.16152134561804402
Inclusion of Latest Research Results,1,0,1.9174658741866812
Innovativeness of Viewpoints,1,4,1.5721867405350076
Innovativeness of Viewpoints,1,8,9.55362936722266
Innovativeness of Viewpoints,1,6,0.0
Innovativeness of Viewpoints,1,7,0.30545464977884973
Innovativeness of Viewpoints,1,5,8.130529028558449
Innovativeness of Viewpoints,1,3,0.11088875987640018
Innovativeness of Viewpoints,1,1,9.288405828533818
Innovativeness of Viewpoints,1,10,0.06281389566771892
Innovativeness of Viewpoints,1,9,10.0
Innovativeness of Viewpoints,1,2,0.23275430706917838
Innovativeness of Viewpoints,1,0,4.829631585181438
Integration of Interdisciplinary Perspectives,1,4,0.8379124737083102
Integration of Interdisciplinary Perspectives,1,8,8.667839467670388
Integration of Interdisciplinary Perspectives,1,6,0.0
Integration of Interdisciplinary Perspectives,1,7,1.5275899742506447
Integration of Interdisciplinary Perspectives,1,5,5.715352097903914
Integration of Interdisciplinary Perspectives,1,3,0.09646343762058676
Integration of Interdisciplinary Perspectives,1,1,5.96290227474253
Integration of Interdisciplinary Perspectives,1,10,0.6432284302581316
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,2,0.15726014834385138
Integration of Interdisciplinary Perspectives,1,0,4.397545710191581
Logic of Argumentation,1,4,0.7076656217189453
Logic of Argumentation,1,8,7.408692283702253
Logic of Argumentation,1,6,0.0
Logic of Argumentation,1,7,0.32666310822505745
Logic of Argumentation,1,5,6.004352114207156
Logic of Argumentation,1,3,0.03925605397270306
Logic of Argumentation,1,1,6.9912720060928555
Logic of Argumentation,1,10,1.3755916251729228
Logic of Argumentation,1,9,10.0
Logic of Argumentation,1,2,0.1604989967751144
Logic of Argumentation,1,0,1.7115289799928461
Multi-angle Analysis of Problems,1,4,0.5727217291489791
Multi-angle Analysis of Problems,1,8,8.577624007660644
Multi-angle Analysis of Problems,1,6,0.0
Multi-angle Analysis of Problems,1,7,0.7540232419243453
Multi-angle Analysis of Problems,1,5,5.802755448410578
Multi-angle Analysis of Problems,1,3,0.09406056724575441
Multi-angle Analysis of Problems,1,1,5.91325229265385
Multi-angle Analysis of Problems,1,10,0.7465720105185591
Multi-angle Analysis of Problems,1,9,10.0
Multi-angle Analysis of Problems,1,2,0.2033143811867024
Multi-angle Analysis of Problems,1,0,3.393469501023309
Potential Contribution to the Field,1,4,0.8693843538357509
Potential Contribution to the Field,1,8,8.123813069202578
Potential Contribution to the Field,1,6,0.0
Potential Contribution to the Field,1,7,0.4502244486697594
Potential Contribution to the Field,1,5,5.75450845857246
Potential Contribution to the Field,1,3,0.0892726897936871
Potential Contribution to the Field,1,1,6.152357844620973
Potential Contribution to the Field,1,10,0.22827605435346518
Potential Contribution to the Field,1,9,10.0
Potential Contribution to the Field,1,2,0.20261758901189567
Potential Contribution to the Field,1,0,3.1449562225820094
Practical Application Potential of Research Results,1,4,0.5365034251178031
Practical Application Potential of Research Results,1,8,7.586264404127407
Practical Application Potential of Research Results,1,6,0.0
Practical Application Potential of Research Results,1,7,0.416278066350717
Practical Application Potential of Research Results,1,5,5.058873399333238
Practical Application Potential of Research Results,1,3,0.03134892641552293
Practical Application Potential of Research Results,1,1,5.621305948123308
Practical Application Potential of Research Results,1,10,0.46587799426452037
Practical Application Potential of Research Results,1,9,10.0
Practical Application Potential of Research Results,1,2,0.1521140839617873
Practical Application Potential of Research Results,1,0,2.6559611888535435
Proposal of New Research Directions or Questions,1,4,4.864218759766443
Proposal of New Research Directions or Questions,1,8,9.965044603894526
Proposal of New Research Directions or Questions,1,6,0.32866479765114137
Proposal of New Research Directions or Questions,1,7,0.057426237574051346
Proposal of New Research Directions or Questions,1,5,9.445530445287545
Proposal of New Research Directions or Questions,1,3,0.26378383809759814
Proposal of New Research Directions or Questions,1,1,9.719862577879514
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,9,10.0
Proposal of New Research Directions or Questions,1,2,1.4258118825399366
Proposal of New Research Directions or Questions,1,0,6.494553273955484
Quality of Introduction and Conclusion,1,4,0.7101494265694855
Quality of Introduction and Conclusion,1,8,8.33910383559409
Quality of Introduction and Conclusion,1,6,0.0
Quality of Introduction and Conclusion,1,7,0.268345137834889
Quality of Introduction and Conclusion,1,5,5.318172646414963
Quality of Introduction and Conclusion,1,3,0.0393891129271194
Quality of Introduction and Conclusion,1,1,6.6386639669723335
Quality of Introduction and Conclusion,1,10,3.302440293614378
Quality of Introduction and Conclusion,1,9,10.0
Quality of Introduction and Conclusion,1,2,0.13107034341906348
Quality of Introduction and Conclusion,1,0,1.1469498821753106
Rationality of Method Selection,1,4,0.7486410687518079
Rationality of Method Selection,1,8,7.10080268553256
Rationality of Method Selection,1,6,0.0
Rationality of Method Selection,1,7,0.6769327872579871
Rationality of Method Selection,1,5,5.118555373730509
Rationality of Method Selection,1,3,0.10013617603874943
