Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.464295730282277,[0.36 0.58],67.66917293233082
Comprehensiveness of Information,0.7381195721433947,[0.65 0.82],70.9090909090909
Accuracy of Information,0.14739176982530083,[0.08 0.24],61.702127659574465
Innovativeness of Viewpoints,0.6105060194518965,[0.51 0.71],73.93939393939394
Integration of Interdisciplinary Perspectives,0.6790901581841475,[0.59 0.77],71.51515151515152
Clarity of Logical Structure,0.6891676088851341,[0.6  0.78],72.12121212121212
Reasonableness of Chapter Arrangement,0.6923664646123302,[0.6  0.78],72.72727272727273
Quality of Introduction and Conclusion,0.6067720699330884,[0.51 0.71],72.12121212121212
Accuracy and Completeness of Citations,0.566758459426469,[0.47 0.67],63.63636363636363
Timeliness and Relevance of References,0.6589748130854312,[0.57 0.75],73.93939393939394
Avoidance of Plagiarism and Appropriate Citation,0.25024259984446084,[0.17 0.36],60.97560975609756
Critical Analysis of Existing Research,0.637398338863208,[0.54 0.74],78.18181818181819
Proposal of New Research Directions or Questions,0.55709161207996,[0.46 0.67],74.83443708609272
Potential Contribution to the Field,0.6381077518882642,[0.54 0.74],74.54545454545455
Clarity of Research Method Description,0.6430452924685547,[0.55 0.74],73.33333333333333
Rationality of Method Selection,0.6202555746679751,[0.52 0.72],73.07692307692307
Rigor of Research Design,0.6094824605746096,[0.51 0.71],73.33333333333333
Inclusion of Latest Research Results,0.6463567369092497,[0.55 0.74],73.93939393939394
Reflection of Current Research Hotspots,0.6464911471962927,[0.55 0.74],75.15151515151514
Fluency of Language Expression,0.599633712109865,[0.5 0.7],70.9090909090909
Appropriateness of Professional Terminology Use,0.6232710786203324,[0.53 0.72],70.3030303030303
Conciseness of Expression,0.6016589731636127,[0.5 0.7],70.51282051282051
Practical Application Potential of Research Results,0.6173258343411558,[0.52 0.72],73.33333333333333
Feasibility of Proposed Suggestions,0.5672828003828501,[0.47 0.68],73.33333333333333
Logic of Argumentation,0.632068233142727,[0.54 0.73],72.12121212121212
Multi-angle Analysis of Problems,0.6432474114692838,[0.55 0.74],71.3375796178344
Identification and Discussion of Research Limitations,0.612664374454247,[0.51 0.71],71.33333333333334
