Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,6.192263052453213
Accuracy and Completeness of Citations,1,0,4.426139365041007
Accuracy and Completeness of Citations,1,2,3.264883595716767
Accuracy and Completeness of Citations,1,1,0.12445730521738359
Accuracy and Completeness of Citations,1,7,3.6970898246980926
Accuracy and Completeness of Citations,1,3,7.308519207792375
Accuracy and Completeness of Citations,1,6,0.0
Accuracy and Completeness of Citations,1,4,7.018330977190496
Accuracy and Completeness of Citations,1,8,6.9116211892287245
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,10,1.9708064344951226
Accuracy of Information,1,5,4.655864046798647
Accuracy of Information,1,0,4.124065960271141
Accuracy of Information,1,2,3.642546189158257
Accuracy of Information,1,1,0.19976867402765172
Accuracy of Information,1,7,4.225783299060313
Accuracy of Information,1,3,4.9491763763138295
Accuracy of Information,1,6,0.0
Accuracy of Information,1,4,4.3519045125422195
Accuracy of Information,1,8,3.6477568822287556
Accuracy of Information,1,9,10.0
Accuracy of Information,1,10,3.8142645653627065
Appropriateness of Professional Terminology Use,1,5,8.010171456499805
Appropriateness of Professional Terminology Use,1,0,4.379344049060841
Appropriateness of Professional Terminology Use,1,2,6.7577162441451275
Appropriateness of Professional Terminology Use,1,1,0.09103330806829267
Appropriateness of Professional Terminology Use,1,7,4.104229380379367
Appropriateness of Professional Terminology Use,1,3,9.28290546831051
Appropriateness of Professional Terminology Use,1,6,0.0
Appropriateness of Professional Terminology Use,1,4,9.554823847617788
Appropriateness of Professional Terminology Use,1,8,8.801558416666426
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,10,8.66007169997504
Avoidance of Plagiarism and Appropriate Citation,1,5,8.605378153679776
Avoidance of Plagiarism and Appropriate Citation,1,0,7.335974283462232
Avoidance of Plagiarism and Appropriate Citation,1,2,7.599574620132238
Avoidance of Plagiarism and Appropriate Citation,1,1,0.3304441505246849
Avoidance of Plagiarism and Appropriate Citation,1,7,7.164508287109874
Avoidance of Plagiarism and Appropriate Citation,1,3,8.803087407791752
Avoidance of Plagiarism and Appropriate Citation,1,6,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,8.81620951718302
Avoidance of Plagiarism and Appropriate Citation,1,8,8.138293731212148
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,6.049948233282665
Clarity of Logical Structure,1,5,9.331880516467821
Clarity of Logical Structure,1,0,7.115591836475723
Clarity of Logical Structure,1,2,7.827886024857673
Clarity of Logical Structure,1,1,0.2398713660247706
Clarity of Logical Structure,1,7,7.057555221084794
Clarity of Logical Structure,1,3,9.548924243523453
Clarity of Logical Structure,1,6,0.0
Clarity of Logical Structure,1,4,9.708562406307895
Clarity of Logical Structure,1,8,9.434940961791034
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,10,9.59485158032692
Clarity of Research Method Description,1,5,7.756965992873901
Clarity of Research Method Description,1,0,5.257141082820506
Clarity of Research Method Description,1,2,6.6691929600327535
Clarity of Research Method Description,1,1,0.15822183706510984
Clarity of Research Method Description,1,7,5.251636742367868
Clarity of Research Method Description,1,3,8.730716819735862
Clarity of Research Method Description,1,6,0.0
Clarity of Research Method Description,1,4,8.892113537103285
Clarity of Research Method Description,1,8,8.401640152465172
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,10,8.890648558028499
Comprehensiveness of Information,1,5,7.979897262326271
Comprehensiveness of Information,1,0,5.458577002852653
Comprehensiveness of Information,1,2,6.0574068789566065
Comprehensiveness of Information,1,1,0.10220493192449961
Comprehensiveness of Information,1,7,5.297846936989964
Comprehensiveness of Information,1,3,8.756326176749328
Comprehensiveness of Information,1,6,0.0
Comprehensiveness of Information,1,4,9.023615045972909
Comprehensiveness of Information,1,8,8.345562980126909
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,10,8.445691604017878
Conciseness of Expression,1,5,9.27162661554627
Conciseness of Expression,1,0,5.527751500931904
Conciseness of Expression,1,2,7.692768416830491
Conciseness of Expression,1,1,0.12396143092821738
Conciseness of Expression,1,7,5.004548363530291
Conciseness of Expression,1,3,9.678394301418328
Conciseness of Expression,1,6,0.0
Conciseness of Expression,1,4,9.889357228820693
Conciseness of Expression,1,8,9.536240735196804
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,10,9.056758738731585
Critical Analysis of Existing Research,1,5,7.330364135064166
Critical Analysis of Existing Research,1,0,6.875048569454268
Critical Analysis of Existing Research,1,2,5.682902252191452
Critical Analysis of Existing Research,1,1,0.15376073001352605
Critical Analysis of Existing Research,1,7,6.758893525325591
Critical Analysis of Existing Research,1,3,8.660741433882457
Critical Analysis of Existing Research,1,6,0.0
Critical Analysis of Existing Research,1,4,9.159231792151678
Critical Analysis of Existing Research,1,8,7.880968644725313
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,10,4.6910431373388635
Feasibility of Proposed Suggestions,1,5,8.618301166382475
Feasibility of Proposed Suggestions,1,0,8.637829781007698
Feasibility of Proposed Suggestions,1,2,7.87366104349419
Feasibility of Proposed Suggestions,1,1,0.27730010756315704
Feasibility of Proposed Suggestions,1,7,7.587150415409085
Feasibility of Proposed Suggestions,1,3,9.474780217168501
Feasibility of Proposed Suggestions,1,6,0.0
Feasibility of Proposed Suggestions,1,4,9.800916454090176
Feasibility of Proposed Suggestions,1,8,9.170622687173934
Feasibility of Proposed Suggestions,1,9,10.0
Feasibility of Proposed Suggestions,1,10,5.81475669577446
Fluency of Language Expression,1,5,9.474870765165958
Fluency of Language Expression,1,0,6.313044215156199
Fluency of Language Expression,1,2,8.446688867728868
Fluency of Language Expression,1,1,0.09282559849877046
Fluency of Language Expression,1,7,5.244987398044848
Fluency of Language Expression,1,3,9.837956508556237
Fluency of Language Expression,1,6,0.0
Fluency of Language Expression,1,4,10.0
Fluency of Language Expression,1,8,9.824747291867668
Fluency of Language Expression,1,9,9.99137164668282
Fluency of Language Expression,1,10,9.422531809816075
Identification and Discussion of Research Limitations,1,5,8.778002944650897
Identification and Discussion of Research Limitations,1,0,6.545661958936756
Identification and Discussion of Research Limitations,1,2,7.088474056642655
Identification and Discussion of Research Limitations,1,1,0.15194914050121833
Identification and Discussion of Research Limitations,1,7,5.593186851374403
Identification and Discussion of Research Limitations,1,3,9.373654350775062
Identification and Discussion of Research Limitations,1,6,0.0
