Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,9.963571385354184
Accuracy and Completeness of Citations,1,6,9.984528195504234
Accuracy and Completeness of Citations,1,4,9.979200261779063
Accuracy and Completeness of Citations,1,3,9.98609163361729
Accuracy and Completeness of Citations,1,7,9.979232001068606
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,8,9.982623953716354
Accuracy and Completeness of Citations,1,1,9.985909299707458
Accuracy and Completeness of Citations,1,5,9.98324056516142
Accuracy and Completeness of Citations,1,2,9.97364913836934
Accuracy of Information,1,0,8.887143679668343
Accuracy of Information,1,6,9.394062129080213
Accuracy of Information,1,4,9.283453607423155
Accuracy of Information,1,3,9.350630438756124
Accuracy of Information,1,7,9.303264304071048
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,10.0
Accuracy of Information,1,8,9.427275324562421
Accuracy of Information,1,1,9.423343568699545
Accuracy of Information,1,5,9.416843846650098
Accuracy of Information,1,2,8.974438939986818
Appropriateness of Professional Terminology Use,1,0,8.599885636145954
Appropriateness of Professional Terminology Use,1,6,9.093295681080905
Appropriateness of Professional Terminology Use,1,4,9.244274643649408
Appropriateness of Professional Terminology Use,1,3,9.284669494441443
Appropriateness of Professional Terminology Use,1,7,9.159982846568825
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,8,9.287318922160425
Appropriateness of Professional Terminology Use,1,1,9.46422713758668
Appropriateness of Professional Terminology Use,1,5,9.423146364333093
Appropriateness of Professional Terminology Use,1,2,8.698766918201379
Avoidance of Plagiarism and Appropriate Citation,1,0,9.97573085898386
Avoidance of Plagiarism and Appropriate Citation,1,6,9.974234604040333
Avoidance of Plagiarism and Appropriate Citation,1,4,9.979662693939426
Avoidance of Plagiarism and Appropriate Citation,1,3,9.991171066026117
Avoidance of Plagiarism and Appropriate Citation,1,7,9.968033902902965
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,9.97441677585959
Avoidance of Plagiarism and Appropriate Citation,1,1,9.982408736338204
Avoidance of Plagiarism and Appropriate Citation,1,5,9.971277569876323
Avoidance of Plagiarism and Appropriate Citation,1,2,9.970291187223301
Clarity of Logical Structure,1,0,9.598648342255586
Clarity of Logical Structure,1,6,9.907175386560441
Clarity of Logical Structure,1,4,9.914403777201798
Clarity of Logical Structure,1,3,9.86408751831748
Clarity of Logical Structure,1,7,9.908334484788613
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,9,9.89932693532716
Clarity of Logical Structure,1,8,9.921488584312307
Clarity of Logical Structure,1,1,10.0
Clarity of Logical Structure,1,5,9.957819356998344
Clarity of Logical Structure,1,2,9.44000489150682
Clarity of Research Method Description,1,0,9.442392382505686
Clarity of Research Method Description,1,6,9.654571898157391
Clarity of Research Method Description,1,4,9.60931812760481
Clarity of Research Method Description,1,3,9.635795268784255
Clarity of Research Method Description,1,7,9.64118701626057
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,8,9.596313003016206
Clarity of Research Method Description,1,1,9.698011773730693
Clarity of Research Method Description,1,5,9.66704680199818
Clarity of Research Method Description,1,2,9.49545993911515
Comprehensiveness of Information,1,0,5.61735776395617
Comprehensiveness of Information,1,6,8.896053305336416
Comprehensiveness of Information,1,4,8.575332726773393
Comprehensiveness of Information,1,3,8.916412618488721
Comprehensiveness of Information,1,7,8.85208872626144
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,8,9.09869099371923
Comprehensiveness of Information,1,1,9.216977438390149
Comprehensiveness of Information,1,5,9.676255562917211
Comprehensiveness of Information,1,2,6.252344159845211
Conciseness of Expression,1,0,2.3970957539252007
