Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,0,9.946535125922406
Accuracy and Completeness of Citations,1,5,9.875431827339378
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,6,9.89039873050527
Accuracy and Completeness of Citations,1,1,9.876425626442575
Accuracy and Completeness of Citations,1,2,9.854683886439476
Accuracy and Completeness of Citations,1,3,9.926543923144461
Accuracy and Completeness of Citations,1,7,9.927615407090046
Accuracy and Completeness of Citations,1,4,9.879835794487756
Accuracy and Completeness of Citations,1,8,9.870995010337511
Accuracy of Information,1,10,0.0
Accuracy of Information,1,0,8.882261572747353
Accuracy of Information,1,5,8.376418291696252
Accuracy of Information,1,9,10.0
Accuracy of Information,1,6,8.369814897807872
Accuracy of Information,1,1,8.268937929874031
Accuracy of Information,1,2,8.263812270364767
Accuracy of Information,1,3,8.991015207164514
Accuracy of Information,1,7,8.49031652244974
Accuracy of Information,1,4,8.282040225204762
Accuracy of Information,1,8,8.412582903155574
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,0,6.233246130510985
Appropriateness of Professional Terminology Use,1,5,6.081409834797273
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,6,6.0895313419298684
Appropriateness of Professional Terminology Use,1,1,5.2444776488255505
Appropriateness of Professional Terminology Use,1,2,5.540749860429063
Appropriateness of Professional Terminology Use,1,3,6.5721147040658865
Appropriateness of Professional Terminology Use,1,7,5.781011680717389
Appropriateness of Professional Terminology Use,1,4,5.483635166447022
Appropriateness of Professional Terminology Use,1,8,5.47342382292812
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,9.942606196304714
Avoidance of Plagiarism and Appropriate Citation,1,5,9.944893230820204
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.94929005180335
Avoidance of Plagiarism and Appropriate Citation,1,1,9.957150741041172
Avoidance of Plagiarism and Appropriate Citation,1,2,9.957324085282586
Avoidance of Plagiarism and Appropriate Citation,1,3,9.945975531532238
Avoidance of Plagiarism and Appropriate Citation,1,7,9.966276284091363
Avoidance of Plagiarism and Appropriate Citation,1,4,9.96490189587302
Avoidance of Plagiarism and Appropriate Citation,1,8,9.948282901699402
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,0,6.895971003919588
Clarity of Logical Structure,1,5,7.620450742118779
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,6,7.739216325413894
Clarity of Logical Structure,1,1,5.729424178605635
Clarity of Logical Structure,1,2,3.3520997089912195
Clarity of Logical Structure,1,3,8.674029042033434
Clarity of Logical Structure,1,7,6.41350212320708
Clarity of Logical Structure,1,4,7.102348163241104
Clarity of Logical Structure,1,8,7.563815825834976
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,0,6.092742663386103
Clarity of Research Method Description,1,5,6.152569351814836
Clarity of Research Method Description,1,9,10.0
