Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,6,9.965611734922213
Accuracy and Completeness of Citations,1,4,9.985006060946608
Accuracy and Completeness of Citations,1,2,9.988630769255106
Accuracy and Completeness of Citations,1,1,9.979283098334836
Accuracy and Completeness of Citations,1,0,9.993603992271067
Accuracy and Completeness of Citations,1,5,9.978461086450036
Accuracy and Completeness of Citations,1,3,9.963086292904249
Accuracy and Completeness of Citations,1,7,9.985678575281504
Accuracy and Completeness of Citations,1,8,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,9.94889831776985
Accuracy of Information,1,6,9.987698712546786
Accuracy of Information,1,4,9.948865944236706
Accuracy of Information,1,2,9.97460923869471
Accuracy of Information,1,1,9.989783139248457
Accuracy of Information,1,0,10.0
Accuracy of Information,1,5,9.976948792761535
Accuracy of Information,1,3,9.943300205256673
Accuracy of Information,1,7,9.958280845095537
Accuracy of Information,1,8,9.91109552455472
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,9.855273866016265
Appropriateness of Professional Terminology Use,1,6,7.77432307760321
Appropriateness of Professional Terminology Use,1,4,9.598646000488651
Appropriateness of Professional Terminology Use,1,2,9.929952907578645
Appropriateness of Professional Terminology Use,1,1,9.814885103351685
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,5,7.156695960247329
Appropriateness of Professional Terminology Use,1,3,8.868436549806622
Appropriateness of Professional Terminology Use,1,7,8.626618249394692
Appropriateness of Professional Terminology Use,1,8,5.908153488592641
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,9,9.697686634880897
Avoidance of Plagiarism and Appropriate Citation,1,6,9.926670197475726
Avoidance of Plagiarism and Appropriate Citation,1,4,9.971368931108422
Avoidance of Plagiarism and Appropriate Citation,1,2,9.956927336913498
Avoidance of Plagiarism and Appropriate Citation,1,1,9.965865495094878
Avoidance of Plagiarism and Appropriate Citation,1,0,9.997530152667547
Avoidance of Plagiarism and Appropriate Citation,1,5,9.965684587806141
Avoidance of Plagiarism and Appropriate Citation,1,3,9.934825713856103
Avoidance of Plagiarism and Appropriate Citation,1,7,9.972300811908486
Avoidance of Plagiarism and Appropriate Citation,1,8,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,9.895070164511665
Clarity of Logical Structure,1,6,9.60541782934145
Clarity of Logical Structure,1,4,9.910582460920772
Clarity of Logical Structure,1,2,9.967537287189327
