Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,9.97188453700309
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,9.990893606573689
Accuracy and Completeness of Citations,1,9,9.961956414855786
Accuracy and Completeness of Citations,1,4,10.0
Accuracy and Completeness of Citations,1,0,9.99164008198451
Accuracy and Completeness of Citations,1,3,9.993775582772253
Accuracy and Completeness of Citations,1,1,9.97161430467345
Accuracy and Completeness of Citations,1,8,9.985234799295462
Accuracy and Completeness of Citations,1,5,9.993034756794026
Accuracy and Completeness of Citations,1,6,9.979590192586489
Accuracy of Information,1,2,9.597198812946926
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,9.897588619894808
Accuracy of Information,1,9,9.623752415608438
Accuracy of Information,1,4,9.967748510024432
Accuracy of Information,1,0,9.829509038447442
Accuracy of Information,1,3,9.950939421120166
Accuracy of Information,1,1,9.871640322526847
Accuracy of Information,1,8,9.913445994720146
Accuracy of Information,1,5,10.0
Accuracy of Information,1,6,9.98031165502674
Appropriateness of Professional Terminology Use,1,2,9.171169799295257
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,9.69894950012193
Appropriateness of Professional Terminology Use,1,9,7.043348437440262
Appropriateness of Professional Terminology Use,1,4,9.938523445990626
Appropriateness of Professional Terminology Use,1,0,5.436237112870563
Appropriateness of Professional Terminology Use,1,3,6.5769063770568925
Appropriateness of Professional Terminology Use,1,1,7.8477434484339765
Appropriateness of Professional Terminology Use,1,8,9.703065710138697
Appropriateness of Professional Terminology Use,1,5,10.0
Appropriateness of Professional Terminology Use,1,6,9.969493120581584
Avoidance of Plagiarism and Appropriate Citation,1,2,9.952902135629222
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.975023311266414
Avoidance of Plagiarism and Appropriate Citation,1,9,9.993274043236076
Avoidance of Plagiarism and Appropriate Citation,1,4,9.99887308961283
Avoidance of Plagiarism and Appropriate Citation,1,0,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.99899833084513
Avoidance of Plagiarism and Appropriate Citation,1,1,9.955833312966474
Avoidance of Plagiarism and Appropriate Citation,1,8,9.990222448822042
Avoidance of Plagiarism and Appropriate Citation,1,5,9.998045300730515
Avoidance of Plagiarism and Appropriate Citation,1,6,9.966038978104361
Clarity of Logical Structure,1,2,9.409724273755598
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,7,9.850939740842154
Clarity of Logical Structure,1,9,4.855876644580268
Clarity of Logical Structure,1,4,9.955550560102031
Clarity of Logical Structure,1,0,8.479916831812186
Clarity of Logical Structure,1,3,8.433419892807606
Clarity of Logical Structure,1,1,9.373109717994085
Clarity of Logical Structure,1,8,9.744148309540003
Clarity of Logical Structure,1,5,10.0
Clarity of Logical Structure,1,6,9.92966621469195
Clarity of Research Method Description,1,2,9.841224440791056
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,7,9.925493543612589
Clarity of Research Method Description,1,9,9.438965573762832
Clarity of Research Method Description,1,4,9.971487119185701
Clarity of Research Method Description,1,0,9.594029938868948
Clarity of Research Method Description,1,3,9.647042704163768
Clarity of Research Method Description,1,1,9.762767406145421
Clarity of Research Method Description,1,8,9.917262822683766
Clarity of Research Method Description,1,5,10.0
Clarity of Research Method Description,1,6,9.955209966596593
Comprehensiveness of Information,1,2,9.763951439639056
Comprehensiveness of Information,1,10,0.0
