Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,9.996063034822136
Accuracy and Completeness of Citations,1,5,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,1,9.959354315397016
Accuracy and Completeness of Citations,1,4,9.996600116865714
Accuracy and Completeness of Citations,1,6,9.936534154618508
Accuracy and Completeness of Citations,1,7,9.947986483980605
Accuracy and Completeness of Citations,1,9,9.991714529555011
Accuracy and Completeness of Citations,1,3,9.991040258819506
Accuracy and Completeness of Citations,1,8,9.977559174527428
Accuracy and Completeness of Citations,1,2,9.986330971908801
Accuracy of Information,1,0,6.8617902240035065
Accuracy of Information,1,5,8.720820626998455
Accuracy of Information,1,10,0.0
Accuracy of Information,1,1,8.20395366482906
Accuracy of Information,1,4,7.461608752069494
Accuracy of Information,1,6,5.547632031873993
Accuracy of Information,1,7,7.905442088282769
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,8.049418793508702
Accuracy of Information,1,8,8.45022719680573
Accuracy of Information,1,2,7.76041930359193
Appropriateness of Professional Terminology Use,1,0,9.599694222005683
Appropriateness of Professional Terminology Use,1,5,9.952406652399223
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,1,9.791967571059603
Appropriateness of Professional Terminology Use,1,4,9.913923548532193
Appropriateness of Professional Terminology Use,1,6,8.724897988126974
Appropriateness of Professional Terminology Use,1,7,7.787471710684471
Appropriateness of Professional Terminology Use,1,9,9.585024433450133
Appropriateness of Professional Terminology Use,1,3,9.971461019944432
Appropriateness of Professional Terminology Use,1,8,10.0
Appropriateness of Professional Terminology Use,1,2,9.020022981735545
Avoidance of Plagiarism and Appropriate Citation,1,0,9.931461934643256
Avoidance of Plagiarism and Appropriate Citation,1,5,9.974653695064903
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.955882751770435
Avoidance of Plagiarism and Appropriate Citation,1,4,9.933322819111986
Avoidance of Plagiarism and Appropriate Citation,1,6,9.664794315793534
Avoidance of Plagiarism and Appropriate Citation,1,7,9.742747816571208
Avoidance of Plagiarism and Appropriate Citation,1,9,9.374916071710611
Avoidance of Plagiarism and Appropriate Citation,1,3,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,9.87177383159779
Avoidance of Plagiarism and Appropriate Citation,1,2,9.96012396984822
Clarity of Logical Structure,1,0,9.494184902811023
Clarity of Logical Structure,1,5,9.876148045325529
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,1,9.710066328926619
Clarity of Logical Structure,1,4,9.863201238578755
Clarity of Logical Structure,1,6,9.337860822930569
Clarity of Logical Structure,1,7,8.923344137310156
Clarity of Logical Structure,1,9,3.851714612242621
Clarity of Logical Structure,1,3,9.961974725998708
Clarity of Logical Structure,1,8,10.0
Clarity of Logical Structure,1,2,9.005731179149313
Clarity of Research Method Description,1,0,9.674147785900317
Clarity of Research Method Description,1,5,9.931749749046485
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,1,9.761999514594306
Clarity of Research Method Description,1,4,9.89402829575491
Clarity of Research Method Description,1,6,9.641845225839054
Clarity of Research Method Description,1,7,9.369664153851522
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,3,9.901852955208273
Clarity of Research Method Description,1,8,9.943758654318671
Clarity of Research Method Description,1,2,9.398843141597476
Comprehensiveness of Information,1,0,9.690780109809104
Comprehensiveness of Information,1,5,9.94273803739521
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,1,9.846267431981577
Comprehensiveness of Information,1,4,9.967210123171428
Comprehensiveness of Information,1,6,9.601443871495688
Comprehensiveness of Information,1,7,9.175650247974193
Comprehensiveness of Information,1,9,6.783406010067825
Comprehensiveness of Information,1,3,9.995129106294073
Comprehensiveness of Information,1,8,10.0
Comprehensiveness of Information,1,2,9.650284016074492
Conciseness of Expression,1,0,8.984432781838857
Conciseness of Expression,1,5,9.876827245093242
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,1,9.65967619906088
Conciseness of Expression,1,4,9.847643994427234
Conciseness of Expression,1,6,8.153112210428242
Conciseness of Expression,1,7,7.00620654471015
Conciseness of Expression,1,9,3.537952431383721
Conciseness of Expression,1,3,10.0
