Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,2,9.727124231159014
Accuracy and Completeness of Citations,1,8,9.758604736775794
Accuracy and Completeness of Citations,1,5,9.832130779250596
Accuracy and Completeness of Citations,1,6,9.803961333315316
Accuracy and Completeness of Citations,1,1,9.684005006897308
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,3,9.783109317584278
Accuracy and Completeness of Citations,1,7,9.659734935686224
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,4,9.772542444915507
Accuracy and Completeness of Citations,1,0,9.798443475404463
Accuracy of Information,1,2,6.500286933867759
Accuracy of Information,1,8,6.999815487154181
Accuracy of Information,1,5,7.370328186103434
Accuracy of Information,1,6,7.3324303570727585
Accuracy of Information,1,1,7.162116634665544
Accuracy of Information,1,10,0.0
Accuracy of Information,1,3,6.993787673218052
Accuracy of Information,1,7,6.653464232783875
Accuracy of Information,1,9,10.0
Accuracy of Information,1,4,6.414999162491129
Accuracy of Information,1,0,7.47118498355056
Appropriateness of Professional Terminology Use,1,2,3.7007309148628784
Appropriateness of Professional Terminology Use,1,8,3.796188466226494
Appropriateness of Professional Terminology Use,1,5,4.064026981562977
Appropriateness of Professional Terminology Use,1,6,4.925717464368571
Appropriateness of Professional Terminology Use,1,1,4.080253267427809
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,3,3.915890126257465
Appropriateness of Professional Terminology Use,1,7,4.086902366161028
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,4,4.204548335852191
Appropriateness of Professional Terminology Use,1,0,4.317393466973112
Avoidance of Plagiarism and Appropriate Citation,1,2,9.9049289603354
Avoidance of Plagiarism and Appropriate Citation,1,8,9.893845726618055
Avoidance of Plagiarism and Appropriate Citation,1,5,9.922099430462616
Avoidance of Plagiarism and Appropriate Citation,1,6,9.900682576585266
Avoidance of Plagiarism and Appropriate Citation,1,1,9.899811364858506
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.895785442233597
Avoidance of Plagiarism and Appropriate Citation,1,7,9.89152742410334
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,4,9.926036627337044
Avoidance of Plagiarism and Appropriate Citation,1,0,9.902894940815099
Clarity of Logical Structure,1,2,8.932306438115054
Clarity of Logical Structure,1,8,9.13726290430791
Clarity of Logical Structure,1,5,9.311620953069257
