Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,3,8.97191156963414
Accuracy and Completeness of Citations,1,5,9.566334018690142
Accuracy and Completeness of Citations,1,6,9.241186639704553
Accuracy and Completeness of Citations,1,7,8.944800065713977
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,9.430940598872551
Accuracy and Completeness of Citations,1,2,9.46983801105419
Accuracy and Completeness of Citations,1,1,9.070246987731464
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,0,9.062764459865395
Accuracy and Completeness of Citations,1,8,9.092284189568849
Accuracy of Information,1,3,2.090930371622598
Accuracy of Information,1,5,1.8776834677592995
Accuracy of Information,1,6,1.5394239885287233
Accuracy of Information,1,7,2.6556667415939317
Accuracy of Information,1,10,0.0
Accuracy of Information,1,4,1.7869276158405552
Accuracy of Information,1,2,1.6576523049527985
Accuracy of Information,1,1,1.6226658236926408
Accuracy of Information,1,9,10.0
Accuracy of Information,1,0,1.4603911953701965
Accuracy of Information,1,8,1.7604075197093176
Appropriateness of Professional Terminology Use,1,3,2.140046720955092
Appropriateness of Professional Terminology Use,1,5,9.76383335726557
Appropriateness of Professional Terminology Use,1,6,5.2205443888160445
Appropriateness of Professional Terminology Use,1,7,5.651097255792965
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,4,8.533594058516027
Appropriateness of Professional Terminology Use,1,2,5.032726354373375
Appropriateness of Professional Terminology Use,1,1,1.5645000444094697
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,0,2.114703141660653
Appropriateness of Professional Terminology Use,1,8,0.8132526919493823
Avoidance of Plagiarism and Appropriate Citation,1,3,9.595245451139695
Avoidance of Plagiarism and Appropriate Citation,1,5,9.8322738067549
Avoidance of Plagiarism and Appropriate Citation,1,6,9.357725937635687
Avoidance of Plagiarism and Appropriate Citation,1,7,8.941132539896419
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,9.74581574225458
Avoidance of Plagiarism and Appropriate Citation,1,2,9.68774057198649
Avoidance of Plagiarism and Appropriate Citation,1,1,9.552619781697516
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,0,9.568504874857522
Avoidance of Plagiarism and Appropriate Citation,1,8,9.718821839864232
Clarity of Logical Structure,1,3,6.55152446265764
Clarity of Logical Structure,1,5,9.95413381110365
Clarity of Logical Structure,1,6,7.748790510430222
Clarity of Logical Structure,1,7,7.545796438818469
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,4,8.955978437704733
Clarity of Logical Structure,1,2,8.570544021150406
Clarity of Logical Structure,1,1,4.605095079453802
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,0,5.4912293279694335
Clarity of Logical Structure,1,8,6.03177231332361
Clarity of Research Method Description,1,3,4.482658611986534
Clarity of Research Method Description,1,5,9.095761284857877
Clarity of Research Method Description,1,6,5.987376834571509
Clarity of Research Method Description,1,7,6.205835452386875
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,4,7.811946506626444
Clarity of Research Method Description,1,2,6.159187413273714
Clarity of Research Method Description,1,1,4.666375060489551
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,0,4.115870182024526
Clarity of Research Method Description,1,8,3.3630555473229475
Comprehensiveness of Information,1,3,2.345914211260091
Comprehensiveness of Information,1,5,8.301625753759549
Comprehensiveness of Information,1,6,3.7362823492200095
Comprehensiveness of Information,1,7,3.2927099964154625
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,4,7.639054803676144
Comprehensiveness of Information,1,2,4.236653740155255
Comprehensiveness of Information,1,1,0.9736687308251589
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,0,2.22264441142179
Comprehensiveness of Information,1,8,0.8354317595136812
Conciseness of Expression,1,3,3.5435650262026708
Conciseness of Expression,1,5,10.0
Conciseness of Expression,1,6,3.7595786799390614
Conciseness of Expression,1,7,5.2391747595228795
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,4,9.169044785525562
Conciseness of Expression,1,2,6.663228164766175
Conciseness of Expression,1,1,0.22018869245176237
Conciseness of Expression,1,9,9.895455436096485
Conciseness of Expression,1,0,0.8851716782856414
Conciseness of Expression,1,8,2.1204667377326696
Critical Analysis of Existing Research,1,3,7.331733442588033
Critical Analysis of Existing Research,1,5,10.0
Critical Analysis of Existing Research,1,6,8.750477381936122
Critical Analysis of Existing Research,1,7,8.75113227795423
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,4,9.963212146953406
Critical Analysis of Existing Research,1,2,9.222049700646593
Critical Analysis of Existing Research,1,1,3.816233571245735
Critical Analysis of Existing Research,1,9,9.064210071325979
Critical Analysis of Existing Research,1,0,6.7010579839318325
Critical Analysis of Existing Research,1,8,5.03027085993597
Feasibility of Proposed Suggestions,1,3,7.475348366388597
Feasibility of Proposed Suggestions,1,5,10.0
Feasibility of Proposed Suggestions,1,6,8.729804804550886
Feasibility of Proposed Suggestions,1,7,8.932518509815152
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,4,9.94989511573347
Feasibility of Proposed Suggestions,1,2,9.231463699643287
Feasibility of Proposed Suggestions,1,1,3.590912259663436
Feasibility of Proposed Suggestions,1,9,7.597831791003143
Feasibility of Proposed Suggestions,1,0,6.50917363224927
Feasibility of Proposed Suggestions,1,8,5.147155652804209
Fluency of Language Expression,1,3,2.6300930104947344
Fluency of Language Expression,1,5,10.0
