Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,0,9.966280421048845
Accuracy and Completeness of Citations,1,4,9.979623945984672
Accuracy and Completeness of Citations,1,8,9.950026837014033
Accuracy and Completeness of Citations,1,7,9.969980499632332
Accuracy and Completeness of Citations,1,3,9.98741964745739
Accuracy and Completeness of Citations,1,1,9.936773552398709
Accuracy and Completeness of Citations,1,9,9.982766283740064
Accuracy and Completeness of Citations,1,6,10.0
Accuracy and Completeness of Citations,1,2,9.977062031554684
Accuracy and Completeness of Citations,1,5,9.962962175998157
Accuracy of Information,1,10,0.0
Accuracy of Information,1,0,8.531070848966412
Accuracy of Information,1,4,8.518746298368995
Accuracy of Information,1,8,8.373063415900209
Accuracy of Information,1,7,8.287459521611153
Accuracy of Information,1,3,8.661627943291212
Accuracy of Information,1,1,7.954629784402067
Accuracy of Information,1,9,10.0
Accuracy of Information,1,6,8.861773927600623
Accuracy of Information,1,2,8.61480604937142
Accuracy of Information,1,5,8.510146890752008
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,0,5.987303071225249
Appropriateness of Professional Terminology Use,1,4,5.911906538802814
Appropriateness of Professional Terminology Use,1,8,5.783513785032235
Appropriateness of Professional Terminology Use,1,7,6.416363637172629
Appropriateness of Professional Terminology Use,1,3,6.257980686499323
Appropriateness of Professional Terminology Use,1,1,5.678541217478696
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,6,6.262688263393035
Appropriateness of Professional Terminology Use,1,2,6.127256314996281
Appropriateness of Professional Terminology Use,1,5,6.1948031812779805
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,9.986300027470108
Avoidance of Plagiarism and Appropriate Citation,1,4,9.989188068456519
Avoidance of Plagiarism and Appropriate Citation,1,8,9.982846803094548
Avoidance of Plagiarism and Appropriate Citation,1,7,9.988340803249203
Avoidance of Plagiarism and Appropriate Citation,1,3,9.97856117827436
Avoidance of Plagiarism and Appropriate Citation,1,1,9.966692278343892
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.990654529848715
Avoidance of Plagiarism and Appropriate Citation,1,2,9.984448047292249
Avoidance of Plagiarism and Appropriate Citation,1,5,9.982312725686894
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,0,9.981093297769124
Clarity of Logical Structure,1,4,9.956004463129167
Clarity of Logical Structure,1,8,7.07324955659475
Clarity of Logical Structure,1,7,9.935359248811437
Clarity of Logical Structure,1,3,8.466671761046786
Clarity of Logical Structure,1,1,9.71119987260974
Clarity of Logical Structure,1,9,5.466262313257349
Clarity of Logical Structure,1,6,10.0
Clarity of Logical Structure,1,2,9.954577124920071
Clarity of Logical Structure,1,5,9.88986711838403
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,0,9.072088747985097
Clarity of Research Method Description,1,4,8.954524333957233
Clarity of Research Method Description,1,8,8.784975909546555
Clarity of Research Method Description,1,7,8.940901649433455
Clarity of Research Method Description,1,3,8.977480887138945
Clarity of Research Method Description,1,1,8.684898220319644
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,6,8.99864342305106
Clarity of Research Method Description,1,2,9.04768178314374
Clarity of Research Method Description,1,5,9.245319378474376
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,0,9.725261277220346
Comprehensiveness of Information,1,4,9.192796443606053
Comprehensiveness of Information,1,8,4.61094323777529
Comprehensiveness of Information,1,7,8.671365710480924
Comprehensiveness of Information,1,3,9.121935861231524
Comprehensiveness of Information,1,1,5.85443139625379
Comprehensiveness of Information,1,9,9.73186832862839
Comprehensiveness of Information,1,6,10.0
Comprehensiveness of Information,1,2,9.604998554626933
Comprehensiveness of Information,1,5,8.700271203362798
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,0,5.941875191522154
Conciseness of Expression,1,4,6.476222510719044
Conciseness of Expression,1,8,5.022252705110718
Conciseness of Expression,1,7,6.587823767249609
Conciseness of Expression,1,3,4.260600347741303
Conciseness of Expression,1,1,6.337699448593531
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,6,6.1162718807197365
Conciseness of Expression,1,2,5.907326296582453
Conciseness of Expression,1,5,6.308872713642656
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,0,9.99658538232978
Critical Analysis of Existing Research,1,4,9.674850228034096
Critical Analysis of Existing Research,1,8,7.926271187270374
Critical Analysis of Existing Research,1,7,9.590388482200165
