Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,1,9.896831259079576
Accuracy and Completeness of Citations,1,6,9.928051954198231
Accuracy and Completeness of Citations,1,3,9.933288078786564
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,9.88464073796582
Accuracy and Completeness of Citations,1,7,9.89658050686362
Accuracy and Completeness of Citations,1,0,9.921057177023135
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,4,9.90308233508969
Accuracy and Completeness of Citations,1,8,9.875081691790145
Accuracy and Completeness of Citations,1,2,9.89254944063431
Accuracy of Information,1,1,9.704080444770952
Accuracy of Information,1,6,9.561499600673606
Accuracy of Information,1,3,9.458393397923412
Accuracy of Information,1,10,0.0
Accuracy of Information,1,5,9.421858302835448
Accuracy of Information,1,7,8.543377846313698
Accuracy of Information,1,0,9.371736992976643
Accuracy of Information,1,9,10.0
Accuracy of Information,1,4,9.6099348222656
Accuracy of Information,1,8,8.659352619336673
Accuracy of Information,1,2,9.535927651521757
Appropriateness of Professional Terminology Use,1,1,9.922174840526157
Appropriateness of Professional Terminology Use,1,6,9.925503987919603
Appropriateness of Professional Terminology Use,1,3,9.969782330210442
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,5,7.670692766001562
Appropriateness of Professional Terminology Use,1,7,7.990212780482565
Appropriateness of Professional Terminology Use,1,0,9.86863220074277
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,4,9.887657725958551
Appropriateness of Professional Terminology Use,1,8,4.180185249953079
Appropriateness of Professional Terminology Use,1,2,9.551367459016992
Avoidance of Plagiarism and Appropriate Citation,1,1,9.971847397790697
Avoidance of Plagiarism and Appropriate Citation,1,6,9.943951542671186
Avoidance of Plagiarism and Appropriate Citation,1,3,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.9746108307935
Avoidance of Plagiarism and Appropriate Citation,1,7,9.967858413399012
Avoidance of Plagiarism and Appropriate Citation,1,0,9.99300708007284
Avoidance of Plagiarism and Appropriate Citation,1,9,9.990265425996371
Avoidance of Plagiarism and Appropriate Citation,1,4,9.945375487122247
Avoidance of Plagiarism and Appropriate Citation,1,8,9.92685372625017
Avoidance of Plagiarism and Appropriate Citation,1,2,9.948210975104429
Clarity of Logical Structure,1,1,9.849425748879534
